National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (312) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Vermont""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
5.00249E+11,VT-T027-PS001,5002490,VT-T027,KG,06,Academy School (Brattleboro),Brattleboro School District,Windham County,860 Western Avenue,Brattleboro,VT,05301,2663,(802)254-3743,32,Town: Distant,†,No,Yes,Yes,373.00000,33.00000,11.3000000,201.00000,21.00000
5.00171E+11,VT-T001-PS002,5001710,VT-T001,PK,06,Addison Central School,Addison School District,Addison County,121 VT Route 17 West,Addison,VT,05491,9511,(802)759-2131,42,Rural: Distant,†,No,Yes,Yes,76.00000,6.04000,12.6000000,20.00000,10.00000
5.00174E+11,VT-T002-PS007,5001740,VT-T002,PK,08,Albany Community School,Albany School District,Orleans County,351 Main Street,Albany,VT,05820,7902,(802)755-6168,43,Rural: Remote,†,No,Yes,Yes,93.00000,8.70000,10.7000000,53.00000,17.00000
5.00888E+11,VT-T238-PS008,5008880,VT-T238,PK,06,Albert Bridge School (West Windsor),West Windsor School District,Windsor County,P.O. Box 88,Brownsville,VT,05037,,(802)484-3344,42,Rural: Distant,†,No,Yes,No,77.00000,9.00000,8.6000000,13.00000,14.00000
5.00381E+11,VT-T069-PS009,5003810,VT-T069,06,08,Albert D. Lawton School,Essex Junction Incorporated School District,Chittenden County,104 Maple Street,Essex Junction,VT,05452,3795,(802)878-1388,22,Suburb: Midsize,†,No,No,†,347.00000,31.80000,10.9000000,58.00000,33.00000
5.00177E+11,VT-T003-PS010,5001770,VT-T003,PK,08,Alburg Community Education Center,Alburg School District,Grand Isle County,14 North Main Street,Alburg,VT,05440,9634,(802)796-3573,42,Rural: Distant,†,No,Yes,Yes,197.00000,23.07000,8.5000000,108.00000,0.00000
5.00183E+11,VT-T005-PS011,5001830,VT-T005,06,12,Arlington Memorial,Arlington School District,Bennington County,529 East Arlington Road,Arlington,VT,05250,,(802)375-2589,42,Rural: Distant,†,No,Yes,Yes,213.00000,19.40000,11.0000000,81.00000,18.00000
5.00189E+11,VT-T007-PS015,5001890,VT-T007,PK,08,Bakersfield School,Bakersfield School District,Franklin County,P.O. Box 17,Bakersfield,VT,05441,0017,(802)827-6611,42,Rural: Distant,†,No,Yes,Yes,154.00000,13.40000,11.5000000,46.00000,20.00000
5.00195E+11,VT-T009-PS017,5001950,VT-T009,PK,06,Barnard Academy,Barnard School District,Windsor County,P.O. Box 157,Barnard,VT,05031,,(802)234-9763,43,Rural: Remote,†,No,No,†,74.00000,6.30000,11.7000000,17.00000,0.00000
5.00198E+11,VT-T010-PS018,5001980,VT-T010,PK,08,Barnet Elementary School,Barnet School District,Caledonia County,163 Kid Row,Barnet,VT,05821,0042,(802)633-4978,42,Rural: Distant,†,No,Yes,Yes,213.00000,20.70000,10.3000000,85.00000,18.00000
5.00201E+11,VT-T011-PS381,5002010,VT-T011,PK,08,Barre City Elementary/Middle School,Barre City School District,Washington County,50 Parkside Terrace,Barre,VT,05641,4846,(802)476-6541,41,Rural: Fringe,†,No,Yes,Yes,880.00000,100.75000,8.7000000,503.00000,53.00000
5.00204E+11,VT-T012-PS020,5002040,VT-T012,PK,08,Barre Town Elementary School,Barre Town School District,Washington County,70 Websterville Road,Barre,VT,05641,9029,(802)476-6617,32,Town: Distant,†,No,No,†,834.00000,74.00000,11.3000000,186.00000,46.00000
5.00039E+11,VT-U049-PS021,5000390,VT-U049,PK,08,Barstow Memorial School,Barstow Unified School District,†,223 Chittenden Road,Chittenden,VT,05737,,(802)773-6926,†,N,†,†,†,†,†,†,†,†,†
5.00207E+11,VT-T013-PS022,5002070,VT-T013,PK,08,Barton Graded School,Barton Incorporated School District,Orleans County,P.O. Box 588,Barton,VT,05822,0588,(802)525-3636,43,Rural: Remote,†,No,Yes,Yes,172.00000,15.00000,11.5000000,101.00000,32.00000
5.00588E+11,VT-T138-PS023,5005880,VT-T138,PK,06,Beeman Elementary School,New Haven School District,Addison County,50 North Street,New Haven,VT,05472,9701,(802)453-2331,42,Rural: Distant,†,No,Yes,Yes,116.00000,7.30000,15.9000000,26.00000,11.00000
5.00693E+11,VT-T169-PS024,5006930,VT-T169,05,08,Bellows Falls Middle School,Rockingham School District,Windham County,15 School Street,Bellows Falls,VT,05101,1596,(802)463-4366,32,Town: Distant,†,No,Yes,Yes,233.00000,18.00000,12.9000000,97.00000,10.00000
5.00825E+11,VT-U027-PS025,5008246,VT-U027,09,12,Bellows Falls UHSD #27,Bellows Falls UHSD #27,Windham County,P.O. Box 429,Bellows Falls,VT,05101,9802,(802)463-3944,41,Rural: Fringe,†,No,Yes,Yes,336.00000,21.67000,15.5000000,127.00000,25.00000
5.00003E+11,VT-U048-PS406,5000025,VT-U048,09,12,Bellows Free Academy UHSD #48,Bellows Free Academy UHSD #48,Franklin County,71 South Main Street,Saint Albans,VT,05478,2297,(802)527-6555,32,Town: Distant,†,No,No,†,935.00000,88.80000,10.5000000,187.00000,63.00000
5.00213E+11,VT-T015-PS029,5002130,VT-T015,PK,05,Bennington Elementary School,Bennington Incorporated School District,Bennington County,128 Park Street,Bennington,VT,05201,2518,(802)442-5256,32,Town: Distant,†,No,Yes,Yes,322.00000,16.70000,19.3000000,258.00000,21.00000
5.00216E+11,VT-T017-PS031,5002160,VT-T017,PK,08,Benson Village School,Benson School District,Rutland County,32 School Street,Benson,VT,05743,,(802)537-2491,42,Rural: Distant,†,No,Yes,Yes,96.00000,8.70000,11.0000000,52.00000,5.00000
5.00219E+11,VT-T018-PS032,5002190,VT-T018,PK,08,Berkshire Elementary School,Berkshire School District,Franklin County,4850 Water Tower Road,Richford,VT,05476,9712,(802)933-2290,43,Rural: Remote,†,No,Yes,Yes,224.00000,13.80000,16.2000000,99.00000,0.00000
5.00222E+11,VT-T019-PS033,5002220,VT-T019,PK,06,Berlin Elementary School,Berlin School District,Washington County,372 Paine Turnpike North,Berlin,VT,05602,8926,(802)223-2796,41,Rural: Fringe,†,No,Yes,Yes,198.00000,15.46000,12.8000000,78.00000,28.00000
5.00225E+11,VT-T020-PS034,5002250,VT-T020,PK,06,Bethel Elementary School,Bethel School District,Windsor County,273 Pleasant Street,Bethel,VT,05032,9700,(802)234-6607,43,Rural: Remote,†,No,Yes,Yes,174.00000,13.50000,12.9000000,63.00000,22.00000
5.00393E+11,VT-T071-PS027,5003930,VT-T071,PK,08,BFA Elementary/Middle School,Fairfax School District,Franklin County,75 Hunt Street,Fairfax,VT,05454,0068,(802)849-6711,42,Rural: Distant,†,No,Yes,Yes,586.00000,41.30000,14.2000000,112.00000,32.00000
5.00393E+11,VT-T071-PS405,5003930,VT-T071,09,12,BFA High School - Fairfax,Fairfax School District,Franklin County,75 Hunt Street,Fairfax,VT,05454,0068,(802)849-6711,42,Rural: Distant,†,No,Yes,No,314.00000,24.20000,13.0000000,61.00000,29.00000
5.00333E+11,VT-T053-PS076,5003330,VT-T053,PK,06,Bingham Memorial School,Corwall School District,Addison County,112 School Road,Cornwall,VT,05753,8504,(802)462-2463,41,Rural: Fringe,†,No,No,†,81.00000,8.14000,10.0000000,13.00000,0.00000
5.00824E+11,VT-U039-PS035,5008241,VT-U039,07,12,Black River USD #39,Black River USD #39,Windsor County,43 Main Street,Ludlow,VT,05149,1105,(802)228-4721,42,Rural: Distant,†,No,No,†,169.00000,17.04000,9.9000000,50.00000,22.00000
5.00822E+11,VT-U021-PS036,5008224,VT-U021,PK,12,Blue Mountain USD #21,Blue Mountain USD #21,Orange County,2420 Route 302,Wells River,VT,05081,9604,(802)757-2711,43,Rural: Remote,†,No,Yes,Yes,398.00000,43.50000,9.1000000,145.00000,55.00000
5.00234E+11,VT-T023-PS037,5002340,VT-T023,PK,06,Bradford Elementary School,Bradford Incorporated School District,Orange County,143 Fairground Road,Bradford,VT,05033,0328,(802)222-4077,43,Rural: Remote,†,No,Yes,Yes,258.00000,24.84000,10.4000000,97.00000,28.00000
5.00237E+11,VT-T024-PS038,5002370,VT-T024,PK,06,Braintree School,Braintree School District,Orange County,66 Bent Hill Road,Braintree,VT,05060,9411,(802)728-9373,43,Rural: Remote,†,No,Yes,Yes,82.00000,6.70000,12.2000000,35.00000,14.00000
5.00252E+11,VT-U006-PS367,5002520,VT-U006,07,08,Brattleboro Area Middle School,Brattleboro UHSD #6,Windham County,109 Sunny Acres Road,Brattleboro,VT,05301,3614,(802)451-3500,32,Town: Distant,†,No,Yes,Yes,321.00000,29.00000,11.1000000,139.00000,16.00000
5.00252E+11,VT-U006-PS040,5002520,VT-U006,09,12,Brattleboro Senior UHSD #6,Brattleboro UHSD #6,Windham County,131 Fairground Road,Brattleboro,VT,05301,3698,(802)451-3400,32,Town: Distant,†,No,No,†,752.00000,47.00000,16.0000000,222.00000,48.00000
5.00477E+11,VT-T099-PS041,5004770,VT-T099,PK,04,Brewster Pierce School,Huntington School District,Chittenden County,120 School Street,Huntington,VT,05462,9712,(802)434-2074,42,Rural: Distant,†,No,Yes,No,147.00000,8.20000,17.9000000,25.00000,11.00000
5.00255E+11,VT-T029-PS043,5002550,VT-T029,PK,06,Bridport Central School,Bridport School District,Addison County,3442 VT Route 22A,Bridport,VT,05734,0035,(802)758-2331,42,Rural: Distant,†,No,Yes,Yes,71.00000,8.12000,8.7000000,30.00000,8.00000
5.00261E+11,VT-T030-PS044,5002610,VT-T030,PK,08,Brighton Elementary School,Brighton School District,Essex County,P.O. Box 419,Island Pond,VT,05846,0419,(802)723-4373,43,Rural: Remote,†,No,Yes,Yes,93.00000,13.27000,7.0000000,93.00000,0.00000
5.00264E+11,VT-T031-PS045,5002640,VT-T031,PK,06,Bristol Elementary School,Bristol School District,Addison County,57 Mountain Street,Bristol,VT,05443,1113,(802)453-3227,42,Rural: Distant,†,No,Yes,Yes,317.00000,22.50000,14.1000000,94.00000,32.00000
5.00267E+11,VT-T032-PS047,5002670,VT-T032,PK,06,Brookfield School,Brookfield School District,Orange County,1728 Ridge Road,Brookfield,VT,05036,9707,(802)276-3153,42,Rural: Distant,†,No,Yes,Yes,59.00000,5.20000,11.3000000,15.00000,7.00000
5.00273E+11,VT-T034-PS049,5002730,VT-T034,PK,08,Brownington Central School,Brownington School District,Orleans County,103 Chase Road,Brownington,VT,05860,9765,(802)754-8467,42,Rural: Distant,†,No,Yes,Yes,112.00000,10.60000,10.6000000,56.00000,21.00000
5.00039E+11,VT-U401B-PS050,5000388,VT-U401B,05,08,Browns River Middle USD #17,Mount Mansfield Modified USD #401B,Chittenden County,20 River Road,Jericho,VT,05465,9801,(802)899-3711,41,Rural: Fringe,†,–,No,†,411.00000,30.70000,13.4000000,38.00000,10.00000
5.00279E+11,VT-T036-PS051,5002790,VT-T036,PK,08,Burke Town School,Burke School District,Caledonia County,3293 Burke Hollow Road,West Burke,VT,05871,8913,(802)467-3385,42,Rural: Distant,†,No,Yes,Yes,210.00000,20.31000,10.3000000,74.00000,17.00000
5.00282E+11,VT-T037-PS052,5002820,VT-T037,09,12,Burlington Senior High School,Burlington School District,Chittenden County,52 Institute Road,Burlington,VT,05408,2721,(802)864-8411,13,City: Small,†,No,Yes,Yes,1048.00000,110.57000,9.5000000,460.00000,48.00000
5.00282E+11,VT-T037-VC004,5002820,VT-T037,09,12,Burlington Technical Center,Burlington School District,Chittenden County,52 Institute Road,Burlington,VT,05401,2721,(802)864-8426,13,City: Small,†,No,†,†,0.00000,0.00000,†,†,†
5.00282E+11,VT-T037-PS080,5002820,VT-T037,PK,05,C. P. Smith School,Burlington School District,Chittenden County,332 Ethan Allen Parkway,Burlington,VT,05401,2525,(802)864-8479,13,City: Small,†,No,Yes,Yes,282.00000,22.50000,12.5000000,115.00000,5.00000
5.00285E+11,VT-T038-PS055,5002850,VT-T038,PK,12,Cabot School,Cabot School District,Washington County,P.O. Box 98,Cabot,VT,05647,0098,(802)563-2289,43,Rural: Remote,†,No,Yes,Yes,172.00000,17.90000,9.6000000,69.00000,7.00000
5.00288E+11,VT-T039-PS056,5002880,VT-T039,PK,06,Calais Elementary School,Calais School District,Washington County,321 Lightening Ridge Road,Plainfield,VT,05667,9802,(802)454-7777,42,Rural: Distant,†,No,Yes,Yes,128.00000,10.26000,12.5000000,25.00000,13.00000
5.00291E+11,VT-T040-PS057,5002910,VT-T040,PK,06,Cambridge Elementary School,Cambridge School District,Lamoille County,P.O. Box 160,Jeffersonville,VT,05464,0160,(802)644-8821,42,Rural: Distant,†,No,Yes,Yes,360.00000,33.90000,10.6000000,110.00000,23.00000
5.00039E+11,VT-U401B-PS058,5000388,VT-U401B,05,08,Camels Hump Middle USD #17,Mount Mansfield Modified USD #401B,Chittenden County,173 School Street,Richmond,VT,05477,,(802)434-2188,41,Rural: Fringe,†,–,Yes,No,342.00000,26.10000,13.1000000,66.00000,8.00000
5.00294E+11,VT-T041-PS059,5002940,VT-T041,PK,12,Canaan Schools,Canaan School District,Essex County,99 School Street,Canaan,VT,05903,4401,(802)266-8910,43,Rural: Remote,†,No,Yes,Yes,195.00000,20.50000,9.5000000,87.00000,0.00000
5.00249E+11,VT-T027-PS383,5002490,VT-T027,PK,06,Canal Street/Oak Grove Schools,Brattleboro School District,Windham County,15 Moreland Avenue,Brattleboro,VT,05301,3526,(802)254-3740,32,Town: Distant,†,No,Yes,Yes,278.00000,11.00000,25.3000000,69.00000,10.00000
5E+11,VT-U042-PS061,5000001,VT-U042,PK,08,Castleton-Hubbarton USD #42,Castleton-Hubbardton USD #42,Rutland County,P.O. Box 68,Castleton,VT,05735,0068,(802)468-5624,41,Rural: Fringe,†,No,Yes,Yes,352.00000,28.40000,12.4000000,114.00000,37.00000
