National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1053) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Utah""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
4.90002E+11,UT-83-83700,4900017,UT-83,09,12,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),Salt Lake County,5715 S 1300 E,SALT LAKE CITY,UT,84121,,(801)278-9460,21,Suburb: Large,Yes,Yes,Yes,Yes,508.00000,–,†,196.00000,0.00000
4.90036E+11,UT-12-12102,4900360,UT-12,KG,06,ACADEMY PARK SCHOOL,GRANITE DISTRICT,Salt Lake County,4580 WESTPOINT DR,WEST VALLEY CITY,UT,84120,,(385)646-4750,21,Suburb: Large,No,No,Yes,Yes,569.00000,–,†,350.00000,79.00000
4.90021E+11,UT-07-07102,4900210,UT-07,KG,06,ADAMS SCHOOL,DAVIS DISTRICT,Davis County,2200 E 2500 N,LAYTON,UT,84041,,(801)402-3100,21,Suburb: Large,No,No,No,†,662.00000,–,†,135.00000,47.00000
4.90051E+11,UT-39-39104,4900510,UT-39,KG,05,ADAMS SCHOOL,LOGAN CITY DISTRICT,Cache County,415 E 500 N,LOGAN,UT,84321,,(435)755-2320,13,City: Small,No,No,Yes,Yes,362.00000,–,†,199.00000,59.00000
4.90021E+11,UT-07-07104,4900210,UT-07,KG,06,ADELAIDE SCHOOL,DAVIS DISTRICT,Davis County,731 W 3600 S,BOUNTIFUL,UT,84010,,(801)402-1250,21,Suburb: Large,No,No,Yes,Yes,551.00000,–,†,229.00000,31.00000
4.9009E+11,UT-25-25308,4900900,UT-25,06,08,ALBERT R LYMAN MIDDLE,SAN JUAN DISTRICT,San Juan County,535 N 100 E,BLANDING,UT,84511,,(435)678-1398,33,Town: Remote,No,No,Yes,Yes,330.00000,–,†,327.00000,0.00000
4.90014E+11,UT-42-42401,4900142,UT-42,06,08,ALBION MIDDLE,CANYONS DISTRICT,Salt Lake County,2755 E NEWCASTLE DR,SANDY,UT,84093,,(801)826-6700,21,Suburb: Large,No,No,No,†,908.00000,–,†,94.00000,29.00000
4.90003E+11,UT-01-01299,4900030,UT-01,KG,08,ALPINE ONLINE SCHOOL,ALPINE DISTRICT,Utah County,575 N 100 E,AMERICAN FORK,UT,84003,,(801)756-8400,21,Suburb: Large,No,No,No,†,213.00000,–,†,17.00000,0.00000
4.90003E+11,UT-01-01104,4900030,UT-01,PK,06,ALPINE SCHOOL,ALPINE DISTRICT,Utah County,400 E 300 N,ALPINE,UT,84004,,(801)610-8700,21,Suburb: Large,No,No,No,†,704.00000,–,†,54.00000,17.00000
4.90014E+11,UT-42-42702,4900142,UT-42,08,12,ALTA HIGH,CANYONS DISTRICT,Salt Lake County,11055 South Hawk Hwy,SANDY,UT,84094,,(801)826-5600,21,Suburb: Large,No,No,No,†,1655.00000,–,†,238.00000,70.00000
4.90014E+11,UT-42-42104,4900142,UT-42,KG,05,ALTA VIEW SCHOOL,CANYONS DISTRICT,Salt Lake County,10333 CROCUS ST,SANDY,UT,84094,,(801)826-7600,21,Suburb: Large,No,No,No,†,596.00000,–,†,134.00000,34.00000
4.90024E+11,UT-08-08704,4900240,UT-08,07,12,ALTAMONT HIGH,DUCHESNE DISTRICT,Duchesne County,200 W MAIN,ALTAMONT,UT,84001,,(435)738-1345,43,Rural: Remote,No,No,No,†,298.00000,–,†,60.00000,26.00000
4.90024E+11,UT-08-08104,4900240,UT-08,KG,06,ALTAMONT SCHOOL,DUCHESNE DISTRICT,Duchesne County,190 W MAIN,ALTAMONT,UT,84001,,(435)738-1375,43,Rural: Remote,No,No,No,†,368.00000,–,†,94.00000,46.00000
4.90014E+11,UT-42-42103,4900142,UT-42,KG,05,ALTARA SCHOOL,CANYONS DISTRICT,Salt Lake County,800 E 11000 S,SANDY,UT,84094,,(801)826-7675,21,Suburb: Large,No,No,No,†,545.00000,–,†,110.00000,25.00000
4.90081E+11,UT-38-38100,4900810,UT-38,KG,06,AMELIA EARHART SCHOOL,PROVO DISTRICT,Utah County,2585 W 200 S,PROVO,UT,84601,,(801)370-4630,12,City: Midsize,No,No,Yes,Yes,532.00000,–,†,275.00000,56.00000
4.90019E+11,UT-8K-8K700,4900186,UT-8K,06,11,AMERICAN ACADEMY OF INNOVATION,AMERICAN ACADEMY OF INNOVATION,Salt Lake County,5410 W South Jordan Parkway,South Jordan,UT,84009,,(801)810-4786,21,Suburb: Large,Yes,†,†,†,†,†,†,†,†
4.90003E+11,UT-01-01704,4900030,UT-01,10,12,AMERICAN FORK HIGH,ALPINE DISTRICT,Utah County,510 N 600 E,AMERICAN FORK,UT,84003,,(801)610-8800,21,Suburb: Large,No,No,No,†,2320.00000,–,†,337.00000,114.00000
4.90003E+11,UT-01-01404,4900030,UT-01,07,09,AMERICAN FORK JR HIGH,ALPINE DISTRICT,Utah County,20 W 1120 N,AMERICAN FORK,UT,84003,,(801)610-8750,21,Suburb: Large,No,No,No,†,1898.00000,–,†,282.00000,91.00000
4.90017E+11,UT-1J-1J800,4900172,UT-1J,KG,12,AMERICAN INTERNATIONAL SCHOOL OF UTAH,AMERICAN INTERNATIONAL SCHOOL OF UTAH,Salt Lake County,4998 S. Galleria Drive,MURRAY,UT,84123,,(801)989-7191,21,Suburb: Large,Yes,No,Yes,No,1179.00000,–,†,296.00000,96.00000
4.90003E+11,UT-8B-8B100,4900033,UT-8B,KG,12,AMERICAN LEADERSHIP ACADEMY,AMERICAN LEADERSHIP ACADEMY,Utah County,898 W 1100 S,SPANISH FORK,UT,84660,,(801)794-2226,21,Suburb: Large,Yes,No,Yes,No,1802.00000,–,†,537.00000,159.00000
4.90001E+11,UT-74-74110,4900005,UT-74,KG,12,AMERICAN PREPARATORY ACADEMY - ACCELERATED SCHOOL,AMERICAN PREPARATORY ACADEMY--LEA,Salt Lake County,3636 W 3100 S,WEST VALLEY CITY,UT,84120,,(385)351-3090,21,Suburb: Large,Yes,No,Yes,Yes,1332.00000,–,†,733.00000,157.00000
