National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (507) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Alaska""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
020071000465,AK-45-450040,0200710,AK-45,PK,12,"""William """"Sonny"""" Nelson School""",Southwest Region School District,Dillingham Census Area,General Delivery,Ekwok,AK,99580,,(907)464-3344,43,Rural: Remote,No,No,Yes,Yes,18.00000,1.75000,10.3000000,18.00000,0.00000
020018000053,AK-05-050010,0200180,AK-05,PK,06,Abbott Loop Elementary,Anchorage School District,Anchorage Municipality,8427 Lake Otis Parkway,Anchorage,AK,99507,3599,(907)742-5400,11,City: Large,No,No,Yes,Yes,341.00000,22.33000,15.3000000,151.00000,37.00000
020051000311,AK-33-339010,0200510,AK-33,KG,08,Academy Charter School,Matanuska-Susitna Borough School District,Matanuska-Susitna Borough,801 East Arctic,Palmer,AK,99645,,(907)746-2358,32,Town: Distant,Yes,No,No,†,241.00000,15.57000,15.5000000,0.00000,0.00000
020001000080,AK-04-040080,0200010,AK-04,KG,12,Adak School,Aleutian Region School District,Aleutians West Census Area,PO Box 2083,Adak,AK,99546,,(907)592-3820,43,Rural: Remote,No,No,Yes,Yes,21.00000,2.00000,10.5000000,0.00000,0.00000
020018000054,AK-05-050020,0200180,AK-05,PK,06,Airport Heights Elementary,Anchorage School District,Anchorage Municipality,1510 Alder Drive,Anchorage,AK,99508,2999,(907)742-4550,11,City: Large,No,No,Yes,Yes,337.00000,23.13000,14.6000000,337.00000,0.00000
020048000180,AK-28-280010,0200480,AK-28,KG,12,Akhiok School,Kodiak Island Borough School District,Kodiak Island Borough,PO Box 5049,Akhiok,AK,99615,5049,(907)836-2223,43,Rural: Remote,No,No,Yes,Yes,25.00000,3.10000,8.1000000,12.00000,0.00000
020000400579,AK-54-540010,0200004,AK-54,KG,12,Akiachak School,Yupiit School District,Bethel Census Area,PO Box 51189,Akiachak,AK,99551,0190,(907)825-3616,43,Rural: Remote,No,No,Yes,Yes,210.00000,16.00000,13.1000000,202.00000,0.00000
020000400624,AK-54-540030,0200004,AK-54,KG,12,Akiak School,Yupiit School District,Bethel Census Area,Box 49,Akiak,AK,99552,0227,(907)765-4600,43,Rural: Remote,No,No,Yes,Yes,116.00000,9.18000,12.6000000,116.00000,0.00000
020000100619,AK-31-310240,0200001,AK-31,PK,12,Akiuk Memorial School,Lower Kuskokwim School District,Bethel Census Area,General Delivery,Kasigluk,AK,99609,,(907)477-6829,43,Rural: Remote,No,No,Yes,Yes,80.00000,6.18000,12.9000000,80.00000,0.00000
020048000435,AK-28-288010,0200480,AK-28,KG,12,AKTEACH,Kodiak Island Borough School District,Kodiak Island Borough,722 Mill Bay Road,Kodiak,AK,99615,,(907)481-6111,33,Town: Remote,No,No,No,†,112.00000,1.00000,112.0000000,0.00000,0.00000
020000100391,AK-31-310110,0200001,AK-31,PK,12,Akula Elitnaurvik School,Lower Kuskokwim School District,Bethel Census Area,Box 79,Kasigluk,AK,99609,0079,(907)477-6615,43,Rural: Remote,No,No,Yes,Yes,110.00000,8.25000,13.3000000,110.00000,0.00000
020000700004,AK-56-560030,0200007,AK-56,PK,12,Akutan School,Aleutians East Borough School District,Aleutians East Borough,Box 25,Akutan,AK,99553,,(907)698-2205,43,Rural: Remote,No,No,Yes,Yes,16.00000,2.00000,8.0000000,0.00000,0.00000
020061000291,AK-36-360100,0200610,AK-36,PK,12,Alak School,North Slope Borough School District,North Slope Borough,Box 10,Wainwright,AK,99782,,(907)763-2541,43,Rural: Remote,No,No,Yes,No,175.00000,14.00000,12.5000000,110.00000,0.00000
020000300216,AK-32-320010,0200003,AK-32,PK,12,Alakanuk School,Lower Yukon School District,Kusilvak Census Area,PO Box 9,Alakanuk,AK,99554,,(907)238-3312,43,Rural: Remote,No,No,Yes,Yes,215.00000,16.14000,13.3000000,215.00000,0.00000
