National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (290) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Hawaii""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.50003E+11,HI-001-2-224,1500030,HI-001,09,12,Admiral Arthur W Radford High School,Hawaii Department of Education,Honolulu County,4361 Salt Lake Blvd,Honolulu,HI,96818,,(808)421-4200,21,Suburb: Large,No,†,No,†,1330.00000,74.00000,18.0000000,218.00000,130.00000
1.50003E+11,HI-001-2-221,1500030,HI-001,PK,06,Admiral Chester W Nimitz Elementary School,Hawaii Department of Education,Honolulu County,520 Main St,Honolulu,HI,96818,,(808)421-4165,21,Suburb: Large,No,†,No,†,701.00000,41.50000,16.9000000,59.00000,110.00000
1.50003E+11,HI-001-4-335,1500030,HI-001,PK,06,Ahuimanu Elementary School,Hawaii Department of Education,Honolulu County,47-470 Hui Aeko Pl,Kaneohe,HI,96744,,(808)239-3125,22,Suburb: Midsize,No,†,Yes,Yes,301.00000,21.50000,14.0000000,99.00000,32.00000
1.50003E+11,HI-001-2-200,1500030,HI-001,PK,06,Aiea Elementary School,Hawaii Department of Education,Honolulu County,99-370 Moanalua Rd,Aiea,HI,96701,,(808)483-7200,21,Suburb: Large,No,†,Yes,Yes,368.00000,24.50000,15.0000000,289.00000,31.00000
1.50003E+11,HI-001-2-202,1500030,HI-001,09,12,Aiea High School,Hawaii Department of Education,Honolulu County,98-1276 Ulune St,Aiea,HI,96701,,(808)483-7300,21,Suburb: Large,No,†,Yes,Yes,1048.00000,64.50000,16.2000000,387.00000,107.00000
1.50003E+11,HI-001-2-201,1500030,HI-001,07,08,Aiea Intermediate School,Hawaii Department of Education,Honolulu County,99-600 Kulawea St,Aiea,HI,96701,,(808)483-7230,21,Suburb: Large,No,†,Yes,Yes,584.00000,35.00000,16.7000000,215.00000,80.00000
1.50003E+11,HI-001-4-300,1500030,HI-001,PK,06,Aikahi Elementary School,Hawaii Department of Education,Honolulu County,281 Ilihau St,Kailua,HI,96734,,(808)254-7944,22,Suburb: Midsize,No,†,No,†,458.00000,26.00000,17.6000000,42.00000,17.00000
1.50003E+11,HI-001-1-100,1500030,HI-001,PK,05,Aina Haina Elementary School,Hawaii Department of Education,Honolulu County,801 W Hind Dr,Honolulu,HI,96821,,(808)377-2419,21,Suburb: Large,No,†,No,†,508.00000,28.00000,18.1000000,70.00000,24.00000
1.50003E+11,HI-001-1-101,1500030,HI-001,PK,05,Ala Wai Elementary School,Hawaii Department of Education,Honolulu County,503 Kamoku St,Honolulu,HI,96826,,(808)973-0070,11,City: Large,No,†,Yes,Yes,430.00000,25.00000,17.2000000,204.00000,48.00000
1.50003E+11,HI-001-2-203,1500030,HI-001,PK,06,Aliamanu Elementary School,Hawaii Department of Education,Honolulu County,3265 Salt Lake Blvd,Honolulu,HI,96818,,(808)421-4280,11,City: Large,No,†,No,†,637.00000,43.00000,14.8000000,130.00000,70.00000
