National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1095) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Nebraska""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.18009E+11,NE-000009000-000009024,3180090,NE-000009000,09,12,18+ PROGRAM,EDUCATIONAL SERVICE UNIT 09,†,3190 E COMMUNITY DRIVE,HASTINGS,NE,68902,2047,(402)463-2639,†,N,†,†,†,†,†,†,†,†,†
3.17458E+11,NE-400082000-400082003,3174580,NE-400082000,PK,08,1R ELEMENTARY,NORTHWEST PUBLIC SCHOOLS,Hall County,3301 W ONE-R ROAD,GRAND ISLAND,NE,68803,9331,(308)385-6352,41,Rural: Fringe,†,†,No,†,171.00000,13.00000,13.2000000,15.00000,30.00000
3.10282E+11,NE-060001000-060001006,3102820,NE-060001000,PK,PK,ABC PRESCHOOL,BOONE CENTRAL SCHOOLS,Boone County,605 S 6TH STREET,ALBION,NE,68620,0391,(402)395-2134,43,Rural: Remote,†,†,No,†,62.00000,1.50000,41.3000000,11.00000,6.00000
3.17482E+11,NE-280001000-280001217,3174820,NE-280001000,†,†,ACCELERE,OMAHA PUBLIC SCHOOLS,Douglas County,2606 HAMILTON ST,OMAHA,NE,68131,1640,(402)898-1568,11,City: Large,†,†,No,†,†,0.00000,†,†,†
3.17374E+11,NE-280017000-280017024,3173740,NE-280017000,PK,05,ACKERMAN ELEMENTARY SCHOOL,MILLARD PUBLIC SCHOOLS,Douglas County,5110 S 156TH ST,OMAHA,NE,68135,1008,(402)715-8420,11,City: Large,†,†,No,†,461.00000,28.32000,16.3000000,60.00000,21.00000
3.10277E+11,NE-010090000-010090001,3102770,NE-010090000,07,12,ADAMS CENTRAL JR-SR HIGH SCH,ADAMS CENTRAL PUBLIC SCHOOLS,Adams County,1090 S ADAMS RD,HASTINGS,NE,68902,1088,(402)463-3285,41,Rural: Fringe,†,†,No,†,462.00000,34.50000,13.4000000,64.00000,24.00000
3.18009E+11,NE-000009000-000009015,3180090,NE-000009000,PK,PK,ADAMS CO EARLY LEARNING CNTR,EDUCATIONAL SERVICE UNIT 09,Adams County,123 MARIAN RD,HASTINGS,NE,68902,2047,(402)462-4187,41,Rural: Fringe,†,†,†,†,0.00000,3.00000,†,†,†
3.17482E+11,NE-280001000-280001055,3174820,NE-280001000,PK,05,ADAMS ELEM SCHOOL,OMAHA PUBLIC SCHOOLS,Douglas County,3420 N 78TH ST,OMAHA,NE,68134,5099,(402)572-9072,11,City: Large,†,†,No,†,349.00000,21.57000,16.2000000,227.00000,35.00000
3.17284E+11,NE-550001000-550001076,3172840,NE-550001000,PK,05,ADAMS ELEMENTARY SCHOOL,LINCOLN PUBLIC SCHOOLS,Lancaster County,7401 JACOBS CREEK DRIVE,LINCOLN,NE,68512,9548,(402)436-1121,11,City: Large,†,†,No,†,815.00000,48.32000,16.9000000,68.00000,25.00000
3.10002E+11,NE-560001000-560001002,3100022,NE-560001000,07,08,ADAMS MIDDLE SCHOOL,NORTH PLATTE PUBLIC SCHOOLS,Lincoln County,1200 S MC DONALD RD,NORTH PLATTE,NE,69101,1557,(308)535-7112,33,Town: Remote,†,†,No,†,600.00000,43.50000,13.8000000,196.00000,53.00000
