National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (2532) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Minnesota""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.70819E+11,MN-010112-010112067,2708190,MN-010112,09,12,112 ALC AFTER SCHOOL & SUMMER SCH,EASTERN CARVER COUNTY PUBLIC SCHOOL,Carver County,11 PEAVEY RD,CHASKA,MN,55317,2321,(952)556-6211,21,Suburb: Large,No,No,No,†,34.00000,–,†,8.00000,3.00000
2.70819E+11,MN-010112-010112066,2708190,MN-010112,06,08,112 ALC MIDDLE SCHOOL,EASTERN CARVER COUNTY PUBLIC SCHOOL,Carver County,11 PEAVEY RD,CHASKA,MN,55318,8888,(952)556-6211,21,Suburb: Large,No,No,No,†,130.00000,2.70000,48.1000000,54.00000,7.00000
2.70003E+11,MN-060287-060287794,2700025,MN-060287,10,12,270 - HAP - IS,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,1001 W. HIGHWAY 7,HOPKINS,MN,55305,8888,(952)988-4497,21,Suburb: Large,No,No,No,†,2.00000,–,†,–,–
2.70003E+11,MN-060287-060287626,2700025,MN-060287,09,12,270 HOPKINS ALTERNATIVE,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,2400 LINDBERGH DR,MINNETONKA,MN,55305,8888,(952)988-4680,21,Suburb: Large,No,No,No,†,28.00000,–,†,9.00000,0.00000
2.70003E+11,MN-060287-060287627,2700025,MN-060287,09,12,270 HOPKINS IS,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,1101 W HWY 7.,HOPKINS,MN,55305,8888,(952)988-4508,21,Suburb: Large,No,No,No,†,1.00000,0.24000,4.2000000,–,–
2.70003E+11,MN-060287-060287709,2700025,MN-060287,07,12,270 HOPKINS NORTH JR HIGH ALC,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,10700 CEDAR LAKE RD,MINNETONKA,MN,55305,6499,(952)988-4800,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.70003E+11,MN-060287-060287710,2700025,MN-060287,07,09,270 HOPKINS WEST JR HIGH ALC,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,3830 BAKER RD,MINNETONKA,MN,55305,6898,(952)988-4400,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.70003E+11,MN-060287-060287735,2700025,MN-060287,04,09,272 CENTRAL MIDDLE SCH. ALT,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,8025 SCHOOL RD,EDEN PRAIRIE,MN,55344,8888,(952)975-7311,13,City: Small,No,No,†,†,0.00000,2.68000,†,†,†
2.70003E+11,MN-060287-060287694,2700025,MN-060287,07,12,276 MINNETONKA COMPASS,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,18302 HWY 7,MINNETONKA,MN,55345,8888,(952)401-5919,21,Suburb: Large,No,No,†,†,0.00000,2.72000,†,†,†
2.70003E+11,MN-060287-060287771,2700025,MN-060287,09,12,276 MINNETONKA COMPASS EXT YR,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,18301 HWY 7 WEST,MINNETONKA,MN,55345,8888,(952)401-5889,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.70003E+11,MN-060287-060287614,2700025,MN-060287,09,12,276 MINNETONKA HS IS,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,18301 HWY 7,MINNETONKA,MN,55345,8888,(952)401-5919,21,Suburb: Large,No,No,†,†,0.00000,0.20000,†,†,†
2.70003E+11,MN-060287-060287754,2700025,MN-060287,09,12,277 WESTONKA AREA LEARNING ACADEMY,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,5901 SUNNYFIELD RD E,MINNETRISTA,MN,55364,8888,(952)491-8024,41,Rural: Fringe,No,No,No,†,27.00000,1.60000,16.9000000,13.00000,3.00000
2.70003E+11,MN-060287-060287776,2700025,MN-060287,06,07,277-GRANDVIEW MIDDLE - ALC,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,1881 COMMERCE BLVD,MOUND,MN,55364,8888,(952)491-8301,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.70003E+11,MN-060287-060287762,2700025,MN-060287,09,12,283 ST LOUIS PK INDEPENDENT STUDY,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,1820 XENIUM LN N,PLYMOUTH,MN,55441,8888,(763)550-7223,21,Suburb: Large,No,No,No,†,2.00000,–,†,–,–
2.70003E+11,MN-060287-060287777,2700025,MN-060287,09,12,283-IND STDY 15 AND UNDER - I.S.,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,6425 WEST 33RD ST,SAINT LOUIS PARK,MN,55426,8888,(952)928-6023,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.70003E+11,MN-060287-060287761,2700025,MN-060287,09,12,283-ST. LOUIS PARK ALC,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,3424 WOODDALE AVE,SAINT LOUIS PARK,MN,55416,2326,(763)550-7223,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.70003E+11,MN-060287-060287861,2700025,MN-060287,09,12,4092 - WATERSHED HIGH SCHOOL ALC,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,6541 16TH AVE SOUTH,RICHFIELD,MN,55423,8888,(612)871-4363,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.70003E+11,MN-060287-060287854,2700025,MN-060287,09,12,4122 - EAGLE RIDGE ACADEMY - IS,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,11111 BREN ROAD  WEST,MINNETONKA,MN,55343,8888,(952)746-7760,13,City: Small,No,No,†,†,0.00000,0.00000,†,†,†
2.70003E+11,MN-060287-060287792,2700025,MN-060287,09,12,4126 - PRAIRIE SEEDS ACADEMY - IS,INTERMEDIATE SCHOOL DISTRICT 287,Hennepin County,6200 W BROADWAY AVE,BROOKLYN PARK,MN,55428,8888,(763)450-1388,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.72385E+11,MN-010622-010622040,2723850,MN-010622,06,12,622 ALTERNATIVE MIDDLE/HIGH SCHOOL,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS,Ramsey County,2520 E 12TH AVENUE,NORTH ST PAUL,MN,55109,8888,(651)748-7450,21,Suburb: Large,No,No,†,†,0.00000,0.00000,†,†,†
2.72124E+11,MN-030001-030001346,2721240,MN-030001,09,12,800 W BROADWAY,Minneapolis Public School District,†,800 WEST BROADWAY,MINNEAPOLIS,MN,55411,8888,(612)668-1450,†,N,No,†,†,†,†,†,†,†,†
2.72124E+11,MN-030001-030001474,2721240,MN-030001,09,12,800 W BROADWAY EXTENDED,Minneapolis Public School District,†,800 WEST BROADWAY,MINNEAPOLIS,MN,55411,8888,(612)668-1450,†,N,No,†,†,†,†,†,†,†,†
2.70226E+11,MN-060916-060916062,2702264,MN-060916,09,12,916 MAHTOMEDI ACADEMY,NORTHEAST METRO 916,Ramsey County,2737 COUNTY RD D,WHITE BEAR LAKE,MN,55110,3935,(651)415-5680,21,Suburb: Large,No,No,No,†,79.00000,4.28000,18.5000000,30.00000,6.00000
2.70003E+11,MN-060917-060917500,2700026,MN-060917,PK,12,917 DASH,INTERMEDIATE SCHOOL DISTRICT 917,Dakota County,1300 145TH ST,ROSEMOUNT,MN,55068,8888,(651)423-8401,41,Rural: Fringe,No,No,No,†,34.00000,11.36000,3.0000000,13.00000,0.00000
2.70003E+11,MN-060917-060917051,2700026,MN-060917,KG,12,917 INTRA-DAKOTA EDUCATIONAL ALT,INTERMEDIATE SCHOOL DISTRICT 917,Dakota County,14300 BISCAYNE AVE,ROSEMOUNT,MN,55068,8888,(651)423-8100,13,City: Small,No,No,No,†,42.00000,11.56000,3.6000000,25.00000,4.00000
2.70003E+11,MN-060917-060917061,2700026,MN-060917,KG,12,917 PACES,INTERMEDIATE SCHOOL DISTRICT 917,Dakota County,1300 145TH ST,ROSEMOUNT,MN,55068,2999,(651)423-8401,41,Rural: Fringe,No,No,No,†,30.00000,7.79000,3.9000000,7.00000,3.00000
2.70003E+11,MN-060917-060917400,2700026,MN-060917,KG,12,917 SUN,INTERMEDIATE SCHOOL DISTRICT 917,Dakota County,14300 BISCAYNE AVENUE WEST,ROSEMOUNT,MN,55068,8888,(651)423-8150,21,Suburb: Large,No,No,No,†,92.00000,18.52000,5.0000000,40.00000,9.00000
