National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (4172) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Illinois""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.73081E+11,IL-07-016-1630-02-0701616302008,1730810,IL-07-016-1630-02,–,–,21st Century Primary Center,Park Forest SD 163,Cook County,240 S Orchard Dr,Park Forest,IL,60466,2045,(708)668-9425,21,Suburb: Large,No,No,Yes,Yes,198.00000,16.00000,12.4000000,167.00000,3.00000
1.73027E+11,IL-24-047-3080-26-2404730803003,1730270,IL-24-047-3080-26,–,–,308 Center,CUSD 308,†,61 Franklin St,Oswego,IL,60543,8336,(630)554-6871,†,N,No,†,†,†,†,†,†,†,†
1.70804E+11,IL-50-082-1870-26-5008218701014,1708040,IL-50-082-1870-26,–,–,7th Grade Academy,Cahokia CUSD 187,St. Clair County,1900 Mousette Ln,Cahokia,IL,62206,2922,(618)332-5901,21,Suburb: Large,No,No,Yes,Yes,215.00000,12.50000,17.2000000,167.00000,0.00000
1.70804E+11,IL-50-082-1870-26-5008218701015,1708040,IL-50-082-1870-26,–,–,8th Grade Academy,Cahokia CUSD 187,St. Clair County,1900 Mousette Ln,Cahokia,IL,62206,2922,(618)332-4705,21,Suburb: Large,No,No,Yes,Yes,190.00000,10.08000,18.8000000,142.00000,0.00000
1.70654E+11,IL-07-016-2180-16-0701621800007,1706540,IL-07-016-2180-16,–,–,A B Shepard High Sch (Campus),CHSD 218,Cook County,13049 S Ridgeland,Palos Heights,IL,60463,2625,(708)371-1111,21,Suburb: Large,No,No,Yes,Yes,1768.00000,116.40000,15.2000000,1292.00000,468.00000
1.73451E+11,IL-04-101-2050-25-0410120502059,1734510,IL-04-101-2050-25,–,–,A C Thompson Elem School,Rockford SD 205,Winnebago County,4949 Marion Ave,Rockford,IL,61108,6534,(815)229-2830,12,City: Midsize,No,No,Yes,Yes,284.00000,17.99000,15.8000000,159.00000,0.00000
1.70002E+11,IL-07-016-8060-60-0701680606001,1700024,IL-07-016-8060-60,–,–,A E R O Educational Center,A E R O  Spec Educ Coop,Cook County,7600 Mason Ave,Burbank,IL,60459,1200,(708)496-3330,21,Suburb: Large,No,No,No,†,†,15.00000,†,†,†
1.73399E+11,IL-06-016-0960-02-0601609602001,1733990,IL-06-016-0960-02,–,–,A F Ames Elem School,Riverside SD 96,Cook County,86 Southcote Rd,Riverside,IL,60546,1633,(708)447-0759,21,Suburb: Large,No,No,No,†,359.00000,25.52000,14.1000000,51.00000,0.00000
1.70011E+11,IL-34-049-1870-26-3404918702008,1700110,IL-34-049-1870-26,–,–,A J Katzenmaier Academy,North Chicago SD 187,Lake County,1829 Kennedy Dr,North Chicago,IL,60064,2335,(847)689-6330,21,Suburb: Large,No,No,Yes,Yes,354.00000,26.00000,13.6000000,247.00000,57.00000
1.72058E+11,IL-56-099-0860-05-5609908602011,1720580,IL-56-099-0860-05,–,–,A O Marshall Elem School,Joliet PSD 86,Will County,319 Harwood St,Joliet,IL,60432,2716,(815)727-4919,21,Suburb: Large,No,No,Yes,Yes,572.00000,29.05000,19.7000000,486.00000,0.00000
