National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (2649) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""North Carolina""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.70001E+11,NC-740-302,3700012,NC-740,06,08,A G Cox Middle,Pitt County Schools,Pitt County,2657 Church Street,Winterville,NC,28590,,(252)756-3105,22,Suburb: Midsize,No,No,Yes,Yes,788.00000,50.10000,15.7000000,301.00000,45.00000
3.70333E+11,NC-650-384,3703330,NC-650,KG,05,A H Snipes Academy of Arts/Des,New Hanover County Schools,New Hanover County,2150 Chestnut Street,Wilmington,NC,28405,,(910)251-6175,12,City: Midsize,No,No,Yes,Yes,448.00000,36.08000,12.4000000,445.00000,0.00000
3.70243E+11,NC-132-304,3702430,NC-132,09,12,A L Brown High,Kannapolis City Schools,Cabarrus County,415 E 1st Street,Kannapolis,NC,28083,4501,(704)932-6125,22,Suburb: Midsize,No,No,Yes,Yes,1457.00000,95.30000,15.3000000,1454.00000,0.00000
3.70348E+11,NC-680-304,3703480,NC-680,06,08,A L Stanback Middle,Orange County Schools,Orange County,3700 NC 86 South,Hillsborough,NC,27278,2032,(919)644-3200,41,Rural: Fringe,No,No,Yes,Yes,629.00000,47.63000,13.2000000,300.00000,26.00000
3.70053E+11,NC-130-304,3700530,NC-130,KG,05,A T Allen Elementary,Cabarrus County Schools,Cabarrus County,3939 Abilene Rd,Concord,NC,28025,0443,(704)788-2182,41,Rural: Fringe,No,No,Yes,Yes,888.00000,57.51000,15.4000000,496.00000,70.00000
3.70037E+11,NC-13C-000,3700372,NC-13C,KG,07,A.C.E. Academy,A.C.E. Academy,Cabarrus County,4311 School House Commons Driv,Harrisburg,NC,28075,,(704)456-7153,22,Suburb: Midsize,Yes,No,Yes,Yes,311.00000,14.90000,20.9000000,52.00000,55.00000
3.70472E+11,NC-920-303,3704720,NC-920,PK,05,Abbotts Creek Elementary,Wake County Schools,Wake County,9900 Durant Road,Raleigh,NC,27614,,(919)694-0555,11,City: Large,No,No,No,†,657.00000,41.25000,15.9000000,186.00000,14.00000
3.70309E+11,NC-630-308,3703090,NC-630,03,05,Aberdeen Elementary,Moore County Schools,Moore County,503 Sandhills Blvd N,Aberdeen,NC,28315,2111,(910)944-1124,32,Town: Distant,No,No,Yes,Yes,324.00000,21.00000,15.4000000,235.00000,25.00000
3.70309E+11,NC-630-304,3703090,NC-630,PK,02,Aberdeen Primary,Moore County Schools,Moore County,310 Keyser St,Aberdeen,NC,28315,3499,(910)944-1523,32,Town: Distant,No,No,Yes,Yes,333.00000,26.00000,12.8000000,236.00000,23.00000
3.70096E+11,NC-240-308,3700960,NC-240,PK,05,Acme Delco Elementary,Columbus County Schools,Columbus County,PO Box 704,Riegelwood,NC,28456,0704,(910)655-2957,42,Rural: Distant,No,No,Yes,Yes,365.00000,25.85000,14.1000000,361.00000,0.00000
