National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (750) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Idaho""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.60153E+11,ID-091-1152,1601530,ID-091,04,12,3B JUVENILE DETENTION CENTER,IDAHO FALLS DISTRICT,Bonneville County,950 ENVIRONMENTAL WAY,IDAHO FALLS,ID,83401,1621,(208)542-2947,13,City: Small,No,No,No,†,16.00000,1.25000,12.8000000,8.00000,0.00000
1.60222E+11,ID-281-0756,1602220,ID-281,PK,05,A B MCDONALD ELEMENTARY SCHOOL,MOSCOW DISTRICT,Latah County,2323 EAST D STREET,MOSCOW,ID,83843,9577,(208)882-0228,32,Town: Distant,No,No,No,†,385.00000,22.17000,17.4000000,95.00000,33.00000
1.60153E+11,ID-091-0415,1601530,ID-091,PK,06,A H BUSH ELEMENTARY SCHOOL,IDAHO FALLS DISTRICT,Bonneville County,380 WEST ANDERSON STREET,IDAHO FALLS,ID,83402,2141,(208)525-7602,13,City: Small,No,Yes,Yes,Yes,473.00000,21.95000,21.5000000,321.00000,49.00000
1.60024E+11,ID-033-0370,1600240,ID-033,PK,05,A J WINTERS ELEMENTARY SCHOOL,BEAR LAKE COUNTY DISTRICT,Bear Lake County,535 CLAY STREET,MONTPELIER,ID,83254,1234,(208)847-0477,43,Rural: Remote,No,No,Yes,Yes,334.00000,14.16000,23.6000000,152.00000,42.00000
1.60108E+11,ID-059-0390,1601080,ID-059,PK,04,A W JOHNSON ELEMENTARY SCHOOL,FIRTH DISTRICT,Bingham County,735 N 600 E,FIRTH,ID,83236,1128,(208)346-6848,42,Rural: Distant,No,No,Yes,Yes,284.00000,14.27000,19.9000000,43.00000,23.00000
1.60003E+11,ID-058-0298,1600030,ID-058,PK,05,ABERDEEN ELEMENTARY SCHOOL,ABERDEEN DISTRICT,Bingham County,PO BOX 610,ABERDEEN,ID,83210,0610,(208)397-4115,42,Rural: Distant,No,No,Yes,Yes,373.00000,20.00000,18.7000000,246.00000,41.00000
1.60003E+11,ID-058-0036,1600030,ID-058,09,12,ABERDEEN HIGH SCHOOL,ABERDEEN DISTRICT,Bingham County,PO BOX 610,ABERDEEN,ID,83210,0610,(208)397-4152,42,Rural: Distant,No,No,Yes,Yes,199.00000,15.40000,12.9000000,107.00000,14.00000
1.60003E+11,ID-058-0299,1600030,ID-058,06,08,ABERDEEN MIDDLE SCHOOL,ABERDEEN DISTRICT,Bingham County,PO BOX 610,ABERDEEN,ID,83210,0610,(208)397-3280,42,Rural: Distant,No,No,Yes,Yes,165.00000,11.23000,14.7000000,115.00000,16.00000
1.60219E+11,ID-331-0786,1602190,ID-331,PK,05,ACEQUIA ELEMENTARY SCHOOL,MINIDOKA COUNTY JOINT DISTRICT,Minidoka County,360 N 350 E,RUPERT,ID,83350,9428,(208)436-6985,42,Rural: Distant,No,No,Yes,Yes,327.00000,15.00000,21.8000000,294.00000,30.00000
1.60036E+11,ID-001-9002,1600360,ID-001,05,12,ADA COUNTY JUVENILE CENTER,BOISE INDEPENDENT DISTRICT,Ada County,6300 DENTON STREET,BOISE,ID,83704,9326,(208)854-4150,12,City: Midsize,No,No,No,†,21.00000,2.00000,10.5000000,5.00000,0.00000
1.6021E+11,ID-002-0564,1602100,ID-002,10,12,ADA PROFESSIONAL-TECHNICAL CENTER,JOINT SCHOOL DISTRICT NO. 2,Ada County,1900 WEST PINE,MERIDIAN,ID,83642,6295,(208)855-4198,21,Suburb: Large,No,No,†,†,0.00000,1.00000,†,†,†
1.60192E+11,ID-321-0777,1601920,ID-321,KG,04,ADAMS ELEMENTARY SCHOOL,MADISON DISTRICT,Madison County,110 NORTH 2ND EAST STREET,REXBURG,ID,83440,1620,(208)359-3335,32,Town: Distant,No,No,Yes,Yes,334.00000,15.28000,21.9000000,102.00000,40.00000
1.60036E+11,ID-001-0315,1600360,ID-001,PK,06,ADAMS ELEMENTARY SCHOOL,BOISE INDEPENDENT DISTRICT,Ada County,1725 EAST WARM SPRINGS AVENUE,BOISE,ID,83712,8149,(208)854-4190,12,City: Midsize,No,No,No,†,346.00000,16.28000,21.3000000,46.00000,5.00000
1.60264E+11,ID-025-0023,1602640,ID-025,06,08,ALAMEDA MIDDLE SCHOOL,POCATELLO DISTRICT,Bannock County,845 MCKINLEY AVENUE,POCATELLO,ID,83201,4952,(208)232-0378,13,City: Small,No,No,Yes,Yes,662.00000,34.47000,19.2000000,298.00000,89.00000
1.60066E+11,ID-151-0475,1600660,ID-151,PK,05,ALBION ELEMENTARY SCHOOL,CASSIA COUNTY JOINT DISTRICT,Cassia County,401 MARKET STREET,ALBION,ID,83311,0038,(208)673-6653,42,Rural: Distant,No,No,Yes,Yes,40.00000,2.49000,16.1000000,11.00000,4.00000
1.60066E+11,ID-151-0468,1600660,ID-151,PK,06,ALMO ELEMENTARY SCHOOL,CASSIA COUNTY JOINT DISTRICT,Cassia County,PO BOX 168,ALMO,ID,83312,0168,(208)824-5526,43,Rural: Remote,No,No,Yes,Yes,13.00000,1.00000,13.0000000,3.00000,3.00000
1.6003E+11,ID-061-0636,1600300,ID-061,PK,05,ALTURAS ELEMENTARY SCHOOL,BLAINE COUNTY DISTRICT,Blaine County,1111 WOODSIDE ELEMENTARY LANE,HAILEY,ID,83333,8823,(208)578-5090,33,Town: Remote,No,Yes,Yes,Yes,417.00000,35.23000,11.8000000,190.00000,67.00000
1.60018E+11,ID-495-1385,1600175,ID-495,KG,06,ALTURAS INTERNATIONAL ACADEMY,FORRESTER ACADEMY INC.,Bonneville County,2105 CORONADO STREET,IDAHO FALLS,ID,83404,7495,(208)522-5145,13,City: Small,Yes,†,†,†,†,†,†,†,†
1.60006E+11,ID-381-0261,1600060,ID-381,06,12,AMERICAN FALLS ACADEMY,AMERICAN FALLS JOINT DISTRICT,Power County,598 LINCOLN,AMERICAN FALLS,ID,83211,1762,(208)226-5008,32,Town: Distant,No,No,No,†,23.00000,3.31000,6.9000000,19.00000,3.00000
1.60006E+11,ID-381-0168,1600060,ID-381,09,12,AMERICAN FALLS HIGH SCHOOL,AMERICAN FALLS JOINT DISTRICT,Power County,2966 SOUTH FRONTAGE ROAD,AMERICAN FALLS,ID,83211,5404,(208)226-2531,41,Rural: Fringe,No,No,Yes,Yes,395.00000,24.41000,16.2000000,197.00000,43.00000
