National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (371) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Wyoming""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
5.60147E+11,WY-0301000-0301002,5601470,WY-0301000,–,–,4-J Elementary School,Campbell County School District #1,Campbell County,P.O. Box 3033,Gillette,WY,82717,3033,(307)682-3076,43,Rural: Remote,No,No,No,†,33.00000,5.10000,6.5000000,3.00000,3.00000
5.60198E+11,WY-1101000-1101027,5601980,WY-1101000,–,–,Afflerbach Elementary,Laramie County School District #1,Laramie County,400 West Wallick Rd,Cheyenne,WY,82007,9324,(307)771-2300,23,Suburb: Small,No,No,Yes,Yes,458.00000,34.53000,13.3000000,458.00000,0.00000
5.60406E+11,WY-1202000-1202001,5604060,WY-1202000,–,–,Afton Elementary,Lincoln County School District #2,Lincoln County,333 East 1st Avenue,Afton,WY,83110,,(307)885-8002,43,Rural: Remote,No,No,Yes,Yes,458.00000,31.01000,14.8000000,121.00000,51.00000
5.60412E+11,WY-1102000-1102001,5604120,WY-1102000,–,–,Albin Elementary,Laramie County School District #2,Laramie County,P.O. Box 38,Albin,WY,82050,0038,(307)245-4090,43,Rural: Remote,No,No,Yes,No,62.00000,8.70000,7.1000000,27.00000,3.00000
5.60451E+11,WY-1301000-1301001,5604510,WY-1301000,–,–,Alcova Elementary,Natrona County School District #1,Natrona County,P.O. Box 106,Alcova,WY,82620,0106,(307)472-2079,42,Rural: Distant,No,No,No,†,8.00000,1.00000,8.0000000,–,–
5.60583E+11,WY-2001000-2001001,5605830,WY-2001000,–,–,Alta Elementary,Teton County School District #1,Teton County,Route 1 Box 3480,Alta,WY,83414,,(307)353-2472,43,Rural: Remote,No,No,No,†,45.00000,5.74000,7.8000000,6.00000,0.00000
5.60198E+11,WY-1101000-1101001,5601980,WY-1101000,–,–,Alta Vista Elementary,Laramie County School District #1,Laramie County,1514 East 16th Street,Cheyenne,WY,82001,4999,(307)771-2310,13,City: Small,No,No,Yes,Yes,304.00000,24.74000,12.3000000,167.00000,35.00000
5.60198E+11,WY-1101000-1101026,5601980,WY-1101000,–,–,Anderson Elementary,Laramie County School District #1,Laramie County,2204 Plain View Road,Cheyenne,WY,82009,4433,(307)771-2606,13,City: Small,No,No,No,†,371.00000,26.12000,14.2000000,97.00000,33.00000
5.60096E+11,WY-0738000-0738055,5600960,WY-0738000,–,–,Arapahoe Charter High School,Fremont County School District #38,Fremont County,445 Little Wind River Bottom R,Arapahoe,WY,82510,,(307)856-3862,42,Rural: Distant,Yes,No,Yes,Yes,30.00000,6.20000,4.8000000,30.00000,0.00000
5.60096E+11,WY-0738000-0738001,5600960,WY-0738000,–,–,Arapahoe Elementary,Fremont County School District #38,Fremont County,445 Little Wind River Bottom R,Arapahoe,WY,82510,0211,(307)856-9333,42,Rural: Distant,No,No,Yes,Yes,413.00000,38.80000,10.6000000,413.00000,0.00000
5.60198E+11,WY-1101000-1101002,5601980,WY-1101000,–,–,Arp Elementary,Laramie County School District #1,Laramie County,1216 Reiner Ct,Cheyenne,WY,82007,2617,(307)771-2365,23,Suburb: Small,No,No,Yes,Yes,374.00000,27.90000,13.4000000,252.00000,41.00000
5.60568E+11,WY-1703000-1703001,5605680,WY-1703000,–,–,Arvada Elementary,Sheridan County School District #3,Sheridan County,P.O. Box 125,Clearmont,WY,82835,,(307)758-4412,43,Rural: Remote,No,No,No,†,6.00000,1.40000,4.3000000,–,–
5.60522E+11,WY-0725000-0725002,5605220,WY-0725000,–,–,Ashgrove Elementary,Fremont County School District #25,†,121 North 5th Street,Riverton,WY,82501,,(307)856-2626,†,N,No,†,†,†,†,†,†,†,†
5.60522E+11,WY-0725000-0725009,5605220,WY-0725000,–,–,Aspen Early Learning Center,Fremont County School District #25,†,121 North 5th Street West,Riverton,WY,82501,,(307)856-2625,†,N,No,†,†,†,†,†,†,†,†
5.60276E+11,WY-2101000-2101006,5602760,WY-2101000,–,–,Aspen Elementary,Uinta County School District #1,Uinta County,P.O. Box 6002,Evanston,WY,82931,6002,(307)789-3106,33,Town: Remote,No,No,Yes,Yes,329.00000,28.00000,11.8000000,118.00000,38.00000
5.60198E+11,WY-1101000-1101003,5601980,WY-1101000,–,–,Baggs Elementary,Laramie County School District #1,Laramie County,3705 Cheyenne Street,Cheyenne,WY,82001,1880,(307)771-2385,13,City: Small,No,No,Yes,Yes,323.00000,24.95000,12.9000000,159.00000,43.00000
5.60198E+11,WY-1101000-1101004,5601980,WY-1101000,–,–,Bain Elementary,Laramie County School District #1,Laramie County,903 Adams Ave,Cheyenne,WY,82001,6672,(307)771-2525,13,City: Small,No,No,No,†,339.00000,22.46000,15.1000000,114.00000,42.00000
5.60287E+11,WY-0701000-0701009,5602870,WY-0701000,–,–,Baldwin Creek Elementary,Fremont County School District # 1,Fremont County,350 Smith Street,Lander,WY,82520,2645,(307)332-6967,33,Town: Remote,No,No,Yes,Yes,258.00000,18.50000,13.9000000,73.00000,12.00000
5.60451E+11,WY-1301000-1301033,5604510,WY-1301000,–,–,Bar Nunn Elementary,Natrona County School District #1,Natrona County,2050 Siebke Drive,Casper,WY,82601,9477,(307)253-4000,41,Rural: Fringe,No,No,Yes,Yes,262.00000,19.71000,13.3000000,90.00000,42.00000
5.60237E+11,WY-0601000-0601058,5602370,WY-0601000,–,–,Bear Lodge High School,Crook County School District #1,Crook County,P.O. Box 1160,Sundance,WY,82729,1160,(307)283-2144,43,Rural: Remote,No,No,No,†,15.00000,2.14000,7.0000000,7.00000,3.00000
5.60073E+11,WY-0101000-0101002,5600730,WY-0101000,–,–,Beitel Elementary,Albany County School District #1,Albany County,811 South 17th Street,Laramie,WY,82070,4215,(307)721-4436,33,Town: Remote,No,No,No,†,278.00000,22.92000,12.1000000,49.00000,11.00000
5.60002E+11,WY-0950000-0950002,5600016,WY-0950000,–,–,Big Horn Basin Children's Center,Northwest Wyoming BOCES,Hot Springs County,P.O. Box 112,Thermopolis,WY,82443,0112,(307)864-2171,41,Rural: Fringe,No,No,†,†,0.00000,3.93000,†,0.00000,0.00000
5.60569E+11,WY-1701000-1701001,5605690,WY-1701000,–,–,Big Horn Elementary,Sheridan County School District #1,Sheridan County,P.O. Box 490,Big Horn,WY,82833,0490,(307)672-3497,42,Rural: Distant,No,No,No,†,182.00000,14.00000,13.0000000,18.00000,4.00000
5.60569E+11,WY-1701000-1701055,5605690,WY-1701000,–,–,Big Horn High School,Sheridan County School District #1,Sheridan County,P.O. Box 490,Big Horn,WY,82833,0490,(307)674-8190,42,Rural: Distant,No,No,No,†,146.00000,13.51000,10.8000000,4.00000,4.00000
5.60569E+11,WY-1701000-1701050,5605690,WY-1701000,–,–,Big Horn Middle School,Sheridan County School District #1,Sheridan County,P.O. Box 490,Big Horn,WY,82833,0490,(307)674-8190,42,Rural: Distant,No,No,No,†,112.00000,9.20000,12.2000000,6.00000,3.00000
5.60126E+11,WY-1809000-1809001,5601260,WY-1809000,–,–,Big Piney Elementary,Sublette County School District #9,Sublette County,P.O. Box 769,Big Piney,WY,83113,0769,(307)276-3313,43,Rural: Remote,No,No,Yes,No,208.00000,21.14000,9.8000000,60.00000,14.00000
5.60126E+11,WY-1809000-1809055,5601260,WY-1809000,–,–,Big Piney High School,Sublette County School District #9,Sublette County,P.O. Box 769,Big Piney,WY,83113,0769,(307)276-3324,43,Rural: Remote,No,No,No,†,192.00000,15.81000,12.1000000,37.00000,8.00000
5.60126E+11,WY-1809000-1809050,5601260,WY-1809000,–,–,Big Piney Middle School,Sublette County School District #9,Sublette County,P.O. Box 769,Big Piney,WY,83113,0769,(307)276-3315,43,Rural: Remote,No,No,No,†,147.00000,12.19000,12.1000000,37.00000,8.00000
5.6053E+11,WY-1901000-1901057,5605302,WY-1901000,–,–,Black Butte High School,Sweetwater County School District #1,Sweetwater County,P.O. Box 1089,Rock Springs,WY,82902,1089,(307)352-3290,33,Town: Remote,No,No,No,†,95.00000,9.29000,10.2000000,23.00000,5.00000
5.60486E+11,WY-1801000-1801001,5604860,WY-1801000,–,–,Bondurant Elementary,Sublette County School District #1,Sublette County,P.O. Box 549,Pinedale,WY,82941,0549,(307)367-2828,43,Rural: Remote,No,No,No,†,4.00000,1.00000,4.0000000,–,–
5.60215E+11,WY-0502000-0502001,5602150,WY-0502000,–,–,Boxelder Elementary,Converse County School District #2,Converse County,P.O. Box 1300,Glenrock,WY,82637,,(307)436-8953,42,Rural: Distant,No,No,No,†,7.00000,1.00000,7.0000000,–,–
5.60377E+11,WY-1001000-1001055,5603770,WY-1001000,–,–,Buffalo High School,Johnson County School District #1,Johnson County,29891 Old Hwy 87,Buffalo,WY,82834,2139,(307)684-2269,41,Rural: Fringe,No,No,No,†,322.00000,31.19000,10.3000000,50.00000,26.00000
5.60198E+11,WY-1101000-1101005,5601980,WY-1101000,–,–,Buffalo Ridge Elementary,Laramie County School District #1,Laramie County,5331 Pineridge Ave,Cheyenne,WY,82009,5208,(307)771-2595,13,City: Small,No,No,No,†,294.00000,21.92000,13.4000000,105.00000,36.00000
5.60147E+11,WY-0301000-0301025,5601470,WY-0301000,–,–,Buffalo Ridge Elementary,Campbell County School District #1,Campbell County,PO Box 3033,Gillette,WY,82717,3033,(307)686-3058,41,Rural: Fringe,No,No,No,†,473.00000,33.50000,14.1000000,83.00000,38.00000
