National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1856) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Massachusetts""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.50732E+11,MA-0170-01700045,2507320,MA-0170,05,08,1 LT Charles W. Whitcomb School,Marlborough,Middlesex County,25 Union Street,Marlborough,MA,01752,,(508)460-3502,21,Suburb: Large,No,No,Yes,Yes,1298.00000,112.82000,11.5000000,–,–
2.51251E+11,MA-0332-03320515,2512510,MA-0332,09,12,21st Century Skills Academy,West Springfield,Hampden County,174 Brush Hill Avenue,West Springfield,MA,01089,,(413)735-2200,21,Suburb: Large,No,No,No,†,18.00000,5.13000,3.5000000,–,–
2.50711E+11,MA-0163-01630016,2507110,MA-0163,KG,05,A Drewicz Elementary,Lynn,Essex County,34 Hood Street,Lynn,MA,01905,,(781)477-7350,21,Suburb: Large,No,No,Yes,Yes,506.00000,28.75000,17.6000000,–,–
2.50861E+11,MA-0207-02070005,2508610,MA-0207,KG,05,A E Angier,Newton,Middlesex County,1697 Beacon Street,Waban,MA,02468,,(617)559-9300,13,City: Small,No,No,No,†,409.00000,33.47000,12.2000000,–,–
2.50272E+11,MA-0622-06220015,2502715,MA-0622,03,05,A F Maloney,Blackstone-Millville,Worcester County,200 Lincoln Street,Blackstone,MA,01504,,(508)876-0119,21,Suburb: Large,No,No,Yes,No,274.00000,20.09000,13.6000000,–,–
2.51005E+11,MA-0248-02480003,2510050,MA-0248,KG,05,A. C. Whelan Elementary School,Revere,Suffolk County,107 Newhall Street,Revere,MA,02151,,(781)388-7510,21,Suburb: Large,No,No,Yes,Yes,715.00000,51.25000,14.0000000,–,–
2.50219E+11,MA-0016-00160001,2502190,MA-0016,KG,04,A. Irvin Studley Elementary School,Attleboro,Bristol County,299 Rathbun Willard Drive,Attleboro,MA,02703,,(508)222-2621,21,Suburb: Large,No,No,Yes,No,451.00000,29.34000,15.4000000,–,–
2.51266E+11,MA-0326-03260004,2512660,MA-0326,03,05,Abbot Elementary,Westford,Middlesex County,25 Depot Street,Westford,MA,01886,,(978)692-5580,21,Suburb: Large,No,No,No,†,388.00000,27.15000,14.3000000,–,–
2.50492E+11,MA-0098-00980005,2504920,MA-0098,PK,08,Abbott Memorial,Florida,Berkshire County,56 North County Rd,Florida,MA,01247,,(413)664-6023,41,Rural: Fringe,No,No,No,†,87.00000,11.80000,7.4000000,–,–
2.50005E+11,MA-0445-04450105,2500051,MA-0445,KG,12,Abby Kelley Foster Charter Public School,Abby Kelley Foster Charter Public (District),Worcester County,10 New Bond Street,Worcester,MA,01606,,(508)854-8400,12,City: Midsize,Yes,No,Yes,Yes,1426.00000,118.05000,12.1000000,–,–
