National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1514) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Alabama""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
010108001767,AL-126-0015,0101080,AL-126,KG,06,A M Windham Elem Sch,Daleville City,Dale County,626 N. Daleville Ave,Daleville,AL,36322,,(334)598-4466,32,Town: Distant,No,No,-9,-9,539.00000,32.00000,16.8000000,385.00000,37.00000
010135000482,AL-027-0010,0101350,AL-027,03,04,A.C. Moore Elem Sch,Escambia County,Escambia County,501 Beck St,Atmore,AL,36502,,(251)368-4245,32,Town: Distant,No,No,-9,-9,280.00000,16.00000,17.5000000,238.00000,9.00000
010174002120,AL-034-0025,0101740,AL-034,01,12,Abbeville Alt Sch,Henry County,Henry County,300a North Trawick Street,Abbeville,AL,36310,,(334)585-2012,42,Rural: Distant,No,No,-9,-9,–,–,†,–,–
010174000602,AL-034-0017,0101740,AL-034,KG,06,Abbeville Elem Sch,Henry County,Henry County,100 Elm St,Abbeville,AL,36310,,(334)585-3679,42,Rural: Distant,No,No,-9,-9,383.00000,25.00000,15.3000000,304.00000,21.00000
010174000600,AL-034-0020,0101740,AL-034,07,12,Abbeville High Sch,Henry County,Henry County,411 Graball Cutoff,Abbeville,AL,36310,,(334)585-2065,42,Rural: Distant,No,No,-9,-9,388.00000,25.00000,15.5000000,309.00000,31.00000
010351001342,AL-066-0010,0103510,AL-066,PK,06,ABC Elem,Wilcox County,Wilcox County,P O Box 129,Alberta,AL,36720,,(334)573-2550,43,Rural: Remote,No,No,-9,-9,150.00000,9.00000,16.7000000,105.00000,0.00000
010033001479,AL-113-0015,0100330,AL-113,PK,05,Abrams Elem Sch,Bessemer City,Jefferson County,1200 23rd St N,Bessemer,AL,35020,,(205)432-3100,21,Suburb: Large,No,No,-9,-9,356.00000,21.00000,17.0000000,271.00000,0.00000
010180000620,AL-159-0025,0101800,AL-159,KG,08,Acad For Academics & Arts,Huntsville City,Madison County,2800 Poplar St NW,Huntsville,AL,35816,,(256)428-7600,12,City: Midsize,No,Yes,-9,-9,653.00000,46.00000,14.2000000,154.00000,0.00000
010180000624,AL-159-0080,0101800,AL-159,PK,08,Acad For Science & Foreign Language,Huntsville City,Madison County,3221 Mastin Lake Rd,Huntsville,AL,35810,,(256)428-7000,12,City: Midsize,No,Yes,-9,-9,553.00000,38.00000,14.6000000,170.00000,0.00000
010019702432,AL-800-0010,0100197,AL-800,09,12,Acceleration Day and Evening Acad,Acceleration Day and Evening Acad,†,605 Bel Air Blvd Suite 400,Mobile,AL,36606,,(251)476-0002,†,N,Yes,†,†,†,†,†,†,†,†
010162001665,AL-144-0085,0101620,AL-144,PK,05,Adams Elem Sch,Gadsden City,Etowah County,919 Raley St,Gadsden,AL,35903,,(256)492-4952,13,City: Small,No,No,-9,-9,408.00000,23.73000,17.2000000,336.00000,13.00000
010192000681,AL-037-0030,0101920,AL-037,KG,05,Adamsville Elem Sch,Jefferson County,Jefferson County,600 Hazelwood Road,Adamsville,AL,35005,,(205)379-2400,21,Suburb: Large,No,No,-9,-9,311.00000,20.50000,15.2000000,200.00000,26.00000
010358001463,AL-067-0015,0103580,AL-067,KG,06,Addison Elem Sch,Winston County,Winston County,P O Box 660,Addison,AL,35540,,(256)747-1665,42,Rural: Distant,No,No,-9,-9,277.00000,18.39000,15.1000000,111.00000,37.00000
010358001356,AL-067-0010,0103580,AL-067,07,12,Addison High Sch,Winston County,Winston County,P O Box 240,Addison,AL,35540,,(205)747-2286,42,Rural: Distant,No,No,-9,-9,315.00000,19.11000,16.5000000,136.00000,34.00000
010039001296,AL-114-3000,0100390,AL-114,KG,12,Adolescent Day Treatment,Birmingham City,Jefferson County,1632 7th Ave S,Birmingham,AL,35233,,(205)934-1241,12,City: Midsize,No,No,-9,-9,3.00000,–,†,–,–
010318001209,AL-061-0010,0103180,AL-061,KG,04,AH Watwood Elem Sch,Talladega County,Talladega County,2000 Limbaugh Blvd,Childersburg,AL,35044,,(256)315-5460,32,Town: Distant,No,No,-9,-9,376.00000,23.60000,15.9000000,258.00000,19.00000
010129002147,AL-026-0042,0101290,AL-026,03,04,Airport Road Intermediate Sch,Elmore County,Elmore County,384 Blackmon Farm Lane,Coosada,AL,36020,,(334)285-2115,21,Suburb: Large,No,No,-9,-9,619.00000,31.00000,20.0000000,323.00000,46.00000
010000500870,AL-101-0010,0100005,AL-101,07,08,Ala Avenue Middle Sch,Albertville City,Marshall County,600 E Alabama Ave,Albertville,AL,35950,,(256)878-2341,32,Town: Distant,No,No,-9,-9,704.00000,34.22000,20.6000000,280.00000,0.00000
010018302114,AL-709-0031,0100183,AL-709,†,†,Alabama Clinical School,Alabama Clinical School,Jefferson County,1221 Alton Drive,Birmingham,AL,35210,,(334)242-9700,12,City: Midsize,No,No,-9,-9,†,–,†,†,†
010000901404,AL-600-9010,0100009,AL-600,KG,12,Alabama School For Blind,Al Inst Deaf And Blind,Talladega County,P O BOX 455,Talladega,AL,35160,,(256)761-3259,32,Town: Distant,No,No,-9,-9,–,–,†,–,–
010000901403,AL-600-9000,0100009,AL-600,KG,12,Alabama School For Deaf,Al Inst Deaf And Blind,Talladega County,P O Drawer 698,Talladega,AL,35160,,(256)761-3214,32,Town: Distant,No,No,-9,-9,–,–,†,–,–
010001802104,AL-207-0002,0100018,AL-207,07,12,Alabama School of Fine Arts,Alabama School of Fine Arts,Jefferson County,1800 8th Ave N,Birmingham,AL,35203,,(205)252-9241,12,City: Midsize,No,No,-9,-9,–,–,†,–,–
010000201876,AL-210-0001,0100002,AL-210,†,†,Alabama Youth Services,Alabama Youth Services,Montgomery County,1299 Hillsboro Parkway,Helena,AL,35080,,(205)682-5300,41,Rural: Fringe,No,No,-9,-9,†,–,†,†,†
010248001696,AL-052-0005,0102480,AL-052,09,12,Albert P Brewer High Sch,Morgan County,Morgan County,59 Eva Rd,Somerville,AL,35670,,(256)778-8634,42,Rural: Distant,No,No,-9,-9,909.00000,56.44000,16.1000000,378.00000,69.00000
010248001121,AL-052-6000,0102480,AL-052,10,12,Albert P Brewer Voc Sch,Morgan County,Morgan County,59 Eva Rd,Somerville,AL,35670,,(256)778-8634,42,Rural: Distant,No,No,-9,-9,–,–,†,–,–
010267001734,AL-053-0025,0102670,AL-053,PK,12,Albert Turner Sr Elem Sch,Perry County,Perry County,901 Pegues Cir,Marion,AL,36756,,(334)683-6622,43,Rural: Remote,No,No,-9,-9,804.00000,48.51000,16.6000000,522.00000,0.00000
010336001250,AL-200-0010,0103360,AL-200,PK,08,Alberta Elem Sch,Tuscaloosa City,Tuscaloosa County,2700 University Blvd E,Tuscaloosa,AL,35404,,(205)759-3564,13,City: Small,No,Yes,-9,-9,496.00000,31.73000,15.6000000,224.00000,0.00000
010000500889,AL-101-0200,0100005,AL-101,03,04,Albertville Elem Sch,Albertville City,Marshall County,1100 Horton Rd,Albertville,AL,35950,,(256)878-6611,32,Town: Distant,No,No,-9,-9,863.00000,47.50000,18.2000000,440.00000,0.00000
010000500871,AL-101-0020,0100005,AL-101,09,12,Albertville High Sch,Albertville City,Marshall County,402 E McCord Ave,Albertville,AL,35950,,(256)878-6580,32,Town: Distant,No,No,-9,-9,1290.00000,67.28000,19.2000000,426.00000,0.00000
010000502150,AL-101-0005,0100005,AL-101,01,02,Albertville Primary Sch,Albertville City,Marshall County,1100 Horton Road,Albertville,AL,35950,,(256)878-6611,32,Town: Distant,No,No,-9,-9,1088.00000,61.50000,17.7000000,514.00000,0.00000
010003000001,AL-102-0010,0100030,AL-102,07,08,Alexander City Middle Sch,Alexander City,Tallapoosa County,359 State St,Alexander City,AL,35010,,(256)234-8660,32,Town: Distant,No,No,-9,-9,444.00000,26.00000,17.1000000,201.00000,28.00000
010054001747,AL-008-0005,0100540,AL-008,KG,05,Alexandria Elem Sch,Calhoun County,Calhoun County,P O Box 121,Alexandria,AL,36250,,(256)741-4300,41,Rural: Fringe,No,No,-9,-9,805.00000,49.00000,16.4000000,436.00000,59.00000
010054000232,AL-008-0010,0100540,AL-008,06,12,Alexandria High Sch,Calhoun County,Calhoun County,P O Box 180,Alexandria,AL,36250,,(256)741-4400,41,Rural: Fringe,No,No,-9,-9,1071.00000,63.00000,17.0000000,454.00000,66.00000
010054002429,AL-008-0015,0100540,AL-008,06,07,Alexandria Middle School,Calhoun County,†,353 Stadium Dr,Calhoun,AL,36250,,(256)741-4415,†,N,No,†,†,†,†,†,†,†,†
010273001097,AL-054-0010,0102730,AL-054,PK,04,Aliceville Elem Sch,Pickens County,Pickens County,P O Box 430,Aliceville,AL,35442,,(205)373-8722,43,Rural: Remote,No,No,-9,-9,344.00000,22.43000,15.3000000,247.00000,0.00000
010273001098,AL-054-0020,0102730,AL-054,09,12,Aliceville High Sch,Pickens County,Pickens County,417 3rd St Se,Aliceville,AL,35442,,(205)373-6378,43,Rural: Remote,No,No,-9,-9,284.00000,16.41000,17.3000000,159.00000,0.00000
010273001099,AL-054-0030,0102730,AL-054,05,08,Aliceville Middle Sch,Pickens County,Pickens County,1000 Columbus Rd,Aliceville,AL,35442,,(205)373-6900,43,Rural: Remote,No,No,-9,-9,265.00000,14.43000,18.4000000,167.00000,0.00000
010201000762,AL-039-6000,0102010,AL-039,10,12,Allen Thornton Career Tech Ctr,Lauderdale County,Lauderdale County,7275 Highway 72,Killen,AL,35645,,(256)757-6932,41,Rural: Fringe,No,No,-9,-9,–,–,†,–,–
010237000572,AL-049-0042,0102370,AL-049,KG,05,Allentown Elem Sch,Mobile County,Mobile County,10330 Howells Ferry Rd,Semmes,AL,36575,,(251)221-1000,41,Rural: Fringe,No,No,-9,-9,825.00000,47.00000,17.6000000,273.00000,0.00000
010042000670,AL-005-0010,0100420,AL-005,02,12,Allgood Alt Sch,Blount County,Blount County,45 Community Rd,Oneonta,AL,35121,,(205)274-9865,32,Town: Distant,No,No,-9,-9,–,–,†,–,–
010237000989,AL-049-0136,0102370,AL-049,09,12,Alma Bryant High Sch,Mobile County,Mobile County,14001 Hurricane Blvd,Irvington,AL,36544,,(251)824-3213,41,Rural: Fringe,No,No,-9,-9,1729.00000,93.04000,18.6000000,584.00000,0.00000
010264001385,AL-182-0070,0102640,AL-182,07,12,Alt Learning Ctr,Ozark City,Dale County,227 Faust Ave,Ozark,AL,36360,,(334)774-4949,31,Town: Fringe,No,No,-9,-9,–,–,†,–,–
010288001155,AL-057-0005,0102880,AL-057,05,12,Alt Learning Ctr,Russell County,Russell County,P O Box 400,Phenix City,AL,36868,,(334)855-0513,42,Rural: Distant,No,No,-9,-9,–,–,†,–,–
010333001395,AL-199-0005,0103330,AL-199,06,12,Alt Learning Ctr,Troy City,Pike County,211 Lake Ave,Troy,AL,36081,,(334)566-7134,33,Town: Remote,No,No,-9,-9,–,1.00000,†,–,–
010114000819,AL-025-0020,0101140,AL-025,05,12,Alt Sch,Dekalb County,DeKalb County,P O Box 488,Rainsville,AL,35986,,(256)638-4131,32,Town: Distant,No,No,-9,-9,–,–,†,–,–
010225000852,AL-046-0010,0102250,AL-046,KG,12,Amelia L. Johnson High Sch,Marengo County,Marengo County,PO Box 67,Thomaston,AL,36783,,(334)627-3364,43,Rural: Remote,No,No,-9,-9,177.00000,13.00000,13.6000000,164.00000,0.00000
010006001467,AL-104-0025,0100060,AL-104,KG,06,Andalusia Elem Sch,Andalusia City,Covington County,1501 West Bypass,Andalusia,AL,36420,,(334)222-1224,33,Town: Remote,No,No,-9,-9,1008.00000,52.55000,19.2000000,528.00000,52.00000
010006000007,AL-104-0010,0100060,AL-104,09,12,Andalusia High Sch,Andalusia City,Covington County,701 Third St,Andalusia,AL,36420,,(334)222-7569,33,Town: Remote,No,No,-9,-9,480.00000,29.34000,16.4000000,204.00000,17.00000
010006000008,AL-104-0020,0100060,AL-104,07,08,Andalusia Middle Sch,Andalusia City,Covington County,1201 C C Baker Ave,Andalusia,AL,36421,,(334)222-6542,33,Town: Remote,No,No,-9,-9,257.00000,14.90000,17.2000000,122.00000,12.00000
010237001559,AL-049-0035,0102370,AL-049,PK,05,Anna F Booth Elem Sch,Mobile County,Mobile County,17001 Hurricane Blvd,Irvington,AL,36544,,(251)824-1740,41,Rural: Fringe,No,No,-9,-9,569.00000,28.00000,20.3000000,290.00000,0.00000
010009001246,AL-105-0017,0100090,AL-105,07,12,Anniston City Boot Camp Sch,Anniston City,Calhoun County,4804 McClellan Blvd,Anniston,AL,36206,,(256)231-5068,13,City: Small,No,No,-9,-9,–,–,†,–,–
010009000011,AL-105-0010,0100090,AL-105,09,12,Anniston High Sch,Anniston City,Calhoun County,1301 Woodstock Ave,Anniston,AL,36207,,(256)231-5010,13,City: Small,No,No,-9,-9,517.00000,41.00000,12.6000000,344.00000,0.00000
010009001725,AL-105-0015,0100090,AL-105,06,08,Anniston Middle Sch,Anniston City,Calhoun County,4800 McClellan Blvd,Anniston,AL,36206,,(256)231-5020,13,City: Small,No,No,-9,-9,381.00000,18.00000,21.2000000,295.00000,0.00000
010042000203,AL-005-0020,0100420,AL-005,KG,12,Appalachian �Sch,Blount County,Blount County,350 County Road 12,Oneonta,AL,35121,,(205)274-9712,42,Rural: Distant,No,No,-9,-9,582.00000,37.02000,15.7000000,319.00000,38.00000
010010000022,AL-106-0010,0100100,AL-106,03,05,Arab Elem Sch,Arab City,Marshall County,241 8th Ave NE,Arab,AL,35016,,(256)586-6085,32,Town: Distant,No,No,-9,-9,547.00000,32.22000,17.0000000,179.00000,50.00000
010010000028,AL-106-0020,0100100,AL-106,09,12,Arab High Sch,Arab City,Marshall County,511 Arabian Dr NE,Arab,AL,35016,,(256)586-6026,41,Rural: Fringe,No,No,-9,-9,780.00000,52.05000,15.0000000,200.00000,61.00000
010010000027,AL-106-0030,0100100,AL-106,06,08,Arab Jr High Sch,Arab City,Marshall County,911 Old Cullman Rd,Arab,AL,35016,,(256)586-6074,41,Rural: Fringe,No,No,-9,-9,553.00000,38.44000,14.4000000,172.00000,62.00000
010010000025,AL-106-0040,0100100,AL-106,PK,02,Arab Primary Sch,Arab City,Marshall County,121 Mimosa St NE,Arab,AL,35016,,(256)586-6005,41,Rural: Fringe,No,No,-9,-9,660.00000,40.00000,16.5000000,241.00000,39.00000
010336001251,AL-200-0020,0103360,AL-200,PK,05,Arcadia Elem Sch,Tuscaloosa City,Tuscaloosa County,3740 Arcadia Dr,Tuscaloosa,AL,35404,,(205)759-3567,13,City: Small,No,No,-9,-9,334.00000,18.60000,18.0000000,123.00000,0.00000
010210000797,AL-042-0010,0102100,AL-042,06,12,Ardmore High Sch,Limestone County,Limestone County,30285 Ardmore Ave,Ardmore,AL,35739,,(256)423-2685,42,Rural: Distant,No,No,-9,-9,954.00000,48.11000,19.8000000,322.00000,66.00000
010105000388,AL-023-0010,0101050,AL-023,KG,12,Ariton Sch,Dale County,Dale County,P O Box 750,Ariton,AL,36311,,(334)762-3152,42,Rural: Distant,No,No,-9,-9,680.00000,37.85000,18.0000000,313.00000,44.00000
010039001649,AL-114-0802,0100390,AL-114,06,08,Arrington Middle Sch,Birmingham City,Jefferson County,2101 Jefferson Ave SW,Birmingham,AL,35211,,(205)231-1130,12,City: Midsize,No,No,-9,-9,371.00000,18.00000,20.6000000,279.00000,0.00000
010000602209,AL-048-0035,0100006,AL-048,PK,05,Asbury Elem Sch,Marshall County,Marshall County,1966 Asbury Rd,Albertville,AL,35951,,(256)878-6221,42,Rural: Distant,No,No,-9,-9,491.00000,29.38000,16.7000000,405.00000,30.00000
010000600872,AL-048-0030,0100006,AL-048,06,12,Asbury Sch,Marshall County,Marshall County,1990 Asbury Rd,Albertville,AL,35950,,(256)878-4068,42,Rural: Distant,No,No,-9,-9,538.00000,28.37000,19.0000000,427.00000,42.00000
010177001668,AL-035-0012,0101770,AL-035,KG,06,Ashford Elem Sch,Houston County,Houston County,100 Barfield St,Ashford,AL,36312,,(334)899-5912,41,Rural: Fringe,No,No,-9,-9,784.00000,44.00000,17.8000000,448.00000,45.00000
010177000611,AL-035-0010,0101770,AL-035,07,12,Ashford High Sch,Houston County,Houston County,607 Church St,Ashford,AL,36312,,(334)899-5411,41,Rural: Fringe,No,No,-9,-9,704.00000,40.00000,17.6000000,404.00000,61.00000
010075000307,AL-014-0010,0100750,AL-014,KG,06,Ashland Elem Sch,Clay County,Clay County,P O Box 128,Ashland,AL,36251,,(256)354-2567,42,Rural: Distant,No,No,-9,-9,503.00000,31.75000,15.8000000,284.00000,42.00000
010306201622,AL-058-0005,0103062,AL-058,PK,04,Ashville Elem Sch,St Clair County,St. Clair County,33225 Highway 231,Ashville,AL,35953,,(205)594-5242,42,Rural: Distant,No,No,-9,-9,436.00000,30.00000,14.5000000,264.00000,36.00000
010306201362,AL-058-0010,0103062,AL-058,09,12,Ashville High Sch,St Clair County,St. Clair County,33215 US Highway 231,Ashville,AL,35953,,(205)594-7943,42,Rural: Distant,No,No,-9,-9,442.00000,23.52000,18.8000000,226.00000,45.00000
010306200322,AL-058-0013,0103062,AL-058,05,08,Ashville Middle Sch,St Clair County,St. Clair County,P O Box 340,Ashville,AL,35953,,(205)594-7044,42,Rural: Distant,No,No,-9,-9,344.00000,16.28000,21.1000000,188.00000,32.00000
010012001471,AL-107-0010,0100120,AL-107,KG,04,Athens Elem Sch,Athens City,Limestone County,515 N Madison St,Athens,AL,35611,,(256)233-6609,31,Town: Fringe,No,No,-9,-9,403.00000,21.00000,19.2000000,242.00000,22.00000
010012001472,AL-107-0030,0100120,AL-107,09,12,Athens High Sch,Athens City,Limestone County,P O Box 109,Athens,AL,35612,,(256)233-6613,31,Town: Fringe,No,No,-9,-9,1234.00000,56.00000,22.0000000,484.00000,58.00000
010012000522,AL-107-0015,0100120,AL-107,05,06,Athens Intermediate Sch,Athens City,Limestone County,1916 Us Hwy 72 W.,Athens,AL,35611,,(256)230-2880,31,Town: Fringe,No,No,-9,-9,548.00000,27.50000,19.9000000,266.00000,28.00000
010012001473,AL-107-0020,0100120,AL-107,07,08,Athens Middle Sch,Athens City,Limestone County,601 S Clinton St,Athens,AL,35611,,(256)233-6620,31,Town: Fringe,No,No,-9,-9,607.00000,28.50000,21.3000000,299.00000,34.00000
010012002417,AL-107-0025,0100120,AL-107,KG,12,Athens Renaissance School,Athens City,†,405 South Street East,Athens,AL,35611,,(245)614-3708,†,N,No,†,†,†,†,†,†,†,†
010018000035,AL-109-0040,0100180,AL-109,PK,05,Attalla Elem Sch,Attalla City,Etowah County,300 Cullman Avenue,Attalla,AL,35954,,(256)538-7266,23,Suburb: Small,No,No,-9,-9,549.00000,30.50000,18.0000000,398.00000,36.00000
010021000053,AL-110-0005,0100210,AL-110,PK,02,Auburn Early Ed Ctr,Auburn City,Lee County,721 E University Dr,Auburn,AL,36830,,(334)887-4950,13,City: Small,No,No,-9,-9,581.00000,30.00000,19.4000000,159.00000,8.00000
010021000036,AL-110-0010,0100210,AL-110,10,12,Auburn High Sch,Auburn City,Lee County,405 S Dean Rd,Auburn,AL,36830,,(334)887-4970,13,City: Small,No,No,-9,-9,1748.00000,105.00000,16.6000000,378.00000,48.00000
010021000037,AL-110-0020,0100210,AL-110,08,09,Auburn Jr High Sch,Auburn City,Lee County,332 Samford Ave,Auburn,AL,36830,,(334)887-1960,13,City: Small,No,No,-9,-9,1273.00000,76.00000,16.8000000,335.00000,30.00000
010237001618,AL-049-0050,0102370,AL-049,PK,12,Augusta Evans Sch,Mobile County,Mobile County,100 N Florida St,Mobile,AL,36607,,(251)221-5400,12,City: Midsize,No,No,-9,-9,288.00000,33.00000,8.7000000,115.00000,0.00000
010117000426,AL-127-0010,0101170,AL-127,09,12,Austin High Sch,Decatur City,Morgan County,1625 Danville Rd SW,Decatur,AL,35601,,(256)552-3060,13,City: Small,No,No,-9,-9,1438.00000,92.00000,15.6000000,717.00000,81.00000
010117000427,AL-127-0020,0101170,AL-127,PK,05,Austinville Elem Sch,Decatur City,Morgan County,2320 Clara Ave SW,Decatur,AL,35601,,(256)552-3050,13,City: Small,No,No,-9,-9,373.00000,21.84000,17.1000000,222.00000,0.00000
010024000587,AL-001-0010,0100240,AL-001,03,12,Autauga Co Alt Sch,Autauga County,Autauga County,153 W 4th St,Prattville,AL,36067,,(334)361-3833,21,Suburb: Large,No,No,-9,-9,–,5.00000,†,–,–
010024000590,AL-001-6000,0100240,AL-001,09,12,Autauga Co Tech Ctr,Autauga County,Autauga County,1301 Upper Kingston Rd,Prattville,AL,36067,,(334)361-0258,21,Suburb: Large,No,No,-9,-9,–,16.00000,†,–,–
010024001408,AL-001-0015,0100240,AL-001,KG,12,Autaugaville Sch,Autauga County,Autauga County,P O Box 99,Autaugaville,AL,36003,,(334)365-8329,42,Rural: Distant,No,No,-9,-9,333.00000,24.00000,13.9000000,298.00000,15.00000
010039000103,AL-114-0010,0100390,AL-114,PK,05,Avondale Elem Sch,Birmingham City,Jefferson County,4000 8th Ct S,Birmingham,AL,35222,,(205)231-7130,12,City: Midsize,No,No,-9,-9,565.00000,30.00000,18.8000000,307.00000,0.00000
010192000684,AL-037-0050,0101920,AL-037,KG,04,Bagley Jr High,Jefferson County,Jefferson County,8581 Tate Mill Rd,Dora,AL,35062,,(205)379-2500,41,Rural: Fringe,No,No,-9,-9,493.00000,27.10000,18.2000000,140.00000,21.00000
010237000899,AL-049-0100,0102370,AL-049,09,12,Baker High Sch,Mobile County,Mobile County,8901 Airport Blvd,Mobile,AL,36608,,(251)221-3000,21,Suburb: Large,No,No,-9,-9,2803.00000,139.00000,20.2000000,622.00000,0.00000
010243001776,AL-051-0020,0102430,AL-051,06,08,Baldwin Art And Acadcs Magnet,Montgomery County,Montgomery County,410 S McDonough St,Montgomery,AL,36104,,(334)269-3870,12,City: Midsize,No,Yes,-9,-9,556.00000,30.67000,18.1000000,85.00000,0.00000
010027001810,AL-002-0005,0100270,AL-002,09,12,Baldwin Co High Sch,Baldwin County,Baldwin County,One Tiger Dr,Bay Minette,AL,36507,,(251)937-2341,41,Rural: Fringe,No,No,-9,-9,1183.00000,63.75000,18.6000000,582.00000,74.00000
010345001305,AL-064-0030,0103450,AL-064,05,08,Bankhead Middle Sch,Walker County,Walker County,110 School Road,Cordova,AL,35550,,(205)483-7245,42,Rural: Distant,No,No,-9,-9,320.00000,15.00000,21.3000000,156.00000,28.00000
010279001110,AL-055-0010,0102790,AL-055,KG,08,Banks Sch,Pike County,Pike County,9769 N. U. S. Hwy. 29,Banks,AL,36005,,(334)243-5514,42,Rural: Distant,No,No,-9,-9,353.00000,23.70000,14.9000000,203.00000,22.00000
010117000432,AL-127-0070,0101170,AL-127,PK,05,Banks-Caddell Elem Sch,Decatur City,Morgan County,211 Gordon Drive Se,Decatur,AL,35601,,(256)552-3040,13,City: Small,No,No,-9,-9,509.00000,32.50000,15.7000000,283.00000,0.00000
010030000074,AL-003-0020,0100300,AL-003,07,12,Barbour Co High Sch,Barbour County,Barbour County,P O Box 339,Clayton,AL,36016,,(334)775-3545,43,Rural: Remote,No,No,-9,-9,392.00000,23.00000,17.0000000,258.00000,0.00000
010030001641,AL-003-0035,0100300,AL-003,03,06,Barbour Co Intermediate Sch,Barbour County,Barbour County,Po Box 429,Louisville,AL,36048,,(334)266-5643,43,Rural: Remote,No,No,-9,-9,240.00000,13.00000,18.5000000,185.00000,0.00000
010030001478,AL-003-0025,0100300,AL-003,PK,02,Barbour Co Primary Sch,Barbour County,Barbour County,P O Box 549,Clayton,AL,36016,,(334)775-3404,43,Rural: Remote,No,No,-9,-9,280.00000,14.00000,20.0000000,180.00000,0.00000
010173000328,AL-156-0005,0101730,AL-156,PK,04,Barkley Bridge Elem Sch,Hartselle City,Morgan County,2333 Barkley Bridge Rd,Hartselle,AL,35640,,(256)773-1931,23,Suburb: Small,No,No,-9,-9,339.00000,21.67000,15.6000000,55.00000,6.00000
010039000106,AL-114-0040,0100390,AL-114,KG,05,Barrett Elem Sch,Birmingham City,Jefferson County,7601 Division Ave,Birmingham,AL,35206,,(205)231-8130,12,City: Midsize,No,No,-9,-9,406.00000,23.00000,17.7000000,309.00000,0.00000
010027001708,AL-002-0015,0100270,AL-002,PK,03,Bay Minette Elem Sch,Baldwin County,Baldwin County,800 Blackburn Ave,Bay Minette,AL,36507,,(251)937-7651,32,Town: Distant,No,No,-9,-9,566.00000,33.40000,16.9000000,330.00000,25.00000
010027000012,AL-002-0010,0100270,AL-002,04,06,Bay Minette Intermediate Sch,Baldwin County,Baldwin County,600 Blackburn Avenue,Bay Minette,AL,36507,,(251)580-0678,32,Town: Distant,No,No,-9,-9,381.00000,19.94000,19.1000000,221.00000,25.00000
010027001859,AL-002-0012,0100270,AL-002,07,08,Bay Minette Middle Sch,Baldwin County,Baldwin County,1311 W 13th St,Bay Minette,AL,36507,,(251)580-2960,32,Town: Distant,No,No,-9,-9,477.00000,27.25000,17.5000000,283.00000,26.00000
010318000577,AL-061-0021,0103180,AL-061,KG,06,BB Comer Memorial Elem Sch,Talladega County,Talladega County,803 Seminole Ave,Sylacauga,AL,35150,,(256)315-5430,32,Town: Distant,No,No,-9,-9,498.00000,27.00000,18.4000000,358.00000,46.00000
