National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (166) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: School Description: ""Other""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
6.30002E+11,DA-HE1600-HE1402,6300023,DA-HE1600,–,–,AFNorth Elementary School,Europe West,†,Unit 21606,APO,AE,09703,,(571)372-0590,†,N,†,No,No,†,566.00000,–,†,–,–
6.30002E+11,DA-HE1600-HE1401,6300023,DA-HE1600,–,–,AFNorth Middle/High School,Europe West,†,Unit 21606,APO,AE,09703,,(571)372-0590,†,N,†,No,No,†,349.00000,–,†,–,–
6.30003E+11,DA-HENCNC-HENCB2,6300029,DA-HENCNC,–,–,Albritton Middle School,Americas Mid-Atlantic,†,Normandy Drive Bldg: 4-3331,Fort Bragg,NC,28307,0089,(910)907-0201,†,N,†,†,†,†,†,†,†,†,†
6.30002E+11,DA-HE1600-HE1641,6300023,DA-HE1600,–,–,Alconbury Elementary School,Europe West,†,Unit 5609,APO,AE,09470,5609,(571)372-0590,†,N,†,No,No,†,221.00000,–,†,–,–
6.30002E+11,DA-HE1600-HE1621,6300023,DA-HE1600,–,–,Alconbury High School,Europe West,†,Unit 5609,APO,AE,09470,5609,(571)372-0590,†,N,†,No,No,†,217.00000,–,†,–,–
6.30001E+11,DA-HE6001-HE7622,6300011,DA-HE6001,–,–,Amelia Earhart Intermediate School,Pacific South,†,Unit 5166,APO,AP,96368,5166,(571)372-0590,†,N,†,No,No,†,527.00000,–,†,–,–
6.30001E+11,DA-HE6001-HEGUE1,6300011,DA-HE6001,–,–,Andersen Elementary School,Pacific South,†,Unit 14057,APO,AP,96543,4057,(571)372-0590,†,N,†,†,†,†,†,†,†,†,†
6.30001E+11,DA-HE6001-HEGUE3,6300011,DA-HE6001,–,–,Andersen Middle School,Pacific South,†,Unit 14057,APO,AP,96543,4057,(571)372-0590,†,N,†,†,†,†,†,†,†,†,†
6.30003E+11,DA-HEGABF-HEKYC8,6300028,DA-HEGABF,–,–,Andre Lucas Elementary School,Americas Southeast,†,2115 Airborne St.,Fort Campbell,KY,42223,6025,(270)640-1208,†,N,†,†,†,†,†,†,†,†,†
6.30003E+11,DA-HE5604-HE5601,6300025,DA-HE5604,–,–,Ankara Elementary/High School,Europe South,†,PSC 90 Unit 7010,APO,AE,09822,7010,(571)372-0590,†,N,†,No,No,†,222.00000,–,†,–,–
6.30002E+11,DA-HE3630-HE4442,6300024,DA-HE3630,–,–,Ansbach Elementary School,Europe East,†,Unit 28715 Box 6502,APO,AE,09177,,(571)372-0590,†,N,†,†,†,†,†,†,†,†,†
6.30002E+11,DA-HE3630-HE4402,6300024,DA-HE3630,–,–,Ansbach High School,Europe East,†,Unit 28715 Box 6503,APO,AE,09177,0055,(571)372-0590,†,N,†,†,†,†,†,†,†,†,†
6.30003E+11,DA-HENCNC-HEPRA1,6300029,DA-HENCNC,–,–,Antilles Elementary School,Americas Mid-Atlantic,†,1029 Victory Rd,Ft Buchanan,PR,00934,4600,(787)707-2364,†,N,†,†,†,†,†,†,†,†,†
6.30003E+11,DA-HENCNC-HEPRA4,6300029,DA-HENCNC,–,–,Antilles High School,Americas Mid-Atlantic,†,1062 Victory Rd,Ft Buchanan,PR,00934,4604,(787)707-2301,†,N,†,†,†,†,†,†,†,†,†
