National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1328) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Iowa""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.90822E+11,IA-781476 000-781476 118,1908220,IA-781476 000,09,12,Abraham Lincoln High School,Council Bluffs Comm School District,Pottawattamie County,1205 Bonham Ave,Council Bluffs,IA,51503,,(712)328-6481,13,City: Small,No,†,No,†,1244.00000,79.58000,15.6000000,497.00000,133.00000
1.90309E+11,IA-390018 000-390018 409,1903090,IA-390018 000,PK,06,Adair-Casey Elementary School,Adair-Casey Comm School District,Guthrie County,3384 Indigo Ave,Adair,IA,50002,,(641)746-2242,43,Rural: Remote,No,†,Yes,No,166.00000,14.99000,11.1000000,46.00000,16.00000
1.90309E+11,IA-390018 000-390018 209,1903090,IA-390018 000,07,08,Adair-Casey Jr. High School,Adair-Casey Comm School District,†,3384 Indigo Ave.,Adair,IA,50002,,(641)746-2241,†,N,No,†,†,†,†,†,†,†,†
1.90633E+11,IA-140999 000-140999 427,1906330,IA-140999 000,03,04,Adams Elementary School,Carroll Comm School District,Carroll County,1026 N Adams St,Carroll,IA,51401,,(712)792-8040,33,Town: Remote,No,†,Yes,No,284.00000,18.55000,15.3000000,86.00000,24.00000
1.90858E+11,IA-821611 000-821611 409,1908580,IA-821611 000,KG,05,Adams Elementary School,Davenport Comm School District,Scott County,3029 N Division Street,Davenport,IA,52804,,(563)723-6100,12,City: Midsize,No,†,Yes,Yes,564.00000,33.75000,16.7000000,295.00000,44.00000
1.90315E+11,IA-250027 000-250027 409,1903150,IA-250027 000,PK,02,Adel Elementary School,Adel DeSoto Minburn Comm School District,Dallas County,1608 Grove St.,Adel,IA,50003,,(515)993-4285,41,Rural: Fringe,No,†,Yes,No,471.00000,34.66000,13.6000000,87.00000,16.00000
1.90315E+11,IA-250027 000-250027 412,1903150,IA-250027 000,06,08,ADM Middle School,Adel DeSoto Minburn Comm School District,Dallas County,801 Nile Kinnick Dr S,Adel,IA,50003,,(515)993-3490,31,Town: Fringe,No,†,Yes,No,359.00000,26.53000,13.5000000,57.00000,23.00000
1.90315E+11,IA-250027 000-250027 172,1903150,IA-250027 000,09,12,ADM Senior High School,Adel DeSoto Minburn Comm School District,Dallas County,801 Nile Kinnick Dr S,Adel,IA,50003,,(515)993-4584,31,Town: Fringe,No,†,No,†,479.00000,32.71000,14.6000000,93.00000,29.00000
1.90306E+11,IA-420009 000-380009 436,1903060,IA-420009 000,PK,02,AGWSR Elementary at Wellsburg,AGWSR Comm School District,Grundy County,609 S Monroe,Wellsburg,IA,50680,,(641)869-5121,42,Rural: Distant,No,†,Yes,No,77.00000,5.50000,14.0000000,17.00000,3.00000
1.90306E+11,IA-420009 000-420009 409,1903060,IA-420009 000,KG,05,AGWSR Elementary School,AGWSR Comm School District,Hardin County,918 4th Ave,Ackley,IA,50601,,(641)847-2611,43,Rural: Remote,No,†,Yes,Yes,229.00000,13.77000,16.6000000,95.00000,19.00000
1.90306E+11,IA-420009 000-420009 109,1903060,IA-420009 000,09,12,AGWSR High School,AGWSR Comm School District,Hardin County,918 4th Ave,Ackley,IA,50601,,(641)847-2633,42,Rural: Distant,No,†,No,†,157.00000,14.67000,10.7000000,42.00000,8.00000
1.90306E+11,IA-420009 000-380009 172,1903060,IA-420009 000,06,08,AGWSR Middle School,AGWSR Comm School District,Grundy County,P.O. Box 188,Wellsburg,IA,50680,,(641)869-5121,42,Rural: Distant,No,†,No,†,105.00000,12.06000,8.7000000,31.00000,7.00000
1.90408E+11,IA-780441 000-780441 409,1904080,IA-780441 000,PK,06,AHSTW Elementary School,AHSTW Comm School District,Pottawattamie County,P.O. Box 158,Avoca,IA,51521,,(712)343-6364,43,Rural: Remote,No,†,Yes,Yes,342.00000,24.96000,13.7000000,125.00000,10.00000
1.90408E+11,IA-780441 000-780441 172,1904080,IA-780441 000,07,12,AHSTW Secondary School,AHSTW Comm School District,Pottawattamie County,Box 158,Avoca,IA,51521,,(712)343-6364,43,Rural: Remote,No,†,No,†,332.00000,24.94000,13.3000000,95.00000,17.00000
1.91401E+11,IA-922977 000-922977 409,1914010,IA-922977 000,KG,05,Ainsworth Elementary School,Highland Comm School District,Washington County,Box 220,Ainsworth,IA,52201,,(319)657-3151,42,Rural: Distant,No,†,Yes,No,90.00000,10.25000,8.8000000,29.00000,12.00000
1.90322E+11,IA-750063 000-750063 409,1903220,IA-750063 000,PK,05,Akron Westfield Elementary School,Akron Westfield Comm School District,Plymouth County,P.O. Box 950,Akron,IA,51001,,(712)568-3322,42,Rural: Distant,No,†,Yes,No,294.00000,22.17000,13.3000000,79.00000,23.00000
1.90322E+11,IA-750063 000-750063 418,1903220,IA-750063 000,06,08,Akron Westfield Middle School,Akron Westfield Comm School District,Plymouth County,P.O. Box 950,Akron,IA,51001,,(712)568-2020,42,Rural: Distant,No,†,No,†,120.00000,7.65000,15.7000000,29.00000,7.00000
1.90322E+11,IA-750063 000-750063 172,1903220,IA-750063 000,09,12,Akron Westfield Senior High School,Akron Westfield Comm School District,Plymouth County,Box 950,Akron,IA,51001,,(712)568-2020,42,Rural: Distant,No,†,No,†,160.00000,14.07000,11.4000000,33.00000,12.00000
1.92094E+11,IA-824784 000-824784 427,1920940,IA-824784 000,PK,06,Alan Shepard Elementary School,North Scott Comm School District,Scott County,220 West Grove St.,Long Grove,IA,52756,,(563)285-8041,41,Rural: Fringe,No,†,No,†,420.00000,26.02000,16.1000000,37.00000,12.00000
1.90003E+11,IA-110072 000-110072 409,1900031,IA-110072 000,PK,06,Albert City-Truesdale Elementary School,Albert City-Truesdale Comm School District,Buena Vista County,Box 98,Albert City,IA,50510,,(712)843-5416,43,Rural: Remote,No,†,Yes,Yes,94.00000,11.90000,7.9000000,34.00000,9.00000
1.90327E+11,IA-680081 000-680081 109,1903270,IA-680081 000,09,12,Albia High School,Albia Comm School District,Monroe County,503 B Ave East,Albia,IA,52531,,(641)932-2161,33,Town: Remote,No,†,No,†,352.00000,25.36000,13.9000000,88.00000,26.00000
1.90327E+11,IA-680081 000-680081 209,1903270,IA-680081 000,07,08,Albia Middle School,Albia Comm School District,Monroe County,503 B Ave E,Albia,IA,52531,,(641)932-2161,33,Town: Remote,No,†,Yes,No,182.00000,11.08000,16.4000000,59.00000,16.00000
1.9033E+11,IA-570099 000-570099 409,1903300,IA-570099 000,PK,05,Alburnett Elementary School,Alburnett Comm School District,Linn County,P. O. Box 400,Alburnett,IA,52202,,(319)842-2261,41,Rural: Fringe,No,†,Yes,No,302.00000,18.25000,16.5000000,11.00000,3.00000
1.9033E+11,IA-570099 000-570099 209,1903300,IA-570099 000,06,08,Alburnett Middle School,Alburnett Comm School District,Linn County,P.O. Box 400,Alburnett,IA,52202,,(319)842-2263,41,Rural: Fringe,No,†,No,†,135.00000,8.36000,16.1000000,21.00000,7.00000
1.9033E+11,IA-570099 000-570099 172,1903300,IA-570099 000,09,12,Alburnett Senior High School,Alburnett Comm School District,Linn County,P. O. Box 400,Alburnett,IA,52202,,(319)842-2263,41,Rural: Fringe,No,†,Yes,No,198.00000,15.04000,13.2000000,35.00000,6.00000
1.90003E+11,IA-420108 000-420108 409,1900032,IA-420108 000,PK,06,Alden Elementary School,Alden Comm School District,Hardin County,P.O. Box 48,Alden,IA,50006,,(515)859-3394,42,Rural: Distant,No,†,Yes,No,272.00000,21.43000,12.7000000,72.00000,22.00000
1.90579E+11,IA-290882 000-290882 218,1905790,IA-290882 000,06,08,Aldo Leopold Middle School,Burlington Comm School District,Des Moines County,3075 Sunnyside Avenue,Burlington,IA,52601,,(319)752-8390,33,Town: Remote,No,†,Yes,No,404.00000,34.83000,11.6000000,251.00000,28.00000
