National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (2583) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""New Jersey""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.40894E+11,NJ-252770-065,3408940,NJ-252770,KG,05,A A Anastasia Elementary School,LONG BRANCH PUBLIC SCHOOL District,Monmouth County,92 SEVENTH AVENUE,LONG BRANCH,NJ,07740,,(732)222-3428,21,Suburb: Large,No,†,Yes,Yes,604.00000,53.00000,11.4000000,443.00000,69.00000
3.41122E+11,NJ-233530-060,3411220,NJ-233530,PK,05,A Chester Redshaw School,New Brunswick School District,Middlesex County,216 Livingston Avenue,NEW BRUNSWICK,NJ,08901,2930,(732)745-5300,13,City: Small,No,†,Yes,Yes,1022.00000,82.00000,12.5000000,615.00000,0.00000
3.41287E+11,NJ-074060-104,3412870,NJ-074060,KG,04,A E BURLING ELEMENTARY SCHOOL,PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT,Camden County,3600 HARRIS AVENUE,PENNSAUKEN,NJ,08105,,(856)662-1923,21,Suburb: Large,No,†,Yes,No,129.00000,8.00000,16.1000000,64.00000,15.00000
3.403E+11,NJ-070800-058,3403000,NJ-070800,KG,05,A. Russell Knight Elementary School,Cherry Hill School District,Camden County,140 OLD CARRIAGE RD,CHERRY HILL,NJ,08034,3332,(856)428-0830,21,Suburb: Large,No,†,No,†,365.00000,24.50000,14.9000000,24.00000,7.00000
3.40729E+11,NJ-392190-090,3407290,NJ-392190,PK,01,A.P. Morris Early Childhood Center,Hillside Board of Education,Union County,143 COE AVE,HILLSIDE,NJ,07205,2830,(908)352-7664,21,Suburb: Large,No,†,Yes,No,633.00000,52.00000,12.2000000,311.00000,66.00000
3.40252E+11,NJ-270630-025,3402520,NJ-270630,PK,04,Aaron Decker School,Butler Public School District,Morris County,98 DECKER ROAD,BUTLER,NJ,07405,,(973)492-2037,21,Suburb: Large,No,†,Yes,No,386.00000,34.10000,11.3000000,68.00000,20.00000
3.41134E+11,NJ-133570-170,3411340,NJ-133570,PK,08,ABINGTON AVENUE SCHOOL,NEWARK PUBLIC SCHOOL DISTRICT,Essex County,209 ABINGTON AVE,NEWARK,NJ,07107,2507,(973)268-5230,11,City: Large,No,†,Yes,Yes,801.00000,51.00000,15.7000000,694.00000,32.00000
3.41428E+11,NJ-394540-010,3414280,NJ-394540,09,12,ABRAHAM CLARK HIGH SCHOOL,ROSELLE PUBLIC SCHOOLS,Union County,122 EAST 6TH AVE,ROSELLE,NJ,07203,2026,(908)298-2000,21,Suburb: Large,No,†,Yes,Yes,674.00000,73.00000,9.2000000,415.00000,77.00000
3.41836E+11,NJ-035920-010,3418360,NJ-035920,KG,05,Abraham Lincoln Elementary School,Wyckoff Township Public School District,Bergen County,325 MASON AVE,WYCKOFF,NJ,07481,2822,(201)848-5720,21,Suburb: Large,No,†,No,†,314.00000,25.00000,12.6000000,3.00000,0.00000
3.40576E+11,NJ-031700-080,3405760,NJ-031700,PK,05,ABRAHAM LINCOLN SCHOOL #6,GARFIELD PUBLIC SCHOOL DISTRICT,Bergen County,111 PALISADE AVE,GARFIELD,NJ,07026,,(973)340-5036,21,Suburb: Large,No,†,Yes,Yes,420.00000,35.00000,12.0000000,286.00000,51.00000
