National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (820) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Montana""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.00171E+11,MT-0861-1775,3001710,MT-0861,07,08,Absarokee 7-8,Absarokee Elem,Stillwater County,327 S Woodard Ave,Absarokee,MT,59001,,(406)328-4583,43,Rural: Remote,†,No,Yes,No,41.00000,3.42000,12.0000000,3.00000,0.00000
3.00174E+11,MT-0862-1126,3001740,MT-0862,09,12,Absarokee High School,Absarokee H S,Stillwater County,327 S Woodard Ave,Absarokee,MT,59001,,(406)328-4583,43,Rural: Remote,†,No,Yes,No,87.00000,7.66000,11.4000000,12.00000,7.00000
3.00171E+11,MT-0861-1125,3001710,MT-0861,PK,06,Absarokee School,Absarokee Elem,Stillwater County,327 S Woodard Ave,Absarokee,MT,59001,,(406)328-4581,43,Rural: Remote,†,No,Yes,No,114.00000,8.96000,12.7000000,18.00000,0.00000
3.00186E+11,MT-0577-1730,3001860,MT-0577,07,08,Alberton 7-8,Alberton K-12 Schools,Mineral County,PO Box 330,Alberton,MT,59820,,(406)722-4413,42,Rural: Distant,†,No,Yes,Yes,18.00000,2.38000,7.6000000,18.00000,0.00000
3.00186E+11,MT-0577-0766,3001860,MT-0577,09,12,Alberton High School,Alberton K-12 Schools,Mineral County,PO Box 330,Alberton,MT,59820,,(406)722-3381,42,Rural: Distant,†,No,Yes,Yes,32.00000,4.82000,6.6000000,32.00000,0.00000
3.00186E+11,MT-0577-0765,3001860,MT-0577,PK,06,Alberton School,Alberton K-12 Schools,Mineral County,PO Box 330,Alberton,MT,59820,,(406)722-4413,42,Rural: Distant,†,No,Yes,Yes,71.00000,7.62000,9.3000000,71.00000,0.00000
3.01746E+11,MT-0536-0719,3017460,MT-0536,PK,08,Alder School,Alder Elem,Madison County,PO Box 127,Alder,MT,59710,,(406)842-5285,43,Rural: Remote,†,No,Yes,Yes,17.00000,2.00000,8.5000000,10.00000,3.00000
3.00387E+11,MT-0965-1597,3003870,MT-0965,PK,05,Alkali Creek School,Billings Elem,Yellowstone County,415 North 30th Street,Billings,MT,59101,,(406)281-6200,12,City: Midsize,†,No,No,†,361.00000,25.15000,14.4000000,73.00000,22.00000
3.00195E+11,MT-0096-0132,3001950,MT-0096,PK,08,Alzada School,Alzada Elem,Carter County,Box 8,Alzada,MT,59311,,(406)828-4445,43,Rural: Remote,†,No,No,†,3.00000,1.00000,3.0000000,–,–
3.00198E+11,MT-0376-0498,3001980,MT-0376,PK,06,Amsterdam School,Amsterdam Elem,Gallatin County,6360 Camp Creek Road,Manhattan,MT,59741,,(406)282-7216,42,Rural: Distant,†,No,Yes,No,158.00000,11.64000,13.6000000,14.00000,18.00000
