National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (174) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Bureau of Indian Affairs""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
5.90009E+11,BI-D53S02-D53S02,5900092,BI-D53S02,–,–,Ahfachkee Day School,Ahfachkee Day School,Hendry County,30290 Josie Billie Hwy,Clewiston,FL,33440,,(863)983-6348,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90005E+11,BI-D34N27-D34N27,5900046,BI-D34N27,–,–,Alamo Navajo Community School,Alamo Navajo Community School,Socorro County,P.O. Box 5907,Alamo,NM,87825,,(505)854-2635,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90007E+11,BI-D06A02-D06A02,5900070,BI-D06A02,–,–,American Horse Elem.,American Horse Elem.,Bennett County,P.O. Box 660,Allen,SD,57714,,(605)455-1209,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90009E+11,BI-D32N02-D32N02,5900094,BI-D32N02,–,–,Aneth Community School,Aneth Community School,San Juan County,P.O. Box 600,Montezuma Creek,UT,84534,,(435)651-3271,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90015E+11,BI-D32N17-D32N17,5900147,BI-D32N17,–,–,Atsa Biyaazh Community School,Atsa' Biya' a'zh Community School,San Juan County,P.O. Box 1809,Shiprock,NM,87420,,(505)368-2202,32,Town: Distant,†,No,–,–,–,–,†,–,–
5.90009E+11,BI-D34N02-D34N02,5900087,BI-D34N02,–,–,Baca/Dlo'ay Azhi Community School,Baca/Dlo'ay Azhi Community School,McKinley County,P.O. Box 509,Prewitt,NM,87045,,(505)972-2769,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90014E+11,BI-D56S02-D56S02,5900137,BI-D56S02,–,–,Beatrice Rafferty School,Beatrice Rafferty School,Washington County,22 Bayview Drive,Perry,ME,04667,,(207)853-6085,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90019E+11,BI-D32N04-D32N04,5900188,BI-D32N04,–,–,Beclabito Day School,Beclabito Day School,San Juan County,P.O. Box 1200,Shiprock,NM,87420,,(928)656-3555,32,Town: Distant,†,No,–,–,–,–,†,–,–
5.9001E+11,BI-D35N23-D35N23,5900102,BI-D35N23,–,–,Black Mesa Community School,Black Mesa Community School,Navajo County,PO Box 97,Pinon,AZ,86510,,(928)674-3632,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90014E+11,BI-D57H12-D57H12,5900142,BI-D57H12,–,–,Blackwater Community School,Blackwater Community School,Pinal County,3652 E Blackwater School Road,Coolidge,AZ,85128,,(520)215-5859,42,Rural: Distant,†,No,–,–,–,–,†,–,–
5.90019E+11,BI-D78S21-D78S21,5900194,BI-D78S21,–,–,BOGUE CHITTO ELEMENTARY SCHOOL,Bogue Chitto Elementary School,Neshoba County,13241 HWY 491 NORTH,PHILADELPHIA,MS,39350,,(601)389-1000,42,Rural: Distant,†,No,–,–,–,–,†,–,–
5.90016E+11,BI-D34N03-D34N03,5900155,BI-D34N03,–,–,Borrego Pass,Borrego Pass (Dibe Yazhi Habltiin Olta' Inc),McKinley County,P.O. Box 679,Crownpoint,NM,87313,,(505)786-5237,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90014E+11,BI-D34N04-D34N04,5900138,BI-D34N04,–,–,Bread Springs Day School,Bread Springs Day School,McKinley County,P.O. Box 1117,Gallup,NM,87305,,(505)778-5665,42,Rural: Distant,†,No,–,–,–,–,†,–,–
5.90017E+11,BI-D53F13-D53F13,5900166,BI-D53F13,–,–,Bug-O-Nay-Ge-Shig,Bug-O-Nay-Ge-Shig School,Cass County,15353 Silver Eagle Dr NW,Bena,MN,56626,,(218)665-3000,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90019E+11,BI-D57H13-D57H13,5900186,BI-D57H13,–,–,Casa Blanca Community School,Casa Blanca Community School,Pinal County,PO Box 10940,Bapchule,AZ,85121,,(520)315-3489,42,Rural: Distant,†,No,–,–,–,–,†,–,–
5.90005E+11,BI-D36N03-D36N03,5900048,BI-D36N03,–,–,Ch'ooshgai Community School,Ch'ooshgai Community School,McKinley County,PO Box 321,Tohatchi,NM,87325,,(505)733-2700,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90016E+11,BI-D02P02-D02P02,5900164,BI-D02P02,–,–,Chemawa Indian School,Chemawa Indian School,Marion County,3700 Chemawa Rd NE,Salem,OR,97305,,(503)399-5721,12,City: Midsize,†,No,–,–,–,–,†,–,–
5.90007E+11,BI-D52S04-D52S04,5900066,BI-D52S04,–,–,Cherokee Central Elementary School,Cherokee Central Elementary School,Swain County,P.O. Box 134,Cherokee,NC,28719,,(828)554-5020,42,Rural: Distant,†,No,–,–,–,–,†,–,–
5.9001E+11,BI-D52S03-D52S03,5900101,BI-D52S03,–,–,Cherokee Central High School,Cherokee Central High School,Swain County,P.O. Box 134,Cherokee,NC,28719,,(828)554-5030,42,Rural: Distant,†,No,–,–,–,–,†,–,–
5.90005E+11,BI-D01A12-D01A12,5900051,BI-D01A12,–,–,Cheyenne-Eagle Butte School,Cheyenne-Eagle Butte School,Dewey County,P.O. BOX 672,Eagle Butte,SD,57625,,(605)964-8777,33,Town: Remote,†,No,–,–,–,–,†,–,–
5.90018E+11,BI-D34N05-D34N05,5900179,BI-D34N05,–,–,Chi Chil'tah Comm School,Chi Chil'tah Comm School,McKinley County,831 Cousins Rd,Vanderwagen,NM,87326,,(505)778-5574,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.90004E+11,BI-D10P15-D10P15,5900036,BI-D10P15,–,–,Chief Leschi School,Chief Leschi School,Pierce County,5625 52nd Street East,Puyallup,WA,98371,,(253)445-6000,21,Suburb: Large,†,No,–,–,–,–,†,–,–
5.90005E+11,BI-D33N02-D33N02,5900052,BI-D33N02,–,–,Chilchinbeto Community School,Chilchinbeto Community School,Navajo County,Post Office Box 740,Kayenta,AZ,86033,,(928)697-3800,33,Town: Remote,†,No,–,–,–,–,†,–,–
5.90015E+11,BI-D50S09-D50S09,5900146,BI-D50S09,–,–,Chitimacha Tribal School,Chitimacha Tribal School,St. Mary Parish,3613 Chitimacha Trail,Jeanerette,LA,70544,,(337)923-9960,32,Town: Distant,†,No,–,–,–,–,†,–,–
5.90003E+11,BI-D78S23-D78S23,5900031,BI-D78S23,–,–,CHOCTAW CENTRAL HIGH SCHOOL,Choctaw Central High School,Neshoba County,150 RECREATION RD,CHOCTAW,MS,39350,,(601)663-7777,33,Town: Remote,†,No,–,–,–,–,†,–,–
5.90008E+11,BI-D78S24-D78S24,5900078,BI-D78S24,–,–,CHOCTAW CENTRAL MIDDLE SCHOOL,Choctaw Central Middle School,Neshoba County,150 RECREATION RD,CHOCTAW,MS,39350,,(601)663-7777,33,Town: Remote,†,No,–,–,–,–,†,–,–
5.90004E+11,BI-D53F14-D53F14,5900038,BI-D53F14,–,–,Circle of Life Academy,Circle of Life Academy,Becker County,P.O. Box 447,White Earth,MN,56591,,(218)983-4180,43,Rural: Remote,†,No,–,–,–,–,†,–,–
5.9001E+11,BI-D80F02-D80F02,5900095,BI-D80F02,–,–,Circle of Nations,Circle of Nations,Richland County,832 North 8th Street,Wahpeton,ND,58075,,(701)642-3796,32,Town: Distant,†,No,–,–,–,–,†,–,–
