National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (528) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""North Dakota""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.80004E+11,ND-45001-00102,3800038,ND-45001,–,–,A L HAGEN JUNIOR HIGH SCHOOL,DICKINSON 1,Stark County,444 4th St W,Dickinson,ND,58601,4951,(701)456-0020,33,Town: Remote,†,†,No,†,479.00000,37.00000,12.9000000,120.00000,11.00000
3.80176E+11,ND-27002-03151,3801760,ND-27002,–,–,ALEXANDER ELEMENTARY SCHOOL,ALEXANDER 2,McKenzie County,PO Box 66,Alexander,ND,58831,0066,(701)828-3334,43,Rural: Remote,†,†,Yes,No,131.00000,9.77000,13.4000000,33.00000,8.00000
3.80176E+11,ND-27002-03153,3801760,ND-27002,–,–,ALEXANDER HIGH SCHOOL,ALEXANDER 2,McKenzie County,PO Box 66,Alexander,ND,58831,0066,(701)828-3334,43,Rural: Remote,†,†,No,†,65.00000,6.54000,9.9000000,16.00000,4.00000
3.80004E+11,ND-44032-03731,3800037,ND-44032,–,–,AMIDON ELEMENTARY SCHOOL,CENTRAL ELEM 32,Slope County,PO Box MM,Amidon,ND,58620,0448,(701)879-6231,43,Rural: Remote,†,†,No,†,5.00000,1.01000,5.0000000,–,–
3.80195E+11,ND-25014-03891,3801950,ND-25014,–,–,ANAMOOSE ELEMENTARY SCHOOL,ANAMOOSE 14,McHenry County,706 3rd St W,Anamoose,ND,58710,4109,(701)465-3258,43,Rural: Remote,†,†,Yes,Yes,101.00000,8.75000,11.5000000,47.00000,9.00000
3.80201E+11,ND-08039-04861,3802014,ND-08039,–,–,APPLE CREEK ELEMENTARY SCHOOL,APPLE CREEK 39,Burleigh County,2000 93rd St SE,Bismarck,ND,58504,3907,(701)223-7349,41,Rural: Fringe,†,†,No,†,64.00000,7.34000,8.7000000,0.00000,0.00000
3.80217E+11,ND-26009-05391,3802170,ND-26009,–,–,ASHLEY ELEMENTARY SCHOOL,ASHLEY 9,McIntosh County,703 W Main St,Ashley,ND,58413,7130,(701)288-3456,43,Rural: Remote,†,†,Yes,No,74.00000,9.26000,8.0000000,20.00000,11.00000
3.80217E+11,ND-26009-05393,3802170,ND-26009,–,–,ASHLEY HIGH SCHOOL,ASHLEY 9,McIntosh County,703 W Main St,Ashley,ND,58413,7130,(701)288-3456,43,Rural: Remote,†,†,No,†,50.00000,7.83000,6.4000000,13.00000,8.00000
3.81941E+11,ND-09006-05451,3819410,ND-09006,–,–,AURORA ELEMENTARY SCHOOL,WEST FARGO 6,Cass County,3420 9th St W,West Fargo,ND,58078,7761,(701)356-2130,22,Suburb: Midsize,†,†,No,†,470.00000,36.61000,12.8000000,68.00000,15.00000
3.81988E+11,ND-53001-07691,3819880,ND-53001,–,–,BAKKEN ELEMENTARY SCHOOL,WILLISTON 1,†,PO Box 1407,Williston,ND,58802,1407,(701)713-7300,†,N,†,†,†,†,†,†,†,†,†
