National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (2424) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Missouri""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.92826E+11,MO-100063-3050100063,2928260,MO-100063,05,06,5TH AND 6TH GRADE CTR.,SIKESTON R-6,Scott County,100 TWITTY DR,SIKESTON,MO,63801,3202,(573)471-0792,32,Town: Distant,No,No,Yes,Yes,523.00000,32.91000,15.9000000,327.00000,31.00000
2.93144E+11,MO-085046-3010085046,2931440,MO-085046,06,06,6TH GRADE CENTER,WAYNESVILLE R-VI,Pulaski County,810 Roosevelt Street,Waynesville,MO,65583,2196,(573)842-2300,33,Town: Remote,No,No,Yes,Yes,412.00000,30.98000,13.3000000,122.00000,67.00000
2.92265E+11,MO-096109-3000096109,2922650,MO-096109,07,08,7th and 8th Grade Center,NORMANDY SCHOOLS COLLABORATIVE,St. Louis County,7855 NATURAL BRIDGE RD,ST LOUIS,MO,63121,4625,(314)493-0500,21,Suburb: Large,No,No,Yes,Yes,411.00000,33.00000,12.5000000,408.00000,0.00000
2.92826E+11,MO-100063-2050100063,2928260,MO-100063,07,08,7TH AND 8TH GRADE CTR.,SIKESTON R-6,Scott County,510 LINDENWOOD AVE,SIKESTON,MO,63801,4675,(573)471-0792,32,Town: Distant,No,No,Yes,Yes,535.00000,37.44000,14.3000000,305.00000,32.00000
2.91365E+11,MO-064075-4020064075,2913650,MO-064075,PK,05,A. D. STOWELL ELEM.,HANNIBAL 60,Marion County,500 UNION,HANNIBAL,MO,63401,5111,(573)221-0980,33,Town: Remote,No,No,Yes,Yes,287.00000,23.25000,12.3000000,182.00000,26.00000
2.91122E+11,MO-067055-4060067055,2911220,MO-067055,03,06,A. J. MARTIN ELEM.,EAST PRAIRIE R-II,Mississippi County,PO BOX 10,EAST PRAIRIE,MO,63845,1899,(573)649-3521,32,Town: Distant,No,No,Yes,Yes,364.00000,24.89000,14.6000000,224.00000,29.00000
2.91548E+11,MO-048077-6130048077,2915480,MO-048077,02,05,ABRAHAM MALLINSON ELEMENTARY,INDEPENDENCE 30,Jackson County,709 NORTH FOREST AVE,SUGAR CREEK,MO,64054,2319,(816)521-5530,21,Suburb: Large,No,No,Yes,Yes,346.00000,22.00000,15.7000000,278.00000,25.00000
2.9164E+11,MO-048078-5670048078,2916400,MO-048078,PK,07,AC PREP ELEMENTARY,KANSAS CITY 33,Jackson County,6410 SWOPE PARKWAY,KANSAS CITY,MO,64132,1212,(816)418-7704,11,City: Large,No,No,Yes,Yes,358.00000,22.00000,16.3000000,355.00000,0.00000
2.92928E+11,MO-115115-4990115115,2929280,MO-115115,PK,05,ACAD OF ENVT SCI/MATH ELEM,ST. LOUIS CITY,St. Louis city,3325 Bell,ST. LOUIS,MO,63106,,(314)932-1464,11,City: Large,No,No,Yes,Yes,290.00000,20.00000,14.5000000,290.00000,0.00000
2.92928E+11,MO-115115-3250115115,2929280,MO-115115,06,08,ACAD OF ENVT SCI/MATH MIDDLE,ST. LOUIS CITY,St. Louis city,3021 HICKEY ST,ST. LOUIS,MO,63104,,(314)932-1465,11,City: Large,No,No,Yes,Yes,216.00000,14.00000,15.4000000,216.00000,0.00000
2.90002E+11,MO-048914-6941048914,2900017,MO-048914,KG,03,ACADEMIE LAFAYETTE-CHERRY,ACADEMIE LAFAYETTE,Jackson County,3421 CHERRY ST,KANSAS CITY,MO,64109,2269,(816)888-7400,11,City: Large,Yes,No,Yes,No,463.00000,30.60000,15.1000000,66.00000,37.00000
2.90002E+11,MO-048914-6940048914,2900017,MO-048914,04,08,ACADEMIE LAFAYETTE-OAK,ACADEMIE LAFAYETTE,Jackson County,6903 OAK,KANSAS CITY,MO,64113,2530,(816)361-7735,11,City: Large,Yes,No,Yes,No,444.00000,33.50000,13.3000000,51.00000,30.00000
2.9006E+11,MO-048927-6995048927,2900604,MO-048927,PK,06,ACADEMY FOR INTEGRATED ARTS,ACADEMY FOR INTEGRATED ARTS,Jackson County,7910 Troost Ave,Kansas City,MO,64131,2824,(816)444-1720,11,City: Large,Yes,No,Yes,Yes,120.00000,8.00000,15.0000000,107.00000,5.00000
2.92676E+11,MO-096119-4029096119,2926760,MO-096119,KG,08,ACKERMAN SCH.,SPECL. SCH. DST. ST. LOUIS CO.,St. Louis County,1550 DERHAKE RD,FLORISSANT,MO,63033,6416,(314)989-7200,21,Suburb: Large,No,No,Yes,Yes,138.00000,30.50000,4.5000000,107.00000,8.00000
2.92298E+11,MO-001090-4020001090,2922980,MO-001090,PK,06,ADAIR CO. ELEM.,ADAIR CO. R-I,Adair County,600 ROMBAUER AVE,NOVINGER,MO,63559,2477,(660)488-6412,42,Rural: Distant,No,No,Yes,Yes,123.00000,5.10000,24.1000000,74.00000,12.00000
2.90579E+11,MO-001092-4020001092,2905790,MO-001092,KG,06,ADAIR CO. ELEM.,ADAIR CO. R-II,Adair County,205 W DEWEY,BRASHEAR,MO,63533,2429,(660)323-5272,42,Rural: Distant,No,No,Yes,Yes,96.00000,9.88000,9.7000000,39.00000,12.00000
2.90579E+11,MO-001092-1050001092,2905790,MO-001092,07,12,ADAIR CO. HIGH,ADAIR CO. R-II,Adair County,205 W DEWEY,BRASHEAR,MO,63533,2429,(660)323-5272,42,Rural: Distant,No,No,Yes,Yes,84.00000,11.69000,7.2000000,34.00000,10.00000
2.92298E+11,MO-001090-1050001090,2922980,MO-001090,07,12,ADAIR CO. HIGH,ADAIR CO. R-I,Adair County,600 ROMBAUER AVE,NOVINGER,MO,63559,2477,(660)488-6411,42,Rural: Distant,No,No,Yes,Yes,109.00000,12.40000,8.8000000,47.00000,12.00000
2.92928E+11,MO-115115-4000115115,2929280,MO-115115,PK,06,ADAMS ELEM.,ST. LOUIS CITY,St. Louis city,1311 TOWER GROVE AVE,ST LOUIS,MO,63110,3837,(314)535-3910,11,City: Large,No,No,Yes,Yes,305.00000,23.00000,13.3000000,305.00000,0.00000
2.90738E+11,MO-017125-4000017125,2907380,MO-017125,PK,01,ADAMS PRIMARY SCHOOL,CARROLLTON R-VII,Carroll County,306 N JEFFERSON,CARROLLTON,MO,64633,1763,(660)542-2926,33,Town: Remote,No,No,Yes,Yes,154.00000,5.87000,26.2000000,82.00000,12.00000
2.90285E+11,MO-007123-4020007123,2902850,MO-007123,PK,05,ADRIAN ELEM.,ADRIAN R-III,Bates County,PO BOX 98,ADRIAN,MO,64720,0098,(816)297-2158,42,Rural: Distant,No,No,Yes,Yes,355.00000,25.15000,14.1000000,108.00000,30.00000
2.90285E+11,MO-007123-1050007123,2902850,MO-007123,06,12,ADRIAN SR. HIGH,ADRIAN R-III,Bates County,PO BOX 98,ADRIAN,MO,64720,0098,(816)297-4460,42,Rural: Distant,No,No,Yes,No,385.00000,30.14000,12.8000000,91.00000,45.00000
2.90288E+11,MO-103129-4020103129,2902880,MO-103129,PK,06,ADVANCE ELEM.,ADVANCE R-IV,Stoddard County,201 SCHOOL STREET,ADVANCE,MO,63730,0370,(573)722-3564,42,Rural: Distant,No,No,Yes,Yes,271.00000,20.09000,13.5000000,128.00000,33.00000
2.90288E+11,MO-103129-1050103129,2902880,MO-103129,07,12,ADVANCE HIGH,ADVANCE R-IV,Stoddard County,201 SCHOOL STREET,ADVANCE,MO,63730,0370,(573)722-3584,42,Rural: Distant,No,No,Yes,Yes,181.00000,15.31000,11.8000000,74.00000,23.00000
2.90291E+11,MO-096098-1050096098,2902910,MO-096098,09,12,AFFTON HIGH,AFFTON 101,St. Louis County,8309 MACKENZIE RD,ST LOUIS,MO,63123,3455,(314)638-6330,21,Suburb: Large,No,No,Yes,No,773.00000,45.81000,16.9000000,226.00000,41.00000
2.91201E+11,MO-096089-4010096089,2912010,MO-096089,KG,05,AIRPORT ELEM.,FERGUSON-FLORISSANT R-II,St. Louis County,8249 AIRPORT RD,BERKELEY,MO,63134,1913,(314)524-3872,21,Suburb: Large,No,No,Yes,Yes,276.00000,20.70000,13.3000000,276.00000,0.00000
2.90297E+11,MO-038046-1050038046,2902970,MO-038046,09,12,ALBANY HIGH,ALBANY R-III,Gentry County,101 W JEFFERSON ST,ALBANY,MO,64402,1237,(660)726-3911,43,Rural: Remote,No,No,Yes,Yes,112.00000,9.85000,11.4000000,42.00000,21.00000
2.90297E+11,MO-038046-3000038046,2902970,MO-038046,06,08,ALBANY MIDDLE,ALBANY R-III,Gentry County,101 W JEFFERSON ST,ALBANY,MO,64402,1237,(660)726-3912,43,Rural: Remote,No,No,Yes,Yes,88.00000,8.51000,10.3000000,34.00000,19.00000
2.91854E+11,MO-024090-4020024090,2918540,MO-024090,KG,05,ALEXANDER DONIPHAN ELEM.,LIBERTY 53,Clay County,1900 CLAY DR,LIBERTY,MO,64068,3244,(816)736-5400,21,Suburb: Large,No,No,No,†,348.00000,32.11000,10.8000000,37.00000,11.00000
2.92836E+11,MO-097130-4020097130,2928360,MO-097130,PK,08,ALEXANDER ELEM.,SLATER,Saline County,515 N ELM,SLATER,MO,65349,1405,(660)529-2278,42,Rural: Distant,No,No,Yes,Yes,253.00000,22.57000,11.2000000,250.00000,0.00000
2.92355E+11,MO-083005-4080083005,2923550,MO-083005,KG,05,ALFRED L. RENNER ELEM.,PARK HILL,Platte County,7401 NW BARRY RD,KANSAS CITY,MO,64153,1725,(816)359-4350,11,City: Large,No,No,Yes,Yes,409.00000,31.30000,13.1000000,117.00000,25.00000
2.90003E+11,MO-002017-1049002017,2900030,MO-002017,†,†,ALGOA CORRECTIONAL CENTER,DEPARTMENT OF CORRECTIONS,Cole County,8501 No More Victims Rd.,Jefferson City,MO,65101,4567,(573)751-3911,13,City: Small,No,No,No,†,†,–,†,†,†
2.90003E+11,MO-048909-1980048909,2900025,MO-048909,09,12,ALLEN VILLAGE HIGH SCHOOL,ALLEN VILLAGE,Jackson County,706 W 42nd St,KANSAS CITY,MO,64111,3120,(816)931-0177,11,City: Large,Yes,No,Yes,Yes,161.00000,12.10000,13.3000000,132.00000,12.00000
