National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (2259) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Wisconsin""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
5.50951E+11,WI-3549-0800,5509510,WI-3549,KG,12,21st Century eSchool,Middleton-Cross Plains Area School District,Dane County,2429 Clark St,Middleton,WI,53562,2619,(608)829-9027,21,Suburb: Large,Yes,No,Yes,No,56.00000,1.00000,56.0000000,13.00000,3.00000
5.50005E+11,WI-8110-0100,5500045,WI-8110,PK,08,21st Century Preparatory School,21st Century Preparatory School Agency,Racine County,1220 Mound Ave,Racine,WI,53404,,(262)598-0026,13,City: Small,Yes,No,Yes,Yes,445.00000,18.00000,24.7000000,285.00000,26.00000
5.50747E+11,WI-2835-0150,5507470,WI-2835,PK,PK,4K Center for Literacy,Kimberly Area School District,Outagamie County,614 E Kimberly Ave,Kimberly,WI,54136,1513,(920)423-4190,22,Suburb: Midsize,No,No,Yes,No,313.00000,5.50000,56.9000000,37.00000,3.00000
5.50189E+11,WI-0777-0150,5501890,WI-0777,PK,PK,4K Community School,Burlington Area School District,Racine County,100 N Kane St,Burlington,WI,53105,1896,(262)763-0210,31,Town: Fringe,No,No,Yes,No,50.00000,0.50000,100.0000000,13.00000,0.00000
5.51266E+11,WI-4753-0150,5512660,WI-4753,PK,PK,4K Community-Based,Reedsburg School District,Sauk County,401 Alexander Ave,Reedsburg,WI,53959,1592,(608)768-8934,32,Town: Distant,No,No,Yes,No,101.00000,1.50000,67.3000000,45.00000,5.00000
5.50891E+11,WI-3381-0150,5508910,WI-3381,PK,PK,4K McFarland,McFarland School District,Dane County,6103 Johnson St,McFarland,WI,53558,,(608)838-4602,21,Suburb: Large,No,No,Yes,No,125.00000,4.00000,31.3000000,6.00000,0.00000
5.50852E+11,WI-3269-0190,5508520,WI-3269,PK,PK,4K PK Off Site,Madison Metropolitan School District,Dane County,545 W Dayton St,Madison,WI,53703,,(608)204-6561,12,City: Midsize,No,No,Yes,No,853.00000,1.00000,853.0000000,47.00000,0.00000
5.50753E+11,WI-2849-0440,5507530,WI-2849,09,12,7 Rivers Community High School,La Crosse School District,La Crosse County,Hogan Administrative Center,La Crosse,WI,54601,,(608)789-7700,13,City: Small,Yes,No,Yes,No,31.00000,2.75000,11.3000000,16.00000,3.00000
5.50003E+11,WI-0007-0020,5500030,WI-0007,PK,05,Abbotsford Elementary,Abbotsford School District,Clark County,PO Box A,Abbotsford,WI,54405,0901,(715)223-4281,41,Rural: Fringe,No,No,Yes,Yes,377.00000,23.91000,15.8000000,198.00000,58.00000
5.50003E+11,WI-0007-0040,5500030,WI-0007,06,12,Abbotsford Middle/Senior High,Abbotsford School District,Clark County,PO Box 70,Abbotsford,WI,54405,0070,(715)223-2386,41,Rural: Fringe,No,No,Yes,No,336.00000,27.16000,12.4000000,146.00000,51.00000
