National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (2137) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Virginia""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
5.10313E+11,VA-075-0750330,5103130,VA-075,PK,05,A. Henderson Elementary,PRINCE WILLIAM CO PBLC SCHS,Prince William County,3799 Waterway Dr,Dumfries,VA,22025,,(703)670-2885,21,Suburb: Large,No,No,No,†,596.00000,31.93000,18.7000000,98.00000,33.00000
5.10003E+11,VA-268-2680010,5100033,VA-268,†,†,A. Linwood Holton Governor's School,A. LINWOOD HOLTON GOV SCH,Washington County,Southwest Va Higher Ed Center,Abingdon,VA,24212,,(276)469-4027,23,Suburb: Small,No,Yes,No,†,†,0.00000,†,†,†
5.10105E+11,VA-024-0240240,5101050,VA-024,PK,05,A.G. Richardson Elementary,CULPEPER CO PBLC SCHS,Culpeper County,18370 Simms Dr,Culpeper,VA,22701,,(540)825-0616,32,Town: Distant,No,No,No,†,579.00000,38.00000,15.2000000,212.00000,54.00000
5.10084E+11,VA-021-0210620,5100840,VA-021,PK,05,A.M. Davis Elementary,CHESTERFIELD CO PBLC SCHS,Chesterfield County,415 S Providence Rd,North Chesterfield,VA,23236,3343,(804)674-1310,21,Suburb: Large,No,No,Yes,Yes,689.00000,45.72000,15.1000000,336.00000,51.00000
5.10291E+11,VA-120-1200110,5102910,VA-120,KG,05,A.P. Hill Elementary,PETERSBURG CITY PBLC SCHS,Petersburg city,1450 Talley Avenue,Petersburg,VA,23803,,(804)862-7002,21,Suburb: Large,No,No,Yes,Yes,436.00000,31.46000,13.9000000,426.00000,0.00000
5.10387E+11,VA-093-0930090,5103870,VA-093,KG,05,A.S. Rhodes Elementary,WARREN CO PBLC SCHS,Warren County,224 W Strasburg Rd,Front Royal,VA,22630,,(540)635-4556,31,Town: Fringe,No,No,Yes,No,264.00000,15.20000,17.4000000,75.00000,29.00000
5.1018E+11,VA-112-1120500,5101800,VA-112,PK,05,A.W.E. Bassette Elementary,HAMPTON CITY PBLC SCHS,Hampton city,671 Bell St,Hampton,VA,23661,,(757)727-1071,12,City: Midsize,No,No,Yes,Yes,498.00000,37.00000,13.5000000,432.00000,0.00000
5.10381E+11,VA-092-0921020,5103810,VA-092,PK,05,Abb's Valley-Boissevain Elementary,TAZEWELL CO PBLC SCHS,Tazewell County,P. O. Box 69,Boissevain,VA,24606,0069,(276)945-5969,42,Rural: Distant,No,No,Yes,Yes,165.00000,10.83000,15.2000000,98.00000,21.00000
5.1018E+11,VA-112-1120160,5101800,VA-112,PK,05,Aberdeen Elementary,HAMPTON CITY PBLC SCHS,Hampton city,1424 Aberdeen Rd,Hampton,VA,23666,,(757)825-4624,12,City: Midsize,No,No,Yes,Yes,456.00000,33.00000,13.8000000,410.00000,0.00000
5.10162E+11,VA-036-0360250,5101620,VA-036,PK,05,Abingdon Elementary,GLOUCESTER CO PBLC SCHS,Gloucester County,7087 Powhatan Drive,Hayes,VA,23072,,(804)642-9885,21,Suburb: Large,No,No,Yes,No,597.00000,31.00000,19.3000000,232.00000,30.00000
5.10027E+11,VA-007-0070350,5100270,VA-007,PK,05,Abingdon Elementary,ARLINGTON CO PBLC SCHS,Arlington County,3035 S Abingdon St,Arlington,VA,22206,,(703)228-6650,12,City: Midsize,No,No,Yes,Yes,598.00000,47.19000,12.7000000,229.00000,56.00000
5.1039E+11,VA-094-0941080,5103900,VA-094,PK,05,Abingdon Elementary,WASHINGTON CO PBLC SCHS,Washington County,19431 Woodland Hills Rd,Abingdon,VA,24210,,(276)739-3400,23,Suburb: Small,No,No,Yes,No,509.00000,34.00000,15.0000000,194.00000,26.00000
5.1039E+11,VA-094-0941030,5103900,VA-094,09,12,Abingdon High,WASHINGTON CO PBLC SCHS,Washington County,705 Thompson Dr,Abingdon,VA,24210,,(276)739-3200,23,Suburb: Small,No,No,No,†,900.00000,58.00000,15.5000000,258.00000,36.00000
5.10084E+11,VA-021-0210930,5100840,VA-021,†,†,Academy 360,CHESTERFIELD CO PBLC SCHS,Chesterfield County,13900 Hull Street Road,Midlothian,VA,23112,,(804)768-6165,21,Suburb: Large,No,No,No,†,†,0.00000,†,†,†
5.10189E+11,VA-043-0430040,5101890,VA-043,†,†,Academy at Virginia Randolph,HENRICO CO PBLC SCHS,Henrico County,2204 Mountain Rd,Glen Allen,VA,23060,,(804)261-5085,21,Suburb: Large,No,Yes,No,†,†,0.00000,†,†,†
5.10267E+11,VA-118-1180185,5102670,VA-118,03,08,Academy for Discovery at Lakewood,NORFOLK CITY PBLC SCHS,Norfolk city,1701 Alsace Ave,Norfolk,VA,23509,,(757)628-2477,12,City: Midsize,No,No,No,†,693.00000,44.52000,15.6000000,296.00000,46.00000
5.10225E+11,VA-053-0531080,5102250,VA-053,†,†,Academy of Engineering and Technology,LOUDOUN CO PBLC SCHS,Loudoun County,801 N King Street,Leesburg,VA,20176,,(571)252-1018,41,Rural: Fringe,No,†,†,†,†,†,†,†,†
5.10006E+11,VA-001-0010701,5100060,VA-001,PK,05,Accawmacke Elementary,ACCOMACK CO PBLC SCHS,Accomack County,P.O. Box 389,Accomac,VA,23301,,(757)787-8013,43,Rural: Remote,No,No,Yes,Yes,582.00000,30.00000,19.4000000,387.00000,30.00000
5.10264E+11,VA-117-1171404,5102640,VA-117,PK,05,Achievable Dream Academy,NEWPORT NEWS CITY PBLC SCHS,Newport News city,726 16th St.,Newport News,VA,23607,,(757)928-6827,12,City: Midsize,No,Yes,Yes,Yes,694.00000,40.00000,17.4000000,690.00000,0.00000
5.10264E+11,VA-117-1171405,5102640,VA-117,06,12,Achievable Dream Middle/High,NEWPORT NEWS CITY PBLC SCHS,Newport News city,5720 Marshall Ave.,Newport News,VA,23605,,(757)283-7820,12,City: Midsize,No,Yes,No,†,493.00000,28.70000,17.2000000,388.00000,31.00000
5.10126E+11,VA-029-0292244,5101260,VA-029,†,†,Achievement Integrity And Maturity,FAIRFAX CO PBLC SCHS,Fairfax County,c/o Kathryn Salerno,Alexandria,VA,22306,,(703)660-2064,21,Suburb: Large,No,No,No,†,†,0.00000,†,†,†
5.10162E+11,VA-036-0360240,5101620,VA-036,PK,05,Achilles Elementary,GLOUCESTER CO PBLC SCHS,Gloucester County,9306 Guinea Road,Hayes,VA,23072,,(804)642-9140,41,Rural: Fringe,No,No,Yes,No,445.00000,28.00000,15.9000000,141.00000,45.00000
5.10212E+11,VA-050-0500180,5102120,VA-050,03,05,Acquinton Elementary,KING WILLIAM CO PBLC SCHS,King William County,18550 King William Road,King William,VA,23086,,(804)769-3434,42,Rural: Distant,No,No,No,†,543.00000,32.97000,16.5000000,155.00000,30.00000
5.1033E+11,VA-124-1240280,5103300,VA-124,06,08,Addison Aerospace Magnet Middle,ROANOKE CITY PBLC SCHS,Roanoke city,1220 5th Street NW,Roanoke,VA,24016,,(540)853-2681,13,City: Small,No,No,Yes,Yes,585.00000,37.23000,15.7000000,581.00000,0.00000
5.10147E+11,VA-034-0340586,5101470,VA-034,06,08,Admiral Richard E. Byrd Middle,FREDERICK CO PBLC SCHS,Frederick County,134 Rosa Lane,Winchester,VA,22602,,(540)662-0500,41,Rural: Fringe,No,No,No,†,897.00000,66.95000,13.4000000,188.00000,46.00000
5.10111E+11,VA-108-1081378,5101110,VA-108,†,†,Adult & Career Education Center,DANVILLE CITY PBLC SCHS,Danville city,141 Goode Street,Danville,VA,24541,,(434)799-6471,32,Town: Distant,No,No,No,†,†,0.00000,†,†,†
