National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (3464) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Michigan""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.62895E+11,MI-39140-09848,2628950,MI-39140,KG,12,12th Street Elementary,Portage Public Schools,Kalamazoo County,6501 SOUTH 12TH ST,PORTAGE,MI,49024,1705,(269)323-6900,13,City: Small,No,No,No,†,594.00000,31.50000,18.9000000,99.00000,21.00000
2.62016E+11,MI-41140-02449,2620160,MI-41140,09,12,54th Street Academy,Kelloggsville Public Schools,Kent County,173 54TH ST SW,GRAND RAPIDS,MI,49548,5611,(616)531-7433,13,City: Small,No,No,No,†,95.00000,3.60000,26.4000000,62.00000,3.00000
2.6011E+11,MI-82015-02553,2601103,MI-82015,09,12,A. Philip Randolph Technical High School,Detroit Public Schools Community District,†,17101 HUBBELL ST,DETROIT,MI,48235,3942,(313)494-7100,†,N,No,†,†,†,†,†,†,†,†
2.61925E+11,MI-34010-00001,2619250,MI-34010,KG,05,A.A. Rather School,Ionia Public Schools,Ionia County,380 EAST TUTTLE RD,IONIA,MI,48846,8615,(616)527-1720,41,Rural: Fringe,No,No,Yes,Yes,318.00000,15.10000,21.1000000,141.00000,16.00000
2.61011E+11,MI-25150-00002,2610110,MI-25150,KG,04,A.C. Edgerton Elementary School,Clio Area School District,Genesee County,11218 NORTH LINDEN RD,CLIO,MI,48420,8585,(810)591-7650,41,Rural: Fringe,No,No,Yes,Yes,375.00000,18.05000,20.8000000,145.00000,20.00000
2.60001E+11,MI-27010-00003,2600006,MI-27010,07,12,A.D. Johnston Jr/Sr High School,Bessemer Area School District,Gogebic County,100 WEST LEAD ST,BESSEMER,MI,49911,1007,(906)667-0413,42,Rural: Distant,No,No,Yes,No,184.00000,9.94000,18.5000000,63.00000,14.00000
2.60663E+11,MI-29040-07412,2606630,MI-29040,06,12,A.I.M.,Breckenridge Community Schools,Gratiot County,700 WRIGHT ST,BRECKENRIDGE,MI,48615,9804,(989)842-3182,42,Rural: Distant,No,No,Yes,No,28.00000,1.51000,18.5000000,22.00000,3.00000
2.60282E+11,MI-81010-00006,2602820,MI-81010,KG,05,Abbot School,Ann Arbor Public Schools,Washtenaw County,2670 SEQUOIA PKWY,ANN ARBOR,MI,48103,2662,(734)994-1901,12,City: Midsize,No,No,Yes,No,293.00000,22.80000,12.9000000,70.00000,20.00000
2.63582E+11,MI-63160-06292,2635820,MI-63160,06,08,Abbott Middle School,West Bloomfield School District,Oakland County,3380 ORCHARD LAKE RD,ORCHARD LAKE,MI,48324,1635,(248)865-3670,21,Suburb: Large,No,No,No,†,654.00000,34.37000,19.0000000,156.00000,18.00000
2.61644E+11,MI-41010-02044,2616440,MI-41010,KG,08,Aberdeen Elementary School,Grand Rapids Public Schools,Kent County,928 Aberdeen St NE,Grand Rapids,MI,49505,,(616)819-2868,12,City: Midsize,No,No,Yes,Yes,207.00000,13.80000,15.0000000,143.00000,12.00000
2.60033E+11,MI-56903-09696,2600330,MI-56903,09,12,Academic and Career Education Academy,Academic and Career Education Academy,Midland County,884 EAST ISABELLA RD,MIDLAND,MI,48640,8326,(989)631-5202,41,Rural: Fringe,Yes,No,Yes,Yes,179.00000,6.99000,25.6000000,69.00000,3.00000
2.60858E+11,MI-50010-00896,2608580,MI-50010,06,12,Academy 21,Center Line Public Schools,Macomb County,26400 Arsenal Avenue,Center Line,MI,48015,,(586)510-2000,21,Suburb: Large,No,No,No,†,178.00000,5.90000,30.2000000,86.00000,11.00000
2.60017E+11,MI-82921-09332,2600166,MI-82921,KG,12,Academy for Business and Technology Elementary,Academy for Business and Technology,Wayne County,5277 CALHOUN ST,DEARBORN,MI,48126,3203,(313)581-2223,13,City: Small,Yes,No,Yes,Yes,308.00000,16.00000,19.3000000,240.00000,4.00000
2.60017E+11,MI-82921-08435,2600166,MI-82921,06,12,Academy for Business and Technology High School,Academy for Business and Technology,Wayne County,19625 WOOD ST,MELVINDALE,MI,48122,2201,(313)382-3422,21,Suburb: Large,Yes,No,Yes,Yes,352.00000,16.25000,21.7000000,275.00000,4.00000
2.601E+11,MI-82738-01168,2601002,MI-82738,KG,08,Academy of International Studies,Academy of International Studies,Wayne County,3056 HANLEY ST,HAMTRAMCK,MI,48212,3572,(313)347-0026,21,Suburb: Large,Yes,No,Yes,No,187.00000,5.00000,37.4000000,177.00000,4.00000
2.62313E+11,MI-53010-01355,2623130,MI-53010,09,12,Academy of Science Math and Technology Early College HS,Mason County Central Schools,Mason County,2130 W. US 10,Ludington,MI,49431,,(231)843-5935,41,Rural: Fringe,No,No,No,†,46.00000,0.00000,†,7.00000,3.00000
2.6011E+11,MI-82015-07793,2601103,MI-82015,KG,11,Academy of The Americas,Detroit Public Schools Community District,†,5680 KONKEL ST,DETROIT,MI,48210,3267,(313)596-7640,†,N,No,†,†,†,†,†,†,†,†
2.60031E+11,MI-50911-09602,2600308,MI-50911,KG,08,Academy of Warren,Academy of Warren,Macomb County,13943 EAST 8 MILE RD,WARREN,MI,48089,3351,(586)552-8010,12,City: Midsize,Yes,No,Yes,Yes,540.00000,31.00000,17.4000000,527.00000,8.00000
2.63597E+11,MI-25210-01915,2635970,MI-25210,06,12,Academy West Alternative Education,Westwood Heights Schools,Genesee County,3223 WEST CARPENTER RD,FLINT,MI,48504,1247,(810)591-0123,21,Suburb: Large,No,No,Yes,Yes,524.00000,12.00000,43.7000000,449.00000,10.00000
2.63663E+11,MI-81020-03000,2636630,MI-81020,06,12,ACCE,Ypsilanti Community Schools,†,1076 Ecorse Road,Ypsilanti,MI,48198,,(734)221-1691,†,N,No,†,†,†,†,†,†,†,†
2.61452E+11,MI-25010-05950,2614520,MI-25010,07,12,Accelerated Learning Academy,Flint School District of the City of,Genesee County,G2138 W. Carpenter Road,FLINT,MI,48505,1977,(810)767-8500,13,City: Small,No,No,Yes,Yes,277.00000,14.00000,19.8000000,238.00000,0.00000
2.60094E+11,MI-82998-09850,2600943,MI-82998,06,12,ACE Academy (SDA) -Glendale Lincoln Woodward,ACE Academy (SDA),Wayne County,330 Glendale,Highland Park,MI,48203,,(313)868-8368,21,Suburb: Large,Yes,No,No,†,163.00000,11.00000,14.8000000,160.00000,0.00000
2.60094E+11,MI-82998-03045,2600943,MI-82998,09,12,ACE Academy - Jefferson site,ACE Academy (SDA),†,13330 E. Jefferson Avenue,Detroit,MI,48215,,(313)852-7500,†,N,Yes,†,†,†,†,†,†,†,†
2.60096E+11,MI-82717-00110,2600963,MI-82717,KG,08,Achieve Charter Academy,Achieve Charter Academy,Wayne County,3250 DENTON RD,CANTON,MI,48188,2110,(734)397-0960,41,Rural: Fringe,Yes,No,Yes,No,762.00000,32.57000,23.4000000,87.00000,27.00000
2.63021E+11,MI-50030-03111,2630210,MI-50030,–,–,Achievement High School,Roseville Community Schools,†,17855 Common Rd,Roseville,MI,48066,,(586)445-5540,†,N,No,†,†,†,†,†,†,†,†
2.62496E+11,MI-38130-07973,2624960,MI-38130,09,12,Ackerson Lake Community Education,Napoleon Community Schools,Jackson County,P.O. Box 308,Napoleon,MI,49261,0308,(517)905-5712,41,Rural: Fringe,No,No,Yes,Yes,51.00000,3.50000,14.6000000,22.00000,3.00000
2.63663E+11,MI-81020-01925,2636630,MI-81020,09,12,ACTech High School,Ypsilanti Community Schools,Washtenaw County,2095 Packard Road,YPSILANTI,MI,48197,1846,(734)221-1001,21,Suburb: Large,No,No,Yes,Yes,486.00000,42.75000,11.4000000,365.00000,14.00000
2.61461E+11,MI-41110-00014,2614610,MI-41110,KG,04,Ada Elementary School,Forest Hills Public Schools,Kent County,731 ADA DR SE,ADA,MI,49301,7502,(616)493-8940,21,Suburb: Large,No,No,No,†,355.00000,22.72000,15.6000000,13.00000,7.00000
2.61461E+11,MI-41110-09069,2614610,MI-41110,KG,04,Ada Vista Elementary School,Forest Hills Public Schools,Kent County,7192 BRADFIELD AVE SE,ADA,MI,49301,9130,(616)493-8970,21,Suburb: Large,No,Yes,No,†,491.00000,26.14000,18.8000000,6.00000,3.00000
2.62382E+11,MI-56010-00016,2623820,MI-56010,KG,05,Adams Elementary School,Midland Public Schools,Midland County,1005 ADAMS DR,MIDLAND,MI,48642,3051,(989)923-6037,13,City: Small,No,No,No,†,438.00000,23.80000,18.4000000,61.00000,11.00000
2.60001E+11,MI-32610-05411,2600010,MI-32610,KG,12,Adams Elementary School,Sigel Township S/D #3F,Huron County,4151 SECTION LINE RD,BAD AXE,MI,48413,9155,(989)269-8944,42,Rural: Distant,No,No,Yes,No,15.00000,1.84000,8.2000000,3.00000,3.00000
2.63666E+11,MI-70350-01146,2636660,MI-70350,KG,05,Adams Elementary School,Zeeland Public Schools,Ottawa County,7447 ADAMS ST,ZEELAND,MI,49464,9659,(616)748-3476,41,Rural: Fringe,No,No,Yes,No,295.00000,17.80000,16.6000000,52.00000,21.00000
2.60002E+11,MI-82160-00017,2600015,MI-82160,03,06,Adams Upper Elementary School,Wayne-Westland Community School District,Wayne County,33475 PALMER RD,WESTLAND,MI,48186,4614,(734)419-2380,21,Suburb: Large,No,No,Yes,Yes,850.00000,41.40000,20.5000000,561.00000,71.00000
2.6303E+11,MI-63040-09741,2630300,MI-63040,KG,12,Addams Elementary and ECC,Royal Oak Schools,Oakland County,2222 WEST WEBSTER RD,ROYAL OAK,MI,48073,3852,(248)288-3100,21,Suburb: Large,No,No,No,†,466.00000,33.20000,14.0000000,65.00000,13.00000
2.60192E+11,MI-46020-09983,2601920,MI-46020,KG,05,Addison Elementary School,Addison Community Schools,Lenawee County,219 NORTH COMSTOCK ST,ADDISON,MI,49220,9753,(517)547-6124,42,Rural: Distant,No,No,Yes,No,404.00000,24.67000,16.4000000,163.00000,28.00000
2.60192E+11,MI-46020-00023,2601920,MI-46020,09,12,Addison High School,Addison Community Schools,Lenawee County,219 NORTH COMSTOCK ST,ADDISON,MI,49220,9753,(517)547-6900,42,Rural: Distant,No,No,Yes,No,269.00000,11.18000,24.1000000,82.00000,16.00000
2.60192E+11,MI-46020-01315,2601920,MI-46020,06,08,Addison Middle School,Addison Community Schools,Lenawee County,219 N COMSTOCK ST,ADDISON,MI,49220,9753,(517)547-6900,42,Rural: Distant,No,No,Yes,No,182.00000,11.16000,16.3000000,61.00000,10.00000
2.63231E+11,MI-63060-00024,2632310,MI-63060,KG,05,Adlai Stevenson Elementary School,Southfield Public School District,Oakland County,27777 LAHSER RD,SOUTHFIELD,MI,48034,4751,(248)746-8840,13,City: Small,No,No,Yes,Yes,335.00000,17.90000,18.7000000,209.00000,30.00000
2.63447E+11,MI-50210-04931,2634470,MI-50210,09,12,Adlai Stevenson High School,Utica Community Schools,Macomb County,39701 DODGE PARK RD,STERLING HEIGHTS,MI,48313,5131,(586)797-1900,21,Suburb: Large,No,No,No,†,1917.00000,82.90000,23.1000000,615.00000,119.00000
2.60002E+11,MI-82160-04926,2600015,MI-82160,07,08,Adlai Stevenson Middle School,Wayne-Westland Community School District,Wayne County,38501 PALMER RD,WESTLAND,MI,48186,3936,(734)419-2350,21,Suburb: Large,No,No,Yes,Yes,826.00000,41.20000,20.0000000,396.00000,69.00000
2.60195E+11,MI-46010-07431,2601950,MI-46010,01,12,Adrian Adult and Alternative Education,Adrian School District of the City of,Lenawee County,726 ELM ST,ADRIAN,MI,49221,2779,(517)263-1332,32,Town: Distant,No,No,Yes,Yes,55.00000,4.01000,13.7000000,36.00000,3.00000
