National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (228) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Delaware""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.00005E+11,DE-9605-4045,1000053,DE-9605,KG,02,Academia Antonia Alonso,Academia Antonia Alonso,New Castle County,4403 Lancaster Pike,Wilmington,DE,19805,,(302)351-8200,13,City: Small,Yes,No,No,†,320.00000,19.00000,16.8000000,234.00000,0.00000
1.00002E+11,DE-85-584,1000017,DE-85,KG,05,Academy Of Dover Charter School,Academy of Dover Charter School,Kent County,104 Saulsbury Road,Dover,DE,19904,,(302)674-0684,13,City: Small,Yes,No,Yes,Yes,284.00000,22.00000,12.9000000,281.00000,0.00000
1.00018E+11,DE-10-610,1000180,DE-10,01,05,Allen Frear Elementary School,Caesar Rodney School District,Kent County,238 Sorghum Mill Road,Camden,DE,19934,,(302)697-3279,22,Suburb: Midsize,No,No,Yes,Yes,707.00000,43.00000,16.4000000,233.00000,0.00000
1.00008E+11,DE-29-24,1000080,DE-29,09,12,Appoquinimink High School,Appoquinimink School District,New Castle County,1080 Bunker Hill Road,Middletown,DE,19709,,(302)449-3840,41,Rural: Fringe,No,No,No,†,1589.00000,91.00000,17.5000000,172.00000,0.00000
1.00008E+11,DE-29-13,1000080,DE-29,PK,PK,Appoquinimink PreSchool Center,Appoquinimink School District,New Castle County,502 South Broad Street,Middletown,DE,19709,1196,(302)376-4400,31,Town: Fringe,No,No,No,†,110.00000,1.00000,110.0000000,15.00000,0.00000
1.0013E+11,DE-32-252,1001300,DE-32,PK,05,Baltz (Austin D.) Elementary School,Red Clay Consolidated School District,New Castle County,1500 Spruce Avenue,Wilmington,DE,19805,2195,(302)992-5560,21,Suburb: Large,No,No,Yes,Yes,536.00000,38.00000,14.1000000,533.00000,0.00000
1.0002E+11,DE-33-350,1000200,DE-33,PK,05,Bancroft Elementary School,Christina School District,New Castle County,700 North Lombard Street,Wilmington,DE,19801,4299,(302)429-4102,13,City: Small,No,No,Yes,Yes,392.00000,28.00000,14.0000000,320.00000,0.00000
1.00108E+11,DE-18-668,1001080,DE-18,01,05,Banneker (Benjamin) Elementary School,Milford School District,Kent County,449 North Street,Milford,DE,19963,1199,(302)422-1630,31,Town: Fringe,No,No,Yes,Yes,525.00000,33.00000,15.9000000,298.00000,0.00000
1.0002E+11,DE-33-352,1000200,DE-33,06,08,Bayard Middle School,Christina School District,New Castle County,200 South duPont Street,Wilmington,DE,19805,3975,(302)429-4118,13,City: Small,No,No,Yes,Yes,431.00000,27.00000,16.0000000,346.00000,0.00000
1.00017E+11,DE-17-724,1000170,DE-17,04,08,Beacon Middle School,Cape Henlopen School District,Sussex County,19483 John J. Williams Highway,Lewes,DE,19958,,(302)645-6288,41,Rural: Fringe,No,No,No,†,573.00000,40.00000,14.3000000,164.00000,0.00000
