National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (2309) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Arizona""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
040553000451,AZ-4457-5958,0405530,AZ-4457,KG,05,A J Mitchell Elementary School,Nogales Unified District,Santa Cruz County,855 N Bautista St,Nogales,AZ,85621,,(520)287-0840,33,Town: Remote,No,–,Yes,Yes,427.00000,17.00000,25.1000000,16.00000,408.00000
040463000999,AZ-4404-5768,0404630,AZ-4404,07,12,A. C. E.,Marana Unified District,Pima County,11279 W Grier Rd,Marana,AZ,85653,,(520)682-4749,41,Rural: Fringe,No,–,Yes,Yes,13.00000,8.00000,1.6000000,9.00000,3.00000
040010601892,AZ-4331-6344,0400106,AZ-4331,09,12,AAEC - Paradise Valley,Arizona Agribusiness & Equine Center  Inc.,Maricopa County,17811 North 32nd Street,Phoenix,AZ,85032,,(602)243-8004,11,City: Large,Yes,–,Yes,No,406.00000,–,†,58.00000,25.00000
040041701588,AZ-85816-5503,0400417,AZ-85816,09,12,AAEC - SMCC Campus,Arizona Agribusiness & Equine Center  Inc.,Maricopa County,7050 S. 24th Street,Phoenix,AZ,85042,,(602)243-8004,11,City: Large,Yes,–,Yes,Yes,434.00000,–,†,274.00000,54.00000
040673001433,AZ-4466-8132,0406730,AZ-4466,KG,05,Abia Judd Elementary School,Prescott Unified District,Yavapai County,1749 Williamson Valley Rd.,Prescott,AZ,86305,,(928)445-5400,13,City: Small,No,–,Yes,No,462.00000,32.00000,14.4000000,88.00000,23.00000
040906000652,AZ-4260-5274,0409060,AZ-4260,KG,08,Abraham Lincoln Traditional School,Washington Elementary School District,Maricopa County,10444 N 39th Avenue,Phoenix,AZ,85051,,(602)896-6300,11,City: Large,No,–,Yes,Yes,602.00000,30.25000,19.9000000,215.00000,74.00000
040906000915,AZ-4260-5244,0409060,AZ-4260,KG,06,Acacia Elementary School,Washington Elementary School District,Maricopa County,3021 W. Evans Dr.,Phoenix,AZ,85053,,(602)896-5000,11,City: Large,No,–,Yes,Yes,824.00000,37.30000,22.1000000,824.00000,0.00000
040885001510,AZ-4413-91168,0408850,AZ-4413,PK,05,Acacia Elementary School,Vail Unified District,Pima County,12955 E. Colossal Cave Road,Vail,AZ,85641,,(520)879-2200,41,Rural: Fringe,No,–,Yes,No,623.00000,–,†,5.00000,0.00000
040081703191,AZ-90506-90507,0400817,AZ-90506,KG,05,Academy Adventures Midtown,Ed Ahead,Pima County,3025 N. Winstel,Tucson,AZ,85716,,(520)465-1415,11,City: Large,Yes,–,Yes,Yes,78.00000,–,†,78.00000,0.00000
040061303135,AZ-81123-81124,0400613,AZ-81123,KG,05,Academy Adventures Primary School,Educational Impact  Inc.,Pima County,3902 North Flowing Wells Road,Tucson,AZ,85705,,(520)407-1200,11,City: Large,Yes,–,No,†,65.00000,–,†,–,–
040079702994,AZ-90199-90200,0400797,AZ-90199,KG,08,Academy Del Sol,Academy Del Sol  Inc.,Pima County,732 W. Roger Rd.,Tucson,AZ,85705,,(520)325-2800,21,Suburb: Large,Yes,–,No,†,109.00000,–,†,–,–
040079703230,AZ-90199-90770,0400797,AZ-90199,KG,08,Academy Del Sol - Hope,Academy Del Sol  Inc.,Pima County,7102 W. Valley Crest Pl,Tucson,AZ,85757,,(520)325-2800,11,City: Large,Yes,–,No,†,569.00000,–,†,–,–
040041402412,AZ-85540-85541,0400414,AZ-85540,09,12,Academy of Building Industries,Academy of Building Industries  Inc.,Mohave County,1547 E. Lippan Blvd.,Fort Mohave,AZ,86426,,(928)788-2601,33,Town: Remote,Yes,–,Yes,Yes,99.00000,–,†,49.00000,32.00000
040012801715,AZ-4296-5461,0400128,AZ-4296,KG,08,Academy Of Excellence,Academy Of Excellence  Inc.,Maricopa County,425 North 36th Street,Phoenix,AZ,85008,,(602)389-4271,11,City: Large,Yes,–,Yes,Yes,115.00000,–,†,109.00000,3.00000
040036802037,AZ-79961-79094,0400368,AZ-79961,KG,12,Academy of Math and Science,Academy of Mathematics and Science  Inc.,Pima County,1557 W Prince Rd,Tucson,AZ,85705,,(520)293-2676,11,City: Large,Yes,–,Yes,Yes,431.00000,–,†,252.00000,66.00000
040094003499,AZ-92768-92769,0400940,AZ-92768,KG,08,Academy of Math and Science Camelback,Academy of Mathematics and Science  Inc.,Maricopa County,6633 W. Camelback Rd.,Phoenix,AZ,85033,,(623)295-9069,11,City: Large,Yes,–,Yes,Yes,397.00000,–,†,271.00000,20.00000
