National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1540) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Kentucky""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.10115E+11,KY-024115000-024115185,2101150,KY-024115000,06,12,21st Century Academy,Christian County,Christian County,210 Glass Ave,Hopkinsville,KY,42240,,(270)887-7401,32,Town: Distant,†,No,No,†,61.00000,–,†,46.00000,3.00000
2.10271E+11,KY-051251000-051251030,2102710,KY-051251000,KG,05,A B Chandler Elementary School,Henderson County,Henderson County,11215 US Hwy 60 W,Corydon,KY,42406,,(270)533-1760,41,Rural: Fringe,†,No,Yes,Yes,331.00000,23.90000,13.8000000,189.00000,11.00000
2.10051E+11,KY-008035000-008035005,2100510,KY-008035000,PK,05,A M Yealey Elementary School,Boone County,Boone County,10 Yealey Dr,Florence,KY,41042,,(859)282-3333,21,Suburb: Large,†,No,Yes,Yes,544.00000,37.00000,14.7000000,197.00000,28.00000
2.10477E+11,KY-097485000-097485750,2104770,KY-097485000,KG,08,A.B. Combs Elementary School,Perry County,Perry County,P.O. Box 140,Combs,KY,41729,,(606)436-4932,41,Rural: Fringe,†,No,Yes,Yes,329.00000,21.28000,15.5000000,258.00000,17.00000
2.10186E+11,KY-034165000-034165051,2101860,KY-034165000,KG,05,ABLE,Fayette County,Fayette County,701 E Main St,Lexington,KY,40509,,(859)381-4000,11,City: Large,†,No,No,†,11.00000,–,†,7.00000,0.00000
2.10318E+11,KY-062305000-062305015,2103180,KY-062305000,PK,05,Abraham Lincoln Elementary School,LaRue County,Larue County,2101 Lincoln Farm Rd.,Hodgenville,KY,42748,,(270)358-4112,41,Rural: Fringe,†,No,Yes,Yes,544.00000,35.00000,15.5000000,297.00000,39.00000
2.10299E+11,KY-056275000-056275456,2102990,KY-056275000,KG,12,Ackerly,Jefferson County,Jefferson County,200 East Chestnut Street,Louisville,KY,40202,,(502)629-6319,21,Suburb: Large,†,No,No,†,14.00000,2.00000,7.0000000,3.00000,0.00000
2.10003E+11,KY-001001000-001001016,2100030,KY-001001000,03,05,Adair County Elementary School,Adair County,Adair County,870 Indian Drive,Columbia,KY,42728,,(270)384-0077,33,Town: Remote,†,No,Yes,Yes,664.00000,43.00000,15.4000000,418.00000,32.00000
2.10003E+11,KY-001001000-001001010,2100030,KY-001001000,09,12,Adair County High School,Adair County,Adair County,526 Indian Drive,Columbia,KY,42728,,(270)384-2751,33,Town: Remote,†,No,Yes,Yes,792.00000,46.00000,17.2000000,441.00000,36.00000
2.10003E+11,KY-001001000-001001014,2100030,KY-001001000,06,08,Adair County Middle School,Adair County,Adair County,322 General John Adair Drive,Columbia,KY,42728,,(270)384-5308,33,Town: Remote,†,No,Yes,Yes,601.00000,35.00000,17.2000000,365.00000,36.00000
2.10003E+11,KY-001001000-001001020,2100030,KY-001001000,KG,02,Adair County Primary Center,Adair County,Adair County,158 Col. Casey Dr,Columbia,KY,42728,,(270)384-3367,33,Town: Remote,†,No,Yes,Yes,609.00000,39.00000,15.6000000,428.00000,34.00000
2.10003E+11,KY-001001000-001001012,2100030,KY-001001000,05,12,Adair Learning Academy,Adair County,Adair County,401 Appleby Drive,Columbia,KY,42728,,(270)384-0811,41,Rural: Fringe,†,No,No,†,23.00000,8.00000,2.9000000,20.00000,0.00000
2.10354E+11,KY-071351000-071351011,2103540,KY-071351000,PK,08,Adairville Elementary School,Logan County,Logan County,226 School Ave,Adairville,KY,42202,,(270)539-7711,42,Rural: Distant,†,No,Yes,Yes,357.00000,28.00000,12.8000000,198.00000,35.00000
2.10299E+11,KY-056275000-056275920,2102990,KY-056275000,09,12,Ahrens Educational Resource,Jefferson County,Jefferson County,546 South First Street,Louisville,KY,40202,,(502)485-8201,21,Suburb: Large,†,No,No,†,39.00000,5.00000,7.8000000,11.00000,0.00000
2.10126E+11,KY-027131000-027131015,2101260,KY-027131000,KG,04,Albany Elementary School,Clinton County,Clinton County,819 Third Street,Albany,KY,42602,,(606)387-5828,43,Rural: Remote,†,No,Yes,Yes,542.00000,33.80000,16.0000000,409.00000,25.00000
2.10299E+11,KY-056275000-056275175,2102990,KY-056275000,PK,05,Alex R. Kennedy Elementary School,Jefferson County,Jefferson County,4515 Taylorsville Rd,Louisville,KY,40220,,(502)485-6950,21,Suburb: Large,†,No,No,†,279.00000,13.70000,20.4000000,189.00000,14.00000
2.1009E+11,KY-019091000-019091016,2100900,KY-019091000,06,12,Alexandria Educational Center,Campbell County,Campbell County,51 Orchard Lane,Alexandria,KY,41001,,(859)635-9113,21,Suburb: Large,†,No,No,†,23.00000,2.40000,9.6000000,19.00000,3.00000
2.10195E+11,KY-036175000-036175025,2101950,KY-036175000,09,12,Allen Central High School,Floyd County,Floyd County,PO Box 139,Eastern,KY,41622,,(606)358-9543,42,Rural: Distant,†,No,Yes,Yes,375.00000,25.00000,15.0000000,242.00000,45.00000
2.10195E+11,KY-036175000-036175022,2101950,KY-036175000,06,08,Allen Central Middle School,Floyd County,Floyd County,P.O. Box 193,Eastern,KY,41622,,(606)358-0110,42,Rural: Distant,†,No,Yes,Yes,312.00000,20.39000,15.3000000,213.00000,22.00000
2.10007E+11,KY-002005000-002005901,2100070,KY-002005000,†,†,Allen County Career and Technical Center,Allen County,Allen County,1585 Bowling Green Road,Scottsville,KY,42164,,(270)622-4711,41,Rural: Fringe,†,No,No,†,†,0.00000,†,†,†
2.10007E+11,KY-002005000-002005060,2100070,KY-002005000,04,06,Allen County Intermediate Center,Allen County,Allen County,720 Oliver Street,Scottsville,KY,42164,,(270)618-8200,41,Rural: Fringe,†,No,Yes,Yes,645.00000,38.25000,16.9000000,382.00000,45.00000
