National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1066) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Mississippi""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.80019E+11,MS-6711-6711010,2800187,MS-6711,PK,05,A W JAMES ELEMENTARY SCHOOL,SUNFLOWER CO CONSOLIDATE SCH DIST,Sunflower County,400 SOUTH BLVD,DREW,MS,38737,,(662)745-8892,42,Rural: Distant,No,No,Yes,Yes,266.00000,16.34000,16.3000000,266.00000,0.00000
2.80036E+11,MS-4820-4820006,2800360,MS-4820,PK,03,ABERDEEN ELEMENTARY SCHOOL,ABERDEEN SCHOOL DIST,Monroe County,P.O. Box 607,Aberdeen,MS,39730,,(662)369-4782,33,Town: Remote,No,No,Yes,Yes,443.00000,32.44000,13.7000000,443.00000,0.00000
2.80036E+11,MS-4820-4820008,2800360,MS-4820,09,12,ABERDEEN HIGH SCHOOL,ABERDEEN SCHOOL DIST,Monroe County,P.O. Box 607,Aberdeen,MS,39730,,(662)369-8933,33,Town: Remote,No,No,Yes,Yes,332.00000,47.03000,7.1000000,332.00000,0.00000
2.80099E+11,MS-1000-1000004,2800990,MS-1000,PK,06,ACKERMAN ELEM,CHOCTAW CO SCHOOL DIST,Choctaw County,8475 MS HWY 15,ACKERMAN,MS,39735,,(662)285-4052,43,Rural: Remote,No,No,Yes,Yes,527.00000,37.28000,14.1000000,340.00000,24.00000
2.80156E+11,MS-2000-2000004,2801560,MS-2000,KG,06,AGRICOLA ELEMENTARY SCHOOL,GEORGE CO SCHOOL DIST,George County,6165 HWY 613 S,LUCEDALE,MS,39452,,(601)947-8447,42,Rural: Distant,No,No,Yes,Yes,507.00000,28.45000,17.8000000,252.00000,56.00000
2.80162E+11,MS-7620-7620004,2801620,MS-7620,01,05,AKIN ELEMENTARY SCHOOL,GREENVILLE PUBLIC SCHOOLS,Washington County,361 Bowman Blvd.,Greenville,MS,38701,,(662)334-7161,33,Town: Remote,No,No,Yes,Yes,476.00000,26.39000,18.0000000,476.00000,0.00000
2.80039E+11,MS-0200-0200092,2800390,MS-0200,–,–,Alcorn ALTERNATIVE SCHOOL,ALCORN SCHOOL DIST,Alcorn County,2101A  Norman Road,CORINTH,MS,38834,,(662)284-3359,33,Town: Remote,No,No,No,†,–,2.00000,†,–,–
2.80039E+11,MS-0200-0200006,2800390,MS-0200,PK,04,ALCORN CENTRAL ELEMENTARY SCHOOL,ALCORN SCHOOL DIST,Alcorn County,20 CR 254,GLEN,MS,38846,,(662)286-6899,41,Rural: Fringe,No,No,Yes,Yes,382.00000,29.59000,12.9000000,216.00000,61.00000
2.80039E+11,MS-0200-0200008,2800390,MS-0200,09,12,ALCORN CENTRAL HIGH SCHOOL,ALCORN SCHOOL DIST,Alcorn County,8 CR 254,GLEN,MS,38846,,(662)286-8720,41,Rural: Fringe,No,No,No,†,420.00000,30.01000,14.0000000,165.00000,26.00000
2.80039E+11,MS-0200-0200010,2800390,MS-0200,05,08,ALCORN CENTRAL MIDDLE SCHOOL,ALCORN SCHOOL DIST,Alcorn County,8A CR 254,GLEN,MS,38846,,(662)286-3674,41,Rural: Fringe,No,No,Yes,Yes,365.00000,27.94000,13.1000000,193.00000,42.00000
