National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1404) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Louisiana""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
2.20033E+11,LA-010-010042,2200330,LA-010,PK,05,A. A. Nelson Elementary School,Calcasieu Parish,Calcasieu Parish,1001 Country Club Road,Lake Charles,LA,70605,,(337)217-4790,13,City: Small,No,No,Yes,Yes,729.00000,60.22000,12.1000000,297.00000,57.00000
2.20006E+11,LA-322-322001,2200056,LA-322,KG,08,A. E. Phillips Laboratory School,A.E. Phillips Laboratory School,Lincoln Parish,Box 10168 Tech Station,Ruston,LA,71272,,(318)257-3469,32,Town: Distant,No,No,No,†,396.00000,20.90000,18.9000000,–,–
2.20006E+11,LA-323-323001,2200055,LA-323,KG,05,A. J. Brown Elementary School,Grambling State Lab Schools,Lincoln Parish,300 Ralph Jones Drive,Grambling,LA,71245,,(318)274-3118,32,Town: Distant,†,No,Yes,Yes,169.00000,10.64000,15.9000000,–,–
2.20084E+11,LA-026-026003,2200840,LA-026,PK,05,A.C. Alexander Elementary School,Jefferson Parish,Jefferson Parish,600 West Esplanade Avenue,Kenner,LA,70065,2799,(504)469-7326,21,Suburb: Large,No,No,Yes,Yes,648.00000,40.06000,16.2000000,523.00000,34.00000
2.2003E+11,LA-009-009060,2200300,LA-009,PK,05,A.C. Steere Elementary School,Caddo Parish,Caddo Parish,4009 Youree Drive,Shreveport,LA,71105,,(318)865-5675,12,City: Midsize,No,No,No,†,422.00000,35.25000,12.0000000,164.00000,15.00000
2.2018E+11,LA-057-057001,2201800,LA-057,09,12,Abbeville High School,Vermilion Parish,Vermilion Parish,1305 Wildcat Dr,Abbeville,LA,70510,,(337)893-1874,31,Town: Fringe,No,No,Yes,Yes,657.00000,†,†,451.00000,44.00000
2.20165E+11,LA-052-052001,2201650,LA-052,PK,03,Abita Springs Elementary School,St. Tammany Parish,St. Tammany Parish,22410 Level Street,Abita Springs,LA,70420,,(985)892-8184,41,Rural: Fringe,No,No,Yes,Yes,714.00000,49.92000,14.3000000,350.00000,59.00000
2.20165E+11,LA-052-052002,2201650,LA-052,04,06,Abita Springs Middle School,St. Tammany Parish,St. Tammany Parish,72079 Maple Street,Abita Springs,LA,70420,,(985)892-2070,23,Suburb: Small,No,No,Yes,Yes,487.00000,32.92000,14.8000000,234.00000,32.00000
2.20165E+11,LA-052-052064,2201650,LA-052,PK,KG,Abney Elementary Early Childhood Center,St. Tammany Parish,St. Tammany Parish,829 Kostmayer Avenue,Slidell,LA,70458,,(985)649-1858,23,Suburb: Small,No,No,Yes,Yes,244.00000,27.10000,9.0000000,192.00000,18.00000
2.2003E+11,LA-009-009104,2200300,LA-009,09,12,Academic Recovery Ombudsman,Caddo Parish,Caddo Parish,401 North Holzman,Shreveport,LA,71101,,(318)347-9502,12,City: Midsize,No,No,Yes,Yes,104.00000,0.50000,208.0000000,94.00000,3.00000
