National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (491) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""New Hampshire""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
3.30249E+11,NH-113-10911311327010,3302490,NH-113,07,08,A. Crosby Kennett Middle School,Conway School District,Carroll County,176 Main St.,Conway,NH,03818,6164,(603)447-6364,41,Rural: Fringe,No,No,Yes,Yes,277.00000,27.10000,10.2000000,85.00000,16.00000
3.30246E+11,NH-111-60811111120240,3302460,NH-111,KG,05,Abbot-Downing School,Concord School District,Merrimack County,152 South St.,Concord,NH,03301,2705,(603)225-0827,31,Town: Fringe,No,No,Yes,No,432.00000,26.40000,16.4000000,143.00000,17.00000
3.30004E+11,NH-725-672572528615,3300040,NH-725,09,12,Academy for Science and Design Charter (H),Academy for Science and Design Charter School,Hillsborough County,486 Amherst Street,Nashua,NH,03063,1282,(603)595-4705,13,City: Small,Yes,No,Yes,No,169.00000,8.80000,19.2000000,3.00000,3.00000
3.30004E+11,NH-725-672572528580,3300040,NH-725,06,08,Academy for Science and Design Charter (M),Academy for Science and Design Charter School,Hillsborough County,486 Amherst Street,Nashua,NH,03063,1282,(603)595-4705,13,City: Small,Yes,No,Yes,Yes,352.00000,20.40000,17.3000000,4.00000,0.00000
3.30299E+11,NH-174-96017400322960,3302990,NH-174,01,04,Acworth Elementary School,Fall Mountain Regional School District,Sullivan County,PO Box 69,Acworth,NH,03601,0069,(603)835-2270,42,Rural: Distant,No,No,Yes,Yes,25.00000,2.30000,10.9000000,5.00000,0.00000
3.30351E+11,NH-225-72122522520795,3303510,NH-225,03,05,Adeline C. Marston School,Hampton School District,Rockingham County,4 Marston Way,Hampton,NH,03842,2055,(603)926-8708,23,Suburb: Small,No,No,Yes,No,403.00000,31.90000,12.6000000,70.00000,4.00000
3.30138E+11,NH-009-65300900922580,3301380,NH-009,KG,04,Allenstown Elementary School,Allenstown School District,Merrimack County,30 S. Main St.,Allenstown,NH,03275,2197,(603)485-9574,22,Suburb: Midsize,No,No,Yes,Yes,180.00000,17.10000,10.5000000,80.00000,9.00000
3.30299E+11,NH-174-26017401122965,3302990,NH-174,PK,04,Alstead Primary School,Fall Mountain Regional School District,Cheshire County,PO Box 670,Alstead,NH,03602,0098,(603)835-2482,42,Rural: Distant,No,No,Yes,Yes,89.00000,11.10000,8.0000000,23.00000,15.00000
3.30144E+11,NH-015-07201501522480,3301440,NH-015,PK,08,Alton Central School (Elem),Alton School District,Belknap County,PO Box 910,Alton,NH,03809,0910,(603)875-7500,42,Rural: Distant,No,No,Yes,No,483.00000,46.50000,10.4000000,100.00000,17.00000
3.30393E+11,NH-267-58126726721050,3303930,NH-267,09,12,Alvirne High School,Hudson School District,Hillsborough County,200 Derry Rd.,Hudson,NH,03051,3320,(603)886-1260,22,Suburb: Midsize,No,No,Yes,No,1303.00000,90.80000,14.4000000,118.00000,21.00000
