National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (698) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""South Dakota""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
4.64839E+11,SD-17002-06,4648390,SD-17002,KG,08,Abbott House Elementary - 06,Mitchell School District 17-2,Davison County,909 Court Merrill St,Mitchell,SD,57301,,(605)995-2486,33,Town: Remote,No,†,No,†,7.00000,1.00000,7.0000000,–,–
4.64839E+11,SD-17002-07,4648390,SD-17002,09,12,Abbott House High School - 07,Mitchell School District 17-2,Davison County,909 Court Merrill St,Mitchell,SD,57301,,(605)995-2486,33,Town: Remote,No,†,No,†,17.00000,–,†,3.00000,0.00000
4.60207E+11,SD-06001-12,4602070,SD-06001,06,08,Aberdeen Alternative Learning Center- 12,Aberdeen School District 06-1,Brown County,1300 3 St S,Aberdeen,SD,57401,6956,(605)725-7900,33,Town: Remote,No,†,No,†,2.00000,1.00000,2.0000000,–,–
4.60003E+11,SD-61001-04,4600028,SD-61001,PK,06,Alcester-Hudson Elementary - 04,Alcester-Hudson School District 61-1,Union County,409 E 6th St,Alcester,SD,57001,,(605)934-2171,43,Rural: Remote,No,†,Yes,Yes,213.00000,15.77000,13.5000000,49.00000,19.00000
4.60003E+11,SD-61001-01,4600028,SD-61001,09,12,Alcester-Hudson High School - 01,Alcester-Hudson School District 61-1,Union County,PO Box 198,Alcester,SD,57001,0198,(605)934-1890,43,Rural: Remote,No,†,Yes,No,86.00000,9.42000,9.1000000,16.00000,8.00000
4.60003E+11,SD-61001-03,4600028,SD-61001,07,08,Alcester-Hudson Jr. High - 03,Alcester-Hudson School District 61-1,Union County,PO Box 198,Alcester,SD,57001,0198,(605)934-1890,43,Rural: Remote,No,†,Yes,No,40.00000,3.81000,10.5000000,9.00000,3.00000
4.66627E+11,SD-49005-50,4666270,SD-49005,KG,05,All City Elementary - 50,Sioux Falls School District 49-5,Minnehaha County,2511 W Brookings St,Sioux Falls,SD,57104,1726,(605)367-6120,12,City: Midsize,No,†,No,†,130.00000,8.38000,15.5000000,6.00000,6.00000
4.63954E+11,SD-11001-02,4639540,SD-11001,PK,06,Andes Central Elementary - 02,Andes Central School District 11-1,Charles Mix County,PO Box 67,Lake Andes,SD,57356,,(605)487-5243,43,Rural: Remote,No,†,Yes,Yes,178.00000,19.14000,9.3000000,178.00000,0.00000
4.63954E+11,SD-11001-01,4639540,SD-11001,09,12,Andes Central High School - 01,Andes Central School District 11-1,Charles Mix County,PO Box 40,Lake Andes,SD,57356,0040,(605)487-5207,43,Rural: Remote,No,†,Yes,Yes,64.00000,8.56000,7.5000000,64.00000,0.00000
4.63954E+11,SD-11001-04,4639540,SD-11001,07,08,Andes Central Jr. High - 04,Andes Central School District 11-1,Charles Mix County,PO Box 40,Lake Andes,SD,57356,0040,(605)487-5207,43,Rural: Remote,No,†,Yes,Yes,32.00000,4.93000,6.5000000,32.00000,0.00000
4.66627E+11,SD-49005-20,4666270,SD-49005,PK,05,Anne Sullivan Elementary - 20,Sioux Falls School District 49-5,Minnehaha County,3701 E 3rd St,Sioux Falls,SD,57103,6629,(605)367-6084,12,City: Midsize,No,†,Yes,Yes,703.00000,44.18000,15.9000000,431.00000,50.00000
4.60372E+11,SD-38001-02,4603720,SD-38001,PK,06,Arlington Elementary - 02,Arlington School District 38-1,Kingsbury County,PO Box 359,Arlington,SD,57212,,(605)983-5741,43,Rural: Remote,No,†,Yes,No,167.00000,10.47000,16.0000000,20.00000,15.00000
4.60372E+11,SD-38001-01,4603720,SD-38001,09,12,Arlington High School - 01,Arlington School District 38-1,Kingsbury County,PO Box 359,Arlington,SD,57212,,(605)983-5598,43,Rural: Remote,No,†,Yes,No,90.00000,8.94000,10.1000000,15.00000,8.00000
4.60372E+11,SD-38001-03,4603720,SD-38001,07,08,Arlington Jr. High - 03,Arlington School District 38-1,Kingsbury County,PO Box 359,Arlington,SD,57212,,(605)983-5598,43,Rural: Remote,No,†,Yes,No,33.00000,2.63000,12.5000000,4.00000,4.00000
