National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1793) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Oklahoma""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
4.01074E+11,OK-05-I006-05-I006-610,4010740,OK-05-I006,07,09,8TH AND 9TH GRADE CTR,ELK CITY,Beckham County,222 West Broadway Avenue,Elk City,OK,73644,3644,(580)225-0476,33,Town: Remote,No,†,Yes,No,431.00000,30.77000,14.0000000,210.00000,29.00000
4.00079E+11,OK-55-Z005-55-Z005-971,4000790,OK-55-Z005,06,08,ABLE CHARTER SCHOOL 6TH-8TH,ABLE CHARTER ABLE LEARNING,Oklahoma County,4500 N Classen Blvd ste 2015,Oklahoma City,OK,73118,3118,(405)990-2282,11,City: Large,Yes,†,No,†,11.00000,0.59000,18.6000000,–,–
4.00079E+11,OK-55-Z005-55-Z005-972,4000790,OK-55-Z005,09,12,ABLE CHARTER SCHOOL 9TH-12TH,ABLE CHARTER ABLE LEARNING,Oklahoma County,4500 N Classen Blvd ste 2015,Oklahoma City,OK,73118,3118,(405)990-2282,11,City: Large,Yes,†,No,†,44.00000,0.59000,74.6000000,–,–
4.03024E+11,OK-72-I001-72-I001-103,4030240,OK-72-I001,PK,06,ACADEMY CENTRAL ES,TULSA,Osage County,1789 West Seminole Street,Tulsa,OK,74127,4127,(918)833-8760,11,City: Large,No,†,Yes,Yes,276.00000,22.05000,12.5000000,254.00000,7.00000
4.01359E+11,OK-70-I008-70-I008-105,4013590,OK-70-I008,03,04,ACADEMY ES,GUYMON,Texas County,712 North Academy,Guymon,OK,73942,3942,(580)338-4370,33,Town: Remote,No,†,Yes,Yes,416.00000,27.61000,15.1000000,312.00000,43.00000
4.00237E+11,OK-07-I003-07-I003-105,4002370,OK-07-I003,PK,08,ACHILLE ES,ACHILLE,Bryan County,Post Office Box 280,Achille,OK,74720,4720,(580)283-3002,42,Rural: Distant,No,†,Yes,Yes,224.00000,15.03000,14.9000000,162.00000,17.00000
4.00237E+11,OK-07-I003-07-I003-705,4002370,OK-07-I003,09,12,ACHILLE HS,ACHILLE,Bryan County,Post Office Box 280,Achille,OK,74720,4720,(580)283-3260,42,Rural: Distant,No,†,No,†,100.00000,6.43000,15.6000000,47.00000,19.00000
4.00243E+11,OK-62-I019-62-I019-105,4002430,OK-62-I019,PK,KG,ADA EC CTR,ADA,Pontotoc County,603 West 33rd Street,Ada,OK,74820,4820,(580)310-7283,41,Rural: Fringe,No,†,Yes,Yes,420.00000,28.00000,15.0000000,275.00000,39.00000
4.00243E+11,OK-62-I019-62-I019-705,4002430,OK-62-I019,10,12,ADA HS,ADA,Pontotoc County,1400 Stadium Drive,Ada,OK,74820,4820,(580)310-7220,33,Town: Remote,No,†,Yes,No,533.00000,42.78000,12.5000000,243.00000,26.00000
4.00243E+11,OK-62-I019-62-I019-610,4002430,OK-62-I019,07,09,ADA JHS,ADA,Pontotoc County,223 West 18th Street,Ada,OK,74820,4820,(580)310-7260,33,Town: Remote,No,†,Yes,No,532.00000,46.76000,11.4000000,272.00000,42.00000
