National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1773) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Tennessee""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
4.70015E+11,TN-00792-2005,4700148,TN-00792,PK,05,A B Hill Elementary,Shelby County,Shelby County,345 E. Olive AV,Memphis,TN,38106,,(901)416-7844,11,City: Large,No,No,Yes,Yes,370.00000,25.80000,14.3000000,–,–
4.70333E+11,TN-00670-0065,4703330,TN-00670,PK,04,A H Roberts Elementary,Overton County,Overton County,301  Zachary  ST,Livingston,TN,38570,,(931)823-5551,33,Town: Remote,No,No,Yes,Yes,439.00000,30.70000,14.3000000,–,–
4.70222E+11,TN-00470-0066,4702220,TN-00470,PK,05,A L Lotts Elementary,Knox County,Knox County,9320  Westland  DR,Knoxville,TN,37922,,(865)539-8611,21,Suburb: Large,No,No,No,†,863.00000,51.90000,16.6000000,–,–
4.70015E+11,TN-00792-2740,4700148,TN-00792,06,09,A. Maceo Walker Middle School,Shelby County,Shelby County,1900 East Raines RD,Memphis,TN,38116,,(901)416-1030,11,City: Large,No,No,Yes,Yes,703.00000,31.60000,22.2000000,–,–
4.70318E+11,TN-00190-0001,4703180,TN-00190,PK,04,A. Z. Kelley Elementary,Davidson County,Davidson County,5834 Pettus RD,Antioch,TN,37013,,(615)941-7535,11,City: Large,No,No,Yes,Yes,780.00000,51.90000,15.0000000,–,–
4.70219E+11,TN-00822-0030,4702190,TN-00822,PK,05,Abraham Lincoln Elementary School,Kingsport,Sullivan County,1000  Summer  ST,Kingsport,TN,37664,,(423)378-2360,13,City: Small,No,No,Yes,Yes,466.00000,33.00000,14.1000000,–,–
4.70288E+11,TN-00550-0005,4702880,TN-00550,PK,06,Adamsville Elementary,McNairy County,McNairy County,P O Box 335,Adamsville,TN,38310,,(731)439-4137,42,Rural: Distant,No,No,Yes,Yes,565.00000,40.00000,14.1000000,–,–
4.70288E+11,TN-00550-0010,4702880,TN-00550,07,12,Adamsville Junior / Senior High School,McNairy County,McNairy County,P O Box 407,Adamsville,TN,38310,,(731)439-4122,42,Rural: Distant,No,No,Yes,Yes,764.00000,52.00000,14.7000000,–,–
4.70222E+11,TN-00470-0003,4702220,TN-00470,PK,05,Adrian Burnett Elementary,Knox County,Knox County,4521 Brown Gap RD,Knoxville,TN,37918,,(865)689-1474,21,Suburb: Large,No,No,Yes,Yes,560.00000,35.60000,15.7000000,–,–
4.70003E+11,TN-00171-0005,4700030,TN-00171,PK,06,Alamo Elementary,Alamo,Crockett County,265 E  Park ST,Alamo,TN,38001,,(731)696-5515,32,Town: Distant,No,No,Yes,Yes,651.00000,43.00000,15.1000000,–,–
