National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"CCD public school data 2015-2016, 2016-2017 school years",,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (1262) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:* denotes a column with data from 2015-2016,,,,,,,,,,,,,,,,,,,,,,,,,
"[ � ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for schools that opened in the 2016-2017 school year will not be available until the full 2016-2017 file is released.",,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,,,,
[ � ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,,,,
"The directory information on school name, address, and phone number are preliminary data from initial submissions of school level data for 2016-2017.",,,,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Connecticut""�-�School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
090180000328,CT-060-07,0901800,CT-060,05,06,A. Baldwin Middle School,GUILFORD SCHOOL DISTRICT,New Haven County,68 Bullard Dr.,Guilford,CT,06437,1553,(203)457-0222,21,Suburb: Large,No,No,Yes,No,559.00000,43.00000,13.0000000,34.00000,15.00000
090000201136,CT-900-15,0900002,CT-900,09,12,A. I. Prince Technical High School,Connecticut Technical High Sc,Hartford County,401 Flatbush Ave.,Hartford,CT,06106,3709,(860)951-7112,12,City: Midsize,No,No,Yes,Yes,768.00000,74.90000,10.3000000,485.00000,53.00000
090180000329,CT-060-06,0901800,CT-060,KG,04,A. W. Cox School,GUILFORD SCHOOL DISTRICT,New Haven County,143 Three Mile Course,Guilford,CT,06437,2522,(203)453-5291,41,Rural: Fringe,No,No,Yes,No,302.00000,25.20000,12.0000000,29.00000,5.00000
090447000903,CT-139-04,0904470,CT-139,PK,02,A. Ward Spaulding School,SUFFIELD SCHOOL DISTRICT,Hartford County,945 Mountain Rd.,Suffield,CT,06078,2014,(860)668-3826,41,Rural: Fringe,No,No,Yes,No,498.00000,33.50000,14.9000000,43.00000,3.00000
090312001874,CT-104-04,0903120,CT-104,KG,05,ABA Autism Program,NORWICH SCHOOL DISTRICT,†,80 West Town Street,Norwich,CT,06360,,(860)823-4204,†,N,No,No,No,†,16.00000,–,†,0.00000,0.00000
090444001824,CT-138-25,0904440,CT-138,KG,01,ABA Nichols,STRATFORD SCHOOL DISTRICT,†,396 Nichols Avenue,Stratford,CT,06614,,(203)385-4294,†,N,No,No,No,†,4.00000,–,†,–,–
090444001734,CT-138-06,0904440,CT-138,01,02,ABA Second Hill Lane,STRATFORD SCHOOL DISTRICT,Fairfield County,65 Second Hill Lane,Stratford,CT,06614,,(203)385-4292,13,City: Small,No,No,No,†,4.00000,–,†,–,–
090444001846,CT-138-24,0904440,CT-138,KG,01,ABA Whitney,STRATFORD SCHOOL DISTRICT,†,1130 Huntington Road,Stratford,CT,06614,,(203)385-4198,†,N,No,No,No,†,3.00000,–,†,–,–
090459001880,CT-143-15,0904590,CT-143,02,03,ABC / Forbes School,TORRINGTON SCHOOL DISTRICT,†,500 Migeon Ave,Torrington,CT,06790,,(860)489-2327,†,N,No,No,No,†,4.00000,–,†,–,–
090459001910,CT-143-24,0904590,CT-143,02,05,ABC / Torringford,TORRINGTON SCHOOL DISTRICT,†,837 Charles St,Torrington,CT,06790,,(860)489-2327,†,N,No,No,No,†,2.00000,–,†,–,–
090528001783,CT-166-03,0905280,CT-166,03,03,ABC Classroom,WOLCOTT SCHOOL DISTRICT,New Haven County,24 Todd Road,Wolcott,CT,06716,,(203)879-8146,22,Suburb: Midsize,No,No,No,†,4.00000,–,†,–,–
090132001730,CT-045-05,0901320,CT-045,12,12,Abilities in Motion (AIM) Program,EAST LYME SCHOOL DISTRICT,New London County,31 Society Rd,Niantic,CT,06357,,(860)739-2751,22,Suburb: Midsize,No,No,No,†,16.00000,0.45000,35.6000000,0.00000,0.00000
